|dates|Treasure_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Treasure_Montana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Treasure_Montana_UnitedStates.Male_Total_Population.data|Treasure_Montana_UnitedStates.Male_Total_Population.missing|Treasure_Montana_UnitedStates.Female_Total_Population.data|Treasure_Montana_UnitedStates.Female_Total_Population.missing|Treasure_Montana_UnitedStates.MaleAndFemale_Under18_Population.data|Treasure_Montana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-10-18|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-10-19|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-10-20|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-10-21|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-10-22|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-10-23|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-10-24|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-10-25|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-10-26|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-10-27|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-10-28|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-10-29|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-10-30|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-10-31|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-11-01|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-11-02|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-11-03|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-11-04|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-11-05|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-11-06|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-11-07|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-11-08|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-11-09|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-11-10|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-11-11|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-11-12|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-11-13|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-11-14|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-11-15|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-11-16|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-11-17|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-11-18|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-11-19|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-11-20|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-11-21|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-11-22|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-11-23|194.0|0|340.0|0|339.0|0|142.0|0
0|2021-11-24|194.0|0|340.0|0|339.0|0|142.0|0
