|dates|Greeley_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Greeley_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Greeley_Nebraska_UnitedStates.NYT_ConfirmedCases.data|Greeley_Nebraska_UnitedStates.NYT_ConfirmedCases.missing|Greeley_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Greeley_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Greeley_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Greeley_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|265.0|0|265.0|0|1.0|0|0.0|100
0|2021-10-18|266.0|0|266.0|0|1.0|0|0.0|100
0|2021-10-19|266.0|0|266.0|0|1.0|0|0.0|100
0|2021-10-20|266.0|0|266.0|0|1.0|0|0.0|100
0|2021-10-21|266.0|0|266.0|0|1.0|0|0.0|100
0|2021-10-22|266.0|0|266.0|0|1.0|0|0.0|100
0|2021-10-23|266.0|0|266.0|0|1.0|0|0.0|100
0|2021-10-24|266.0|0|266.0|0|1.0|0|0.0|100
0|2021-10-25|266.0|0|266.0|0|1.0|0|0.0|100
0|2021-10-26|266.0|0|266.0|0|1.0|0|0.0|100
0|2021-10-27|272.0|0|272.0|0|1.0|0|0.0|100
0|2021-10-28|272.0|0|272.0|0|1.0|0|0.0|100
0|2021-10-29|272.0|0|272.0|0|1.0|0|0.0|100
0|2021-10-30|272.0|0|272.0|0|1.0|0|0.0|100
0|2021-10-31|272.0|0|272.0|0|1.0|0|0.0|100
0|2021-11-01|272.0|0|274.0|0|1.0|0|0.0|100
0|2021-11-02|272.0|0|274.0|0|1.0|0|0.0|100
0|2021-11-03|274.0|0|274.0|0|1.0|0|0.0|100
0|2021-11-04|274.0|0|274.0|0|1.0|0|0.0|100
0|2021-11-05|274.0|0|274.0|0|1.0|0|0.0|100
0|2021-11-06|274.0|0|274.0|0|1.0|0|0.0|100
0|2021-11-07|274.0|0|274.0|0|1.0|0|0.0|100
0|2021-11-08|274.0|0|274.0|0|1.0|0|0.0|100
0|2021-11-09|274.0|0|274.0|0|1.0|0|0.0|100
0|2021-11-10|274.0|0|277.0|0|1.0|0|0.0|100
0|2021-11-11|279.0|0|279.0|0|1.0|0|0.0|100
0|2021-11-12|280.0|0|280.0|0|1.0|0|0.0|100
0|2021-11-13|280.0|0|280.0|0|1.0|0|0.0|100
0|2021-11-14|280.0|0|280.0|0|1.0|0|0.0|100
0|2021-11-15|286.0|0|286.0|0|1.0|0|0.0|100
0|2021-11-16|286.0|0|286.0|0|1.0|0|0.0|100
0|2021-11-17|286.0|0|286.0|0|1.0|0|0.0|100
0|2021-11-18|286.0|0|286.0|0|1.0|0|0.0|100
0|2021-11-19|287.0|0|287.0|0|1.0|0|0.0|100
0|2021-11-20|287.0|0|287.0|0|1.0|0|0.0|100
0|2021-11-21|287.0|0|287.0|0|1.0|0|0.0|100
0|2021-11-22|289.0|0|289.0|0|1.0|0|0.0|100
0|2021-11-23|290.0|0|290.0|0|1.0|0|0.0|100
0|2021-11-24|294.0|0|294.0|0|1.0|0|0.0|100
0|2021-11-25|294.0|0|294.0|0|1.0|0|0.0|100
0|2021-11-26|294.0|0|294.0|0|1.0|0|0.0|100
0|2021-11-27|294.0|0|294.0|0|1.0|0|0.0|100
0|2021-11-28|294.0|0|294.0|0|1.0|0|0.0|100
0|2021-11-29|297.0|0|297.0|0|1.0|0|0.0|100
0|2021-11-30|300.0|0|300.0|0|1.0|0|0.0|100
0|2021-12-01|301.0|0|301.0|0|1.0|0|0.0|100
0|2021-12-02|302.0|0|302.0|0|1.0|0|0.0|100
0|2021-12-03|302.0|0|304.0|0|1.0|0|0.0|100
0|2021-12-04|304.0|0|304.0|0|1.0|0|0.0|100
