|dates|Madera_California_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Madera_California_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Madera_California_UnitedStates.Male_Total_Population.data|Madera_California_UnitedStates.Male_Total_Population.missing|Madera_California_UnitedStates.Female_Total_Population.data|Madera_California_UnitedStates.Female_Total_Population.missing|Madera_California_UnitedStates.MaleAndFemale_Under18_Population.data|Madera_California_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-10-18|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-10-19|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-10-20|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-10-21|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-10-22|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-10-23|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-10-24|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-10-25|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-10-26|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-10-27|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-10-28|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-10-29|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-10-30|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-10-31|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-01|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-02|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-03|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-04|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-05|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-06|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-07|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-08|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-09|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-10|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-11|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-12|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-13|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-14|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-15|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-16|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-17|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-18|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-19|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-20|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-21|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-22|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-23|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-24|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-25|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-26|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-27|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-28|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-29|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-11-30|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-12-01|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-12-02|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-12-03|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-12-04|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-12-05|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-12-06|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-12-07|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-12-08|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-12-09|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-12-10|22051.0|0|76008.0|0|81664.0|0|43339.0|0
0|2021-12-11|22051.0|0|76008.0|0|81664.0|0|43339.0|0
