|dates|Greene_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Greene_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Greene_Arkansas_UnitedStates.NYT_ConfirmedCases.data|Greene_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|Greene_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Greene_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Greene_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Greene_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|9971.0|0|9971.0|0|122.0|0|0.0|100
0|2021-10-18|9978.0|0|9978.0|0|122.0|0|0.0|100
0|2021-10-19|9986.0|0|9986.0|0|122.0|0|0.0|100
0|2021-10-20|10001.0|0|10001.0|0|122.0|0|0.0|100
0|2021-10-21|10008.0|0|10008.0|0|122.0|0|0.0|100
0|2021-10-22|10013.0|0|10013.0|0|122.0|0|0.0|100
0|2021-10-23|10015.0|0|10015.0|0|122.0|0|0.0|100
0|2021-10-24|10018.0|0|10018.0|0|122.0|0|0.0|100
0|2021-10-25|10023.0|0|10023.0|0|122.0|0|0.0|100
0|2021-10-26|10036.0|0|10036.0|0|122.0|0|0.0|100
0|2021-10-27|10041.0|0|10041.0|0|122.0|0|0.0|100
0|2021-10-28|10048.0|0|10048.0|0|122.0|0|0.0|100
0|2021-10-29|10054.0|0|10054.0|0|122.0|0|0.0|100
0|2021-10-30|10065.0|0|10065.0|0|122.0|0|0.0|100
0|2021-10-31|10070.0|0|10070.0|0|122.0|0|0.0|100
0|2021-11-01|10073.0|0|10073.0|0|122.0|0|0.0|100
0|2021-11-02|10079.0|0|10079.0|0|122.0|0|0.0|100
0|2021-11-03|10091.0|0|10091.0|0|123.0|0|0.0|100
0|2021-11-04|10101.0|0|10101.0|0|123.0|0|0.0|100
0|2021-11-05|10116.0|0|10116.0|0|123.0|0|0.0|100
0|2021-11-06|10137.0|0|10137.0|0|123.0|0|0.0|100
0|2021-11-07|10153.0|0|10153.0|0|123.0|0|0.0|100
0|2021-11-08|10153.0|0|10158.0|0|123.0|0|0.0|100
0|2021-11-09|10172.0|0|10172.0|0|124.0|0|0.0|100
0|2021-11-10|10196.0|0|10196.0|0|124.0|0|0.0|100
0|2021-11-11|10216.0|0|10216.0|0|124.0|0|0.0|100
0|2021-11-12|10223.0|0|10223.0|0|124.0|0|0.0|100
0|2021-11-13|10235.0|0|10235.0|0|124.0|0|0.0|100
0|2021-11-14|10241.0|0|10241.0|0|124.0|0|0.0|100
0|2021-11-15|10245.0|0|10245.0|0|124.0|0|0.0|100
