|dates|McLean_NorthDakota_UnitedStates.JHU_ConfirmedCases.data|McLean_NorthDakota_UnitedStates.JHU_ConfirmedCases.missing|McLean_NorthDakota_UnitedStates.NYT_ConfirmedCases.data|McLean_NorthDakota_UnitedStates.NYT_ConfirmedCases.missing|McLean_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.data|McLean_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|McLean_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|McLean_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1721.0|0|1721.0|0|33.0|0|0.0|100
0|2021-10-18|1727.0|0|1727.0|0|33.0|0|0.0|100
0|2021-10-19|1741.0|0|1741.0|0|34.0|0|0.0|100
0|2021-10-20|1748.0|0|1748.0|0|34.0|0|0.0|100
0|2021-10-21|1755.0|0|1755.0|0|35.0|0|0.0|100
0|2021-10-22|1775.0|0|1775.0|0|36.0|0|0.0|100
0|2021-10-23|1783.0|0|1783.0|0|37.0|0|0.0|100
0|2021-10-24|1784.0|0|1784.0|0|37.0|0|0.0|100
0|2021-10-25|1789.0|0|1789.0|0|37.0|0|0.0|100
0|2021-10-26|1799.0|0|1799.0|0|39.0|0|0.0|100
0|2021-10-27|1813.0|0|1813.0|0|39.0|0|0.0|100
0|2021-10-28|1821.0|0|1821.0|0|40.0|0|0.0|100
0|2021-10-29|1832.0|0|1832.0|0|40.0|0|0.0|100
0|2021-10-30|1842.0|0|1842.0|0|40.0|0|0.0|100
0|2021-10-31|1848.0|0|1848.0|0|40.0|0|0.0|100
0|2021-11-01|1853.0|0|1853.0|0|40.0|0|0.0|100
0|2021-11-02|1863.0|0|1863.0|0|40.0|0|0.0|100
0|2021-11-03|1874.0|0|1874.0|0|40.0|0|0.0|100
0|2021-11-04|1881.0|0|1881.0|0|40.0|0|0.0|100
0|2021-11-05|1890.0|0|1890.0|0|40.0|0|0.0|100
0|2021-11-06|1897.0|0|1897.0|0|40.0|0|0.0|100
0|2021-11-07|1900.0|0|1900.0|0|40.0|0|0.0|100
0|2021-11-08|1901.0|0|1901.0|0|40.0|0|0.0|100
0|2021-11-09|1912.0|0|1912.0|0|40.0|0|0.0|100
0|2021-11-10|1914.0|0|1914.0|0|41.0|0|0.0|100
0|2021-11-11|1931.0|0|1931.0|0|41.0|0|0.0|100
0|2021-11-12|1934.0|0|1934.0|0|41.0|0|0.0|100
0|2021-11-13|1949.0|0|1949.0|0|41.0|0|0.0|100
0|2021-11-14|1951.0|0|1951.0|0|41.0|0|0.0|100
0|2021-11-15|1955.0|0|1955.0|0|41.0|0|0.0|100
0|2021-11-16|1966.0|0|1966.0|0|42.0|0|0.0|100
0|2021-11-17|1978.0|0|1978.0|0|42.0|0|0.0|100
0|2021-11-18|1988.0|0|1988.0|0|42.0|0|0.0|100
0|2021-11-19|1999.0|0|1999.0|0|43.0|0|0.0|100
0|2021-11-20|2009.0|0|2009.0|0|43.0|0|0.0|100
0|2021-11-21|2009.0|0|2009.0|0|43.0|0|0.0|100
0|2021-11-22|2013.0|0|2013.0|0|43.0|0|0.0|100
0|2021-11-23|2031.0|0|2031.0|0|43.0|0|0.0|100
0|2021-11-24|2040.0|0|2040.0|0|44.0|0|0.0|100
0|2021-11-25|2043.0|0|2043.0|0|43.0|0|0.0|100
0|2021-11-26|2044.0|0|2044.0|0|43.0|0|0.0|100
0|2021-11-27|2044.0|0|2046.0|0|43.0|0|0.0|100
0|2021-11-28|2048.0|0|2048.0|0|43.0|0|0.0|100
0|2021-11-29|2052.0|0|2052.0|0|43.0|0|0.0|100
0|2021-11-30|2064.0|0|2064.0|0|44.0|0|0.0|100
0|2021-12-01|2082.0|0|2082.0|0|44.0|0|0.0|100
0|2021-12-02|2095.0|0|2095.0|0|44.0|0|0.0|100
0|2021-12-03|2104.0|0|2104.0|0|45.0|0|0.0|100
0|2021-12-04|2109.0|0|2109.0|0|45.0|0|0.0|100
0|2021-12-05|2110.0|0|2110.0|0|45.0|0|0.0|100
0|2021-12-06|2111.0|0|2111.0|0|45.0|0|0.0|100
0|2021-12-07|2116.0|0|2116.0|0|45.0|0|0.0|100
0|2021-12-08|2124.0|0|2124.0|0|46.0|0|0.0|100
0|2021-12-09|2135.0|0|2135.0|0|46.0|0|0.0|100
0|2021-12-10|2142.0|0|2142.0|0|46.0|0|0.0|100
0|2021-12-11|2148.0|0|2148.0|0|46.0|0|0.0|100
0|2021-12-12|2147.0|0|2147.0|0|46.0|0|0.0|100
0|2021-12-13|2147.0|0|2147.0|0|46.0|0|0.0|100
0|2021-12-14|2147.0|0|2152.0|0|46.0|0|0.0|100
0|2021-12-15|2156.0|0|2156.0|0|46.0|0|0.0|100
0|2021-12-16|2158.0|0|2158.0|0|47.0|0|0.0|100
0|2021-12-17|2164.0|0|2164.0|0|47.0|0|0.0|100
0|2021-12-18|2166.0|0|2166.0|0|47.0|0|0.0|100
0|2021-12-19|2170.0|0|2170.0|0|47.0|0|0.0|100
0|2021-12-20|2170.0|0|2170.0|0|47.0|0|0.0|100
0|2021-12-21|2178.0|0|2178.0|0|47.0|0|0.0|100
0|2021-12-22|2177.0|0|2177.0|0|47.0|0|0.0|100
0|2021-12-23|2177.0|0|2177.0|0|47.0|0|0.0|100
0|2021-12-24|2179.0|0|2179.0|0|47.0|0|0.0|100
0|2021-12-25|2180.0|0|2180.0|0|47.0|0|0.0|100
0|2021-12-26|2180.0|0|2180.0|0|47.0|0|0.0|100
0|2021-12-27|2183.0|0|2183.0|0|47.0|0|0.0|100
0|2021-12-28|2184.0|0|2184.0|0|47.0|0|0.0|100
0|2021-12-29|2195.0|0|2195.0|0|47.0|0|0.0|100
0|2021-12-30|2202.0|0|2202.0|0|47.0|0|0.0|100
0|2021-12-31|2210.0|0|2210.0|0|47.0|0|0.0|100
0|2022-01-01|2214.0|0|2214.0|0|47.0|0|0.0|100
0|2022-01-02|2215.0|0|2215.0|0|47.0|0|0.0|100
0|2022-01-03|2220.0|0|2220.0|0|47.0|0|0.0|100
0|2022-01-04|2228.0|0|2228.0|0|47.0|0|0.0|100
0|2022-01-05|2237.0|0|2237.0|0|47.0|0|0.0|100
0|2022-01-06|2242.0|0|2242.0|0|47.0|0|0.0|100
0|2022-01-07|2248.0|0|2248.0|0|47.0|0|0.0|100
0|2022-01-08|2253.0|0|2253.0|0|47.0|0|0.0|100
0|2022-01-09|2263.0|0|2263.0|0|47.0|0|0.0|100
0|2022-01-10|2264.0|0|2264.0|0|47.0|0|0.0|100
0|2022-01-11|2270.0|0|2270.0|0|47.0|0|0.0|100
0|2022-01-12|2293.0|0|2293.0|0|47.0|0|0.0|100
0|2022-01-13|2293.0|0|2305.0|0|47.0|0|0.0|100
0|2022-01-14|2318.0|0|2318.0|0|47.0|0|0.0|100
0|2022-01-15|2332.0|0|2332.0|0|47.0|0|0.0|100
0|2022-01-16|2337.0|0|2337.0|0|47.0|0|0.0|100
0|2022-01-17|2343.0|0|0.0|100|47.0|0|0.0|100
