|dates|Washington_Georgia_UnitedStates.JHU_ConfirmedCases.data|Washington_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Washington_Georgia_UnitedStates.NYT_ConfirmedCases.data|Washington_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Washington_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Washington_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3195.0|0|3197.0|0|112.0|0|0.0|100
0|2021-10-18|3203.0|0|3206.0|0|113.0|0|0.0|100
0|2021-10-19|3203.0|0|3206.0|0|116.0|0|0.0|100
0|2021-10-20|3203.0|0|3206.0|0|117.0|0|0.0|100
0|2021-10-21|3207.0|0|3210.0|0|117.0|0|0.0|100
0|2021-10-22|3210.0|0|3213.0|0|117.0|0|0.0|100
0|2021-10-23|3210.0|0|3213.0|0|117.0|0|0.0|100
0|2021-10-24|3210.0|0|3213.0|0|117.0|0|0.0|100
0|2021-10-25|3208.0|0|3214.0|0|117.0|0|0.0|100
0|2021-10-26|3209.0|0|3215.0|0|118.0|0|0.0|100
0|2021-10-27|3208.0|0|3214.0|0|118.0|0|0.0|100
0|2021-10-28|3209.0|0|3215.0|0|118.0|0|0.0|100
0|2021-10-29|3211.0|0|3217.0|0|119.0|0|0.0|100
0|2021-10-30|3211.0|0|3217.0|0|119.0|0|0.0|100
0|2021-10-31|3211.0|0|3217.0|0|119.0|0|0.0|100
0|2021-11-01|3214.0|0|3222.0|0|120.0|0|0.0|100
0|2021-11-02|3216.0|0|3224.0|0|120.0|0|0.0|100
0|2021-11-03|3216.0|0|3224.0|0|120.0|0|0.0|100
0|2021-11-04|3215.0|0|3223.0|0|120.0|0|0.0|100
0|2021-11-05|3216.0|0|3224.0|0|120.0|0|0.0|100
0|2021-11-06|3216.0|0|3224.0|0|120.0|0|0.0|100
0|2021-11-07|3216.0|0|3224.0|0|120.0|0|0.0|100
0|2021-11-08|3216.0|0|3223.0|0|120.0|0|0.0|100
0|2021-11-09|3222.0|0|3229.0|0|121.0|0|0.0|100
0|2021-11-10|3222.0|0|3231.0|0|121.0|0|0.0|100
0|2021-11-11|3224.0|0|3231.0|0|121.0|0|0.0|100
0|2021-11-12|3230.0|0|3237.0|0|121.0|0|0.0|100
0|2021-11-13|3230.0|0|3237.0|0|121.0|0|0.0|100
0|2021-11-14|3230.0|0|3237.0|0|121.0|0|0.0|100
0|2021-11-15|3230.0|0|3236.0|0|121.0|0|0.0|100
0|2021-11-16|3234.0|0|3240.0|0|121.0|0|0.0|100
0|2021-11-17|3233.0|0|3239.0|0|121.0|0|0.0|100
0|2021-11-18|3233.0|0|3239.0|0|122.0|0|0.0|100
