|dates|Laclede_Missouri_UnitedStates.BLS_EmployedPopulation.data|Laclede_Missouri_UnitedStates.BLS_EmployedPopulation.missing|Laclede_Missouri_UnitedStates.BLS_UnemployedPopulation.data|Laclede_Missouri_UnitedStates.BLS_UnemployedPopulation.missing|Laclede_Missouri_UnitedStates.BLS_UnemploymentRate.data|Laclede_Missouri_UnitedStates.BLS_UnemploymentRate.missing|Laclede_Missouri_UnitedStates.BLS_LaborForcePopulation.data|Laclede_Missouri_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-10-18|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-10-19|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-10-20|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-10-21|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-10-22|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-10-23|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-10-24|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-10-25|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-10-26|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-10-27|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-10-28|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-10-29|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-10-30|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-10-31|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-01|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-02|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-03|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-04|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-05|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-06|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-07|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-08|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-09|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-10|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-11|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-12|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-13|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-14|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-15|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-16|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-17|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-18|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-19|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-20|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-21|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-22|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-23|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-24|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-25|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-26|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-27|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-28|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-29|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-11-30|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-12-01|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-12-02|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
0|2021-12-03|15870.0|0|693.0|0|4.18402463321862|0|16563.0|0
