|dates|SanJuan_PuertoRico_UnitedStates.BLS_EmployedPopulation.data|SanJuan_PuertoRico_UnitedStates.BLS_EmployedPopulation.missing|SanJuan_PuertoRico_UnitedStates.BLS_UnemployedPopulation.data|SanJuan_PuertoRico_UnitedStates.BLS_UnemployedPopulation.missing|SanJuan_PuertoRico_UnitedStates.BLS_UnemploymentRate.data|SanJuan_PuertoRico_UnitedStates.BLS_UnemploymentRate.missing|SanJuan_PuertoRico_UnitedStates.BLS_LaborForcePopulation.data|SanJuan_PuertoRico_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|118191.5|0|7767.5|0|6.16668916075866|0|125959.0|0
0|2020-01-02|118191.5|0|7767.5|0|6.16668916075866|0|125959.0|0
0|2020-01-03|118191.5|0|7767.5|0|6.16668916075866|0|125959.0|0
0|2020-01-04|118191.5|0|7767.5|0|6.16668916075866|0|125959.0|0
0|2020-01-05|118191.5|0|7767.5|0|6.16668916075866|0|125959.0|0
0|2020-01-06|118191.5|0|7767.5|0|6.16668916075866|0|125959.0|0
0|2020-01-07|118191.5|0|7767.5|0|6.16668916075866|0|125959.0|0
0|2020-01-08|118191.5|0|7767.5|0|6.16668916075866|0|125959.0|0
0|2020-01-09|118191.5|0|7767.5|0|6.16668916075866|0|125959.0|0
0|2020-01-10|118191.5|0|7767.5|0|6.16668916075866|0|125959.0|0
0|2020-01-11|118191.5|0|7767.5|0|6.16668916075866|0|125959.0|0
0|2020-01-12|118191.5|0|7767.5|0|6.16668916075866|0|125959.0|0
0|2020-01-13|118191.5|0|7767.5|0|6.16668916075866|0|125959.0|0
0|2020-01-14|118191.5|0|7767.5|0|6.16668916075866|0|125959.0|0
0|2020-01-15|118191.5|0|7767.5|0|6.16668916075866|0|125959.0|0
0|2020-01-16|118191.5|0|7767.5|0|6.16668916075866|0|125959.0|0
0|2020-01-17|118191.5|0|7767.5|0|6.16668916075866|0|125959.0|0
0|2020-01-18|118191.5|0|7767.5|0|6.16668916075866|0|125959.0|0
0|2020-01-19|118191.5|0|7767.5|0|6.16668916075866|0|125959.0|0
0|2020-01-20|118191.5|0|7767.5|0|6.16668916075866|0|125959.0|0
