|dates|Faribault_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Faribault_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Faribault_Minnesota_UnitedStates.NYT_ConfirmedCases.data|Faribault_Minnesota_UnitedStates.NYT_ConfirmedCases.missing|Faribault_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Faribault_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Faribault_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Faribault_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2146.0|0|2146.0|0|30.0|0|0.0|100
0|2021-10-18|2157.0|0|2157.0|0|30.0|0|0.0|100
0|2021-10-19|2185.0|0|2185.0|0|30.0|0|0.0|100
0|2021-10-20|2191.0|0|2191.0|0|30.0|0|0.0|100
0|2021-10-21|2202.0|0|2202.0|0|30.0|0|0.0|100
0|2021-10-22|2206.0|0|2206.0|0|30.0|0|0.0|100
0|2021-10-23|2206.0|0|2206.0|0|30.0|0|0.0|100
0|2021-10-24|2206.0|0|2206.0|0|30.0|0|0.0|100
0|2021-10-25|2215.0|0|2215.0|0|30.0|0|0.0|100
0|2021-10-26|2234.0|0|2234.0|0|30.0|0|0.0|100
0|2021-10-27|2240.0|0|2240.0|0|30.0|0|0.0|100
0|2021-10-28|2249.0|0|2249.0|0|30.0|0|0.0|100
0|2021-10-29|2257.0|0|2257.0|0|30.0|0|0.0|100
0|2021-10-30|2257.0|0|2257.0|0|30.0|0|0.0|100
0|2021-10-31|2257.0|0|2257.0|0|30.0|0|0.0|100
0|2021-11-01|2297.0|0|2297.0|0|31.0|0|0.0|100
0|2021-11-02|2307.0|0|2307.0|0|31.0|0|0.0|100
0|2021-11-03|2308.0|0|2308.0|0|31.0|0|0.0|100
0|2021-11-04|2321.0|0|2321.0|0|31.0|0|0.0|100
0|2021-11-05|2326.0|0|2326.0|0|31.0|0|0.0|100
0|2021-11-06|2326.0|0|2326.0|0|31.0|0|0.0|100
0|2021-11-07|2326.0|0|2326.0|0|31.0|0|0.0|100
0|2021-11-08|2340.0|0|2340.0|0|31.0|0|0.0|100
0|2021-11-09|2359.0|0|2359.0|0|31.0|0|0.0|100
0|2021-11-10|2368.0|0|2368.0|0|31.0|0|0.0|100
0|2021-11-11|2379.0|0|2379.0|0|31.0|0|0.0|100
