|dates|McPherson_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|McPherson_SouthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|McPherson_SouthDakota_UnitedStates.Male_Total_Population.data|McPherson_SouthDakota_UnitedStates.Male_Total_Population.missing|McPherson_SouthDakota_UnitedStates.Female_Total_Population.data|McPherson_SouthDakota_UnitedStates.Female_Total_Population.missing|McPherson_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|McPherson_SouthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-10-18|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-10-19|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-10-20|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-10-21|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-10-22|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-10-23|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-10-24|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-10-25|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-10-26|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-10-27|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-10-28|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-10-29|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-10-30|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-10-31|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-01|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-02|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-03|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-04|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-05|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-06|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-07|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-08|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-09|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-10|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-11|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-12|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-13|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-14|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-15|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-16|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-17|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-18|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-19|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-20|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-21|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-22|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-23|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-24|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-25|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-26|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-27|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-28|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-29|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-11-30|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-12-01|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-12-02|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-12-03|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-12-04|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-12-05|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-12-06|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-12-07|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-12-08|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-12-09|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-12-10|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-12-11|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-12-12|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-12-13|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-12-14|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-12-15|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-12-16|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-12-17|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-12-18|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-12-19|676.0|0|1192.0|0|1215.0|0|592.0|0
0|2021-12-20|676.0|0|1192.0|0|1215.0|0|592.0|0
