|dates|Kosciusko_Indiana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Kosciusko_Indiana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Kosciusko_Indiana_UnitedStates.Male_Total_Population.data|Kosciusko_Indiana_UnitedStates.Male_Total_Population.missing|Kosciusko_Indiana_UnitedStates.Female_Total_Population.data|Kosciusko_Indiana_UnitedStates.Female_Total_Population.missing|Kosciusko_Indiana_UnitedStates.MaleAndFemale_Under18_Population.data|Kosciusko_Indiana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-10-18|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-10-19|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-10-20|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-10-21|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-10-22|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-10-23|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-10-24|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-10-25|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-10-26|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-10-27|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-10-28|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-10-29|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-10-30|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-10-31|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-01|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-02|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-03|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-04|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-05|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-06|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-07|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-08|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-09|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-10|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-11|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-12|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-13|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-14|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-15|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-16|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-17|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-18|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-19|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-20|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-21|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-22|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-23|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-24|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-25|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-26|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-27|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-28|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-29|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-11-30|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-01|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-02|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-03|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-04|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-05|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-06|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-07|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-08|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-09|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-10|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-11|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-12|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-13|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-14|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-15|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-16|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-17|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-18|13274.0|0|39656.0|0|39688.0|0|18917.0|0
0|2021-12-19|13274.0|0|39656.0|0|39688.0|0|18917.0|0
