|dates|Hansford_Texas_UnitedStates.JHU_ConfirmedCases.data|Hansford_Texas_UnitedStates.JHU_ConfirmedCases.missing|Hansford_Texas_UnitedStates.NYT_ConfirmedCases.data|Hansford_Texas_UnitedStates.NYT_ConfirmedCases.missing|Hansford_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Hansford_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Hansford_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Hansford_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1111.0|0|1111.0|0|26.0|0|0.0|100
0|2021-10-18|1111.0|0|1111.0|0|26.0|0|0.0|100
0|2021-10-19|1114.0|0|1114.0|0|26.0|0|0.0|100
0|2021-10-20|1119.0|0|1119.0|0|26.0|0|0.0|100
0|2021-10-21|1121.0|0|1121.0|0|26.0|0|0.0|100
0|2021-10-22|1121.0|0|1121.0|0|26.0|0|0.0|100
0|2021-10-23|1127.0|0|1127.0|0|26.0|0|0.0|100
0|2021-10-24|1127.0|0|1127.0|0|26.0|0|0.0|100
0|2021-10-25|1127.0|0|1127.0|0|26.0|0|0.0|100
0|2021-10-26|1129.0|0|1129.0|0|26.0|0|0.0|100
0|2021-10-27|1129.0|0|1129.0|0|26.0|0|0.0|100
0|2021-10-28|1129.0|0|1129.0|0|26.0|0|0.0|100
0|2021-10-29|1128.0|0|1128.0|0|25.0|0|0.0|100
0|2021-10-30|1130.0|0|1130.0|0|25.0|0|0.0|100
0|2021-10-31|1130.0|0|1130.0|0|25.0|0|0.0|100
0|2021-11-01|1130.0|0|1130.0|0|25.0|0|0.0|100
0|2021-11-02|1136.0|0|1136.0|0|25.0|0|0.0|100
0|2021-11-03|1136.0|0|1136.0|0|25.0|0|0.0|100
0|2021-11-04|1136.0|0|1136.0|0|25.0|0|0.0|100
0|2021-11-05|1138.0|0|1138.0|0|25.0|0|0.0|100
0|2021-11-06|1141.0|0|1141.0|0|25.0|0|0.0|100
0|2021-11-07|1141.0|0|1141.0|0|25.0|0|0.0|100
0|2021-11-08|1141.0|0|1141.0|0|25.0|0|0.0|100
0|2021-11-09|1144.0|0|1144.0|0|25.0|0|0.0|100
0|2021-11-10|1144.0|0|1144.0|0|25.0|0|0.0|100
0|2021-11-11|1146.0|0|1146.0|0|25.0|0|0.0|100
0|2021-11-12|1146.0|0|1146.0|0|25.0|0|0.0|100
0|2021-11-13|1151.0|0|1151.0|0|25.0|0|0.0|100
0|2021-11-14|1151.0|0|1151.0|0|25.0|0|0.0|100
0|2021-11-15|1151.0|0|1151.0|0|25.0|0|0.0|100
0|2021-11-16|1151.0|0|1151.0|0|25.0|0|0.0|100
0|2021-11-17|1151.0|0|1151.0|0|25.0|0|0.0|100
0|2021-11-18|1151.0|0|1151.0|0|26.0|0|0.0|100
0|2021-11-19|1154.0|0|1154.0|0|26.0|0|0.0|100
0|2021-11-20|1155.0|0|1155.0|0|26.0|0|0.0|100
0|2021-11-21|1155.0|0|1155.0|0|26.0|0|0.0|100
0|2021-11-22|1155.0|0|1155.0|0|26.0|0|0.0|100
0|2021-11-23|1155.0|0|1155.0|0|26.0|0|0.0|100
0|2021-11-24|1155.0|0|1155.0|0|26.0|0|0.0|100
0|2021-11-25|1155.0|0|1155.0|0|26.0|0|0.0|100
0|2021-11-26|1155.0|0|1155.0|0|26.0|0|0.0|100
0|2021-11-27|1155.0|0|1155.0|0|26.0|0|0.0|100
0|2021-11-28|1155.0|0|1155.0|0|26.0|0|0.0|100
0|2021-11-29|1159.0|0|1159.0|0|26.0|0|0.0|100
0|2021-11-30|1159.0|0|1159.0|0|26.0|0|0.0|100
0|2021-12-01|1161.0|0|1161.0|0|26.0|0|0.0|100
0|2021-12-02|1163.0|0|1163.0|0|26.0|0|0.0|100
0|2021-12-03|1165.0|0|1165.0|0|26.0|0|0.0|100
0|2021-12-04|1165.0|0|1165.0|0|26.0|0|0.0|100
0|2021-12-05|1165.0|0|1167.0|0|26.0|0|0.0|100
0|2021-12-06|1168.0|0|1168.0|0|26.0|0|0.0|100
0|2021-12-07|1168.0|0|1168.0|0|26.0|0|0.0|100
0|2021-12-08|1170.0|0|1170.0|0|26.0|0|0.0|100
0|2021-12-09|1171.0|0|1171.0|0|27.0|0|0.0|100
0|2021-12-10|1184.0|0|1184.0|0|27.0|0|0.0|100
0|2021-12-11|1188.0|0|1188.0|0|27.0|0|0.0|100
0|2021-12-12|1188.0|0|1188.0|0|27.0|0|0.0|100
0|2021-12-13|1188.0|0|1188.0|0|27.0|0|0.0|100
0|2021-12-14|1188.0|0|1192.0|0|27.0|0|0.0|100
0|2021-12-15|1195.0|0|1195.0|0|27.0|0|0.0|100
0|2021-12-16|1196.0|0|1196.0|0|27.0|0|0.0|100
0|2021-12-17|1199.0|0|1199.0|0|27.0|0|0.0|100
0|2021-12-18|1200.0|0|1200.0|0|27.0|0|0.0|100
0|2021-12-19|1200.0|0|1200.0|0|27.0|0|0.0|100
0|2021-12-20|1200.0|0|1200.0|0|27.0|0|0.0|100
0|2021-12-21|1217.0|0|1217.0|0|27.0|0|0.0|100
0|2021-12-22|1221.0|0|1221.0|0|27.0|0|0.0|100
0|2021-12-23|1229.0|0|1229.0|0|27.0|0|0.0|100
0|2021-12-24|1229.0|0|1229.0|0|27.0|0|0.0|100
0|2021-12-25|1229.0|0|1229.0|0|27.0|0|0.0|100
0|2021-12-26|1229.0|0|1229.0|0|27.0|0|0.0|100
0|2021-12-27|1236.0|0|1236.0|0|27.0|0|0.0|100
0|2021-12-28|1241.0|0|1241.0|0|27.0|0|0.0|100
0|2021-12-29|1267.0|0|1267.0|0|27.0|0|0.0|100
0|2021-12-30|1277.0|0|1277.0|0|27.0|0|0.0|100
0|2021-12-31|1277.0|0|1277.0|0|27.0|0|0.0|100
0|2022-01-01|1277.0|0|1277.0|0|27.0|0|0.0|100
0|2022-01-02|1277.0|0|1277.0|0|27.0|0|0.0|100
0|2022-01-03|1281.0|0|1281.0|0|27.0|0|0.0|100
0|2022-01-04|1284.0|0|1284.0|0|27.0|0|0.0|100
0|2022-01-05|1285.0|0|1285.0|0|27.0|0|0.0|100
0|2022-01-06|1290.0|0|1290.0|0|27.0|0|0.0|100
0|2022-01-07|1303.0|0|1303.0|0|27.0|0|0.0|100
0|2022-01-08|1307.0|0|1307.0|0|27.0|0|0.0|100
0|2022-01-09|1308.0|0|1308.0|0|27.0|0|0.0|100
0|2022-01-10|1309.0|0|1309.0|0|27.0|0|0.0|100
0|2022-01-11|1310.0|0|1310.0|0|27.0|0|0.0|100
0|2022-01-12|1312.0|0|1312.0|0|27.0|0|0.0|100
0|2022-01-13|1312.0|0|1315.0|0|27.0|0|0.0|100
0|2022-01-14|1315.0|0|1509.0|0|27.0|0|0.0|100
0|2022-01-15|1516.0|0|1516.0|0|27.0|0|0.0|100
0|2022-01-16|1516.0|0|1516.0|0|27.0|0|0.0|100
0|2022-01-17|1519.0|0|0.0|100|27.0|0|0.0|100
