|dates|Zapata_Texas_UnitedStates.JHU_ConfirmedCases.data|Zapata_Texas_UnitedStates.JHU_ConfirmedCases.missing|Zapata_Texas_UnitedStates.NYT_ConfirmedCases.data|Zapata_Texas_UnitedStates.NYT_ConfirmedCases.missing|Zapata_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Zapata_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Zapata_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Zapata_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2198.0|0|2198.0|0|45.0|0|0.0|100
0|2021-10-18|2198.0|0|2198.0|0|45.0|0|0.0|100
0|2021-10-19|2199.0|0|2199.0|0|45.0|0|0.0|100
0|2021-10-20|2201.0|0|2201.0|0|45.0|0|0.0|100
0|2021-10-21|2203.0|0|2203.0|0|45.0|0|0.0|100
0|2021-10-22|2204.0|0|2204.0|0|45.0|0|0.0|100
0|2021-10-23|2205.0|0|2205.0|0|45.0|0|0.0|100
0|2021-10-24|2205.0|0|2205.0|0|45.0|0|0.0|100
0|2021-10-25|2205.0|0|2205.0|0|45.0|0|0.0|100
0|2021-10-26|2205.0|0|2205.0|0|45.0|0|0.0|100
0|2021-10-27|2206.0|0|2206.0|0|45.0|0|0.0|100
0|2021-10-28|2206.0|0|2206.0|0|45.0|0|0.0|100
0|2021-10-29|2206.0|0|2206.0|0|45.0|0|0.0|100
0|2021-10-30|2207.0|0|2207.0|0|45.0|0|0.0|100
0|2021-10-31|2207.0|0|2207.0|0|45.0|0|0.0|100
0|2021-11-01|2207.0|0|2207.0|0|45.0|0|0.0|100
0|2021-11-02|2207.0|0|2207.0|0|45.0|0|0.0|100
0|2021-11-03|2207.0|0|2207.0|0|45.0|0|0.0|100
0|2021-11-04|2207.0|0|2207.0|0|45.0|0|0.0|100
0|2021-11-05|2207.0|0|2207.0|0|45.0|0|0.0|100
0|2021-11-06|2207.0|0|2207.0|0|45.0|0|0.0|100
0|2021-11-07|2207.0|0|2207.0|0|45.0|0|0.0|100
0|2021-11-08|2207.0|0|2207.0|0|45.0|0|0.0|100
0|2021-11-09|2208.0|0|2208.0|0|45.0|0|0.0|100
0|2021-11-10|2208.0|0|2208.0|0|45.0|0|0.0|100
