|dates|Grant_NewMexico_UnitedStates.JHU_ConfirmedCases.data|Grant_NewMexico_UnitedStates.JHU_ConfirmedCases.missing|Grant_NewMexico_UnitedStates.NYT_ConfirmedCases.data|Grant_NewMexico_UnitedStates.NYT_ConfirmedCases.missing|Grant_NewMexico_UnitedStates.JHU_ConfirmedDeaths.data|Grant_NewMexico_UnitedStates.JHU_ConfirmedDeaths.missing|Grant_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.data|Grant_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2308.0|0|2308.0|0|49.0|0|0.0|100
0|2021-10-18|2344.0|0|2344.0|0|49.0|0|0.0|100
0|2021-10-19|2353.0|0|2353.0|0|49.0|0|0.0|100
0|2021-10-20|2359.0|0|2359.0|0|49.0|0|0.0|100
0|2021-10-21|2393.0|0|2393.0|0|49.0|0|0.0|100
0|2021-10-22|2434.0|0|2434.0|0|49.0|0|0.0|100
0|2021-10-23|2434.0|0|2434.0|0|49.0|0|0.0|100
0|2021-10-24|2434.0|0|2434.0|0|49.0|0|0.0|100
0|2021-10-25|2537.0|0|2537.0|0|50.0|0|0.0|100
0|2021-10-26|2548.0|0|2548.0|0|50.0|0|0.0|100
0|2021-10-27|2617.0|0|2617.0|0|51.0|0|0.0|100
0|2021-10-28|2671.0|0|2671.0|0|51.0|0|0.0|100
0|2021-10-29|2709.0|0|2709.0|0|51.0|0|0.0|100
0|2021-10-30|2709.0|0|2709.0|0|51.0|0|0.0|100
0|2021-10-31|2709.0|0|2709.0|0|51.0|0|0.0|100
0|2021-11-01|2778.0|0|2778.0|0|51.0|0|0.0|100
0|2021-11-02|2792.0|0|2792.0|0|52.0|0|0.0|100
0|2021-11-03|2856.0|0|2856.0|0|52.0|0|0.0|100
0|2021-11-04|2923.0|0|2923.0|0|52.0|0|0.0|100
0|2021-11-05|2987.0|0|2987.0|0|52.0|0|0.0|100
0|2021-11-06|2987.0|0|2987.0|0|52.0|0|0.0|100
0|2021-11-07|2987.0|0|2987.0|0|52.0|0|0.0|100
0|2021-11-08|3070.0|0|3070.0|0|52.0|0|0.0|100
0|2021-11-09|3084.0|0|3084.0|0|53.0|0|0.0|100
0|2021-11-10|3084.0|0|3154.0|0|53.0|0|0.0|100
0|2021-11-11|3154.0|0|3154.0|0|54.0|0|0.0|100
0|2021-11-12|3288.0|0|3288.0|0|54.0|0|0.0|100
0|2021-11-13|3288.0|0|3288.0|0|54.0|0|0.0|100
0|2021-11-14|3288.0|0|3288.0|0|54.0|0|0.0|100
0|2021-11-15|3356.0|0|3356.0|0|54.0|0|0.0|100
0|2021-11-16|3361.0|0|3361.0|0|54.0|0|0.0|100
0|2021-11-17|3432.0|0|3432.0|0|54.0|0|0.0|100
0|2021-11-18|3462.0|0|3462.0|0|54.0|0|0.0|100
0|2021-11-19|3486.0|0|3486.0|0|54.0|0|0.0|100
0|2021-11-20|3486.0|0|3486.0|0|54.0|0|0.0|100
0|2021-11-21|3486.0|0|3486.0|0|54.0|0|0.0|100
0|2021-11-22|3558.0|0|3558.0|0|54.0|0|0.0|100
0|2021-11-23|3583.0|0|3583.0|0|54.0|0|0.0|100
0|2021-11-24|3610.0|0|3610.0|0|54.0|0|0.0|100
0|2021-11-25|3610.0|0|3610.0|0|54.0|0|0.0|100
0|2021-11-26|3610.0|0|3610.0|0|54.0|0|0.0|100
0|2021-11-27|3610.0|0|3610.0|0|54.0|0|0.0|100
0|2021-11-28|3610.0|0|3610.0|0|54.0|0|0.0|100
0|2021-11-29|3725.0|0|3725.0|0|54.0|0|0.0|100
0|2021-11-30|3737.0|0|3737.0|0|55.0|0|0.0|100
0|2021-12-01|3761.0|0|3761.0|0|56.0|0|0.0|100
0|2021-12-02|3788.0|0|3788.0|0|56.0|0|0.0|100
0|2021-12-03|3788.0|0|3812.0|0|56.0|0|0.0|100
0|2021-12-04|3835.0|0|3835.0|0|56.0|0|0.0|100
0|2021-12-05|3835.0|0|3835.0|0|56.0|0|0.0|100
0|2021-12-06|3864.0|0|3864.0|0|56.0|0|0.0|100
