|dates|Franklin_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Franklin_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Franklin_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Franklin_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Franklin_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Franklin_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Franklin_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Franklin_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7838.0|0|7838.0|0|100.0|0|0.0|100
0|2021-10-18|7854.0|0|7854.0|0|100.0|0|0.0|100
0|2021-10-19|7862.0|0|7862.0|0|100.0|0|0.0|100
0|2021-10-20|7877.0|0|7877.0|0|100.0|0|0.0|100
0|2021-10-21|7891.0|0|7891.0|0|102.0|0|0.0|100
0|2021-10-22|7900.0|0|7900.0|0|102.0|0|0.0|100
0|2021-10-23|7900.0|0|7900.0|0|102.0|0|0.0|100
0|2021-10-24|7900.0|0|7900.0|0|102.0|0|0.0|100
0|2021-10-25|7900.0|0|7900.0|0|102.0|0|0.0|100
0|2021-10-26|7926.0|0|7926.0|0|102.0|0|0.0|100
0|2021-10-27|7940.0|0|7940.0|0|102.0|0|0.0|100
0|2021-10-28|7953.0|0|7953.0|0|102.0|0|0.0|100
0|2021-10-29|7963.0|0|7963.0|0|102.0|0|0.0|100
0|2021-10-30|7963.0|0|7963.0|0|102.0|0|0.0|100
0|2021-10-31|7963.0|0|7963.0|0|102.0|0|0.0|100
0|2021-11-01|7963.0|0|7963.0|0|102.0|0|0.0|100
0|2021-11-02|7978.0|0|7978.0|0|102.0|0|0.0|100
0|2021-11-03|7989.0|0|7989.0|0|102.0|0|0.0|100
0|2021-11-04|7997.0|0|7997.0|0|102.0|0|0.0|100
0|2021-11-05|8001.0|0|8001.0|0|102.0|0|0.0|100
0|2021-11-06|8001.0|0|8001.0|0|102.0|0|0.0|100
0|2021-11-07|8001.0|0|8001.0|0|102.0|0|0.0|100
0|2021-11-08|8001.0|0|8001.0|0|102.0|0|0.0|100
0|2021-11-09|8024.0|0|8024.0|0|102.0|0|0.0|100
0|2021-11-10|8040.0|0|8040.0|0|102.0|0|0.0|100
0|2021-11-11|8040.0|0|8040.0|0|102.0|0|0.0|100
0|2021-11-12|8058.0|0|8058.0|0|102.0|0|0.0|100
0|2021-11-13|8058.0|0|8058.0|0|102.0|0|0.0|100
0|2021-11-14|8058.0|0|8058.0|0|102.0|0|0.0|100
0|2021-11-15|8078.0|0|8078.0|0|102.0|0|0.0|100
0|2021-11-16|8088.0|0|8088.0|0|102.0|0|0.0|100
0|2021-11-17|8101.0|0|8101.0|0|103.0|0|0.0|100
0|2021-11-18|8113.0|0|8113.0|0|103.0|0|0.0|100
0|2021-11-19|8123.0|0|8123.0|0|103.0|0|0.0|100
0|2021-11-20|8123.0|0|8123.0|0|103.0|0|0.0|100
0|2021-11-21|8123.0|0|8123.0|0|103.0|0|0.0|100
0|2021-11-22|8136.0|0|8136.0|0|103.0|0|0.0|100
0|2021-11-23|8146.0|0|8146.0|0|104.0|0|0.0|100
0|2021-11-24|8150.0|0|8150.0|0|104.0|0|0.0|100
0|2021-11-25|8150.0|0|8150.0|0|104.0|0|0.0|100
