|dates|Northampton_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Northampton_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Northampton_Pennsylvania_UnitedStates.Male_Total_Population.data|Northampton_Pennsylvania_UnitedStates.Male_Total_Population.missing|Northampton_Pennsylvania_UnitedStates.Female_Total_Population.data|Northampton_Pennsylvania_UnitedStates.Female_Total_Population.missing|Northampton_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.data|Northampton_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-10-18|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-10-19|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-10-20|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-10-21|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-10-22|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-10-23|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-10-24|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-10-25|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-10-26|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-10-27|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-10-28|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-10-29|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-10-30|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-10-31|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-01|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-02|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-03|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-04|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-05|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-06|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-07|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-08|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-09|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-10|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-11|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-12|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-13|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-14|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-15|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-16|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-17|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-18|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-19|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-20|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-21|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-22|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-23|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-24|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-25|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-26|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-27|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-28|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-29|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-11-30|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-12-01|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-12-02|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-12-03|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-12-04|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-12-05|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-12-06|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-12-07|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-12-08|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-12-09|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-12-10|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-12-11|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-12-12|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-12-13|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-12-14|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-12-15|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-12-16|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-12-17|57955.0|0|149954.0|0|154853.0|0|60926.0|0
0|2021-12-18|57955.0|0|149954.0|0|154853.0|0|60926.0|0
