|dates|Glacier_Montana_UnitedStates.JHU_ConfirmedCases.data|Glacier_Montana_UnitedStates.JHU_ConfirmedCases.missing|Glacier_Montana_UnitedStates.NYT_ConfirmedCases.data|Glacier_Montana_UnitedStates.NYT_ConfirmedCases.missing|Glacier_Montana_UnitedStates.JHU_ConfirmedDeaths.data|Glacier_Montana_UnitedStates.JHU_ConfirmedDeaths.missing|Glacier_Montana_UnitedStates.JHU_ConfirmedRecoveries.data|Glacier_Montana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2046.0|0|2046.0|0|50.0|0|0.0|100
0|2021-10-18|2067.0|0|2067.0|0|51.0|0|0.0|100
0|2021-10-19|2085.0|0|2085.0|0|52.0|0|0.0|100
0|2021-10-20|2106.0|0|2106.0|0|52.0|0|0.0|100
0|2021-10-21|2118.0|0|2118.0|0|53.0|0|0.0|100
0|2021-10-22|2126.0|0|2126.0|0|53.0|0|0.0|100
0|2021-10-23|2126.0|0|2126.0|0|53.0|0|0.0|100
0|2021-10-24|2126.0|0|2126.0|0|53.0|0|0.0|100
0|2021-10-25|2137.0|0|2137.0|0|53.0|0|0.0|100
0|2021-10-26|2150.0|0|2150.0|0|53.0|0|0.0|100
0|2021-10-27|2159.0|0|2159.0|0|53.0|0|0.0|100
0|2021-10-28|2161.0|0|2161.0|0|53.0|0|0.0|100
0|2021-10-29|2180.0|0|2180.0|0|53.0|0|0.0|100
0|2021-10-30|2180.0|0|2180.0|0|53.0|0|0.0|100
0|2021-10-31|2180.0|0|2180.0|0|53.0|0|0.0|100
0|2021-11-01|2189.0|0|2189.0|0|53.0|0|0.0|100
0|2021-11-02|2203.0|0|2203.0|0|53.0|0|0.0|100
0|2021-11-03|2223.0|0|2223.0|0|54.0|0|0.0|100
0|2021-11-04|2243.0|0|2243.0|0|54.0|0|0.0|100
0|2021-11-05|2248.0|0|2248.0|0|55.0|0|0.0|100
0|2021-11-06|2248.0|0|2248.0|0|55.0|0|0.0|100
0|2021-11-07|2248.0|0|2248.0|0|55.0|0|0.0|100
0|2021-11-08|2268.0|0|2268.0|0|55.0|0|0.0|100
0|2021-11-09|2288.0|0|2288.0|0|55.0|0|0.0|100
0|2021-11-10|2288.0|0|2297.0|0|55.0|0|0.0|100
0|2021-11-11|2297.0|0|2297.0|0|56.0|0|0.0|100
0|2021-11-12|2311.0|0|2311.0|0|56.0|0|0.0|100
0|2021-11-13|2311.0|0|2311.0|0|56.0|0|0.0|100
0|2021-11-14|2311.0|0|2311.0|0|56.0|0|0.0|100
0|2021-11-15|2352.0|0|2352.0|0|56.0|0|0.0|100
0|2021-11-16|2360.0|0|2360.0|0|57.0|0|0.0|100
0|2021-11-17|2378.0|0|2378.0|0|57.0|0|0.0|100
0|2021-11-18|2387.0|0|2387.0|0|59.0|0|0.0|100
0|2021-11-19|2397.0|0|2397.0|0|60.0|0|0.0|100
0|2021-11-20|2397.0|0|2397.0|0|60.0|0|0.0|100
0|2021-11-21|2397.0|0|2397.0|0|60.0|0|0.0|100
0|2021-11-22|2402.0|0|2402.0|0|60.0|0|0.0|100
0|2021-11-23|2408.0|0|2408.0|0|62.0|0|0.0|100
0|2021-11-24|2425.0|0|2425.0|0|62.0|0|0.0|100
0|2021-11-25|2425.0|0|2425.0|0|62.0|0|0.0|100
0|2021-11-26|2432.0|0|2432.0|0|62.0|0|0.0|100
0|2021-11-27|2432.0|0|2432.0|0|62.0|0|0.0|100
0|2021-11-28|2432.0|0|2432.0|0|62.0|0|0.0|100
0|2021-11-29|2449.0|0|2449.0|0|62.0|0|0.0|100
0|2021-11-30|2451.0|0|2451.0|0|62.0|0|0.0|100
0|2021-12-01|2452.0|0|2452.0|0|62.0|0|0.0|100
0|2021-12-02|2461.0|0|2461.0|0|62.0|0|0.0|100
0|2021-12-03|2461.0|0|2464.0|0|62.0|0|0.0|100
0|2021-12-04|2464.0|0|2464.0|0|62.0|0|0.0|100
0|2021-12-05|2464.0|0|2464.0|0|62.0|0|0.0|100
0|2021-12-06|2468.0|0|2468.0|0|62.0|0|0.0|100
0|2021-12-07|2469.0|0|2469.0|0|62.0|0|0.0|100
0|2021-12-08|2476.0|0|2476.0|0|62.0|0|0.0|100
0|2021-12-09|2480.0|0|2480.0|0|62.0|0|0.0|100
0|2021-12-10|2486.0|0|2486.0|0|62.0|0|0.0|100
0|2021-12-11|2486.0|0|2486.0|0|62.0|0|0.0|100
0|2021-12-12|2486.0|0|2486.0|0|62.0|0|0.0|100
0|2021-12-13|2488.0|0|2488.0|0|62.0|0|0.0|100
0|2021-12-14|2488.0|0|2489.0|0|62.0|0|0.0|100
0|2021-12-15|2491.0|0|2491.0|0|62.0|0|0.0|100
0|2021-12-16|2492.0|0|2492.0|0|62.0|0|0.0|100
0|2021-12-17|2494.0|0|2494.0|0|62.0|0|0.0|100
0|2021-12-18|2494.0|0|2494.0|0|62.0|0|0.0|100
0|2021-12-19|2494.0|0|2494.0|0|62.0|0|0.0|100
0|2021-12-20|2494.0|0|2494.0|0|62.0|0|0.0|100
0|2021-12-21|2495.0|0|2495.0|0|63.0|0|0.0|100
0|2021-12-22|2498.0|0|2498.0|0|63.0|0|0.0|100
0|2021-12-23|2500.0|0|2500.0|0|63.0|0|0.0|100
0|2021-12-24|2500.0|0|2500.0|0|63.0|0|0.0|100
0|2021-12-25|2500.0|0|2500.0|0|63.0|0|0.0|100
0|2021-12-26|2500.0|0|2500.0|0|63.0|0|0.0|100
0|2021-12-27|2501.0|0|2501.0|0|63.0|0|0.0|100
0|2021-12-28|2501.0|0|2501.0|0|63.0|0|0.0|100
0|2021-12-29|2505.0|0|2505.0|0|63.0|0|0.0|100
0|2021-12-30|2505.0|0|2505.0|0|63.0|0|0.0|100
0|2021-12-31|2505.0|0|2505.0|0|63.0|0|0.0|100
0|2022-01-01|2505.0|0|2505.0|0|63.0|0|0.0|100
0|2022-01-02|2505.0|0|2505.0|0|63.0|0|0.0|100
0|2022-01-03|2519.0|0|2519.0|0|63.0|0|0.0|100
0|2022-01-04|2526.0|0|2526.0|0|63.0|0|0.0|100
0|2022-01-05|2532.0|0|2532.0|0|63.0|0|0.0|100
0|2022-01-06|2547.0|0|2547.0|0|63.0|0|0.0|100
0|2022-01-07|2563.0|0|2563.0|0|63.0|0|0.0|100
0|2022-01-08|2563.0|0|2563.0|0|63.0|0|0.0|100
0|2022-01-09|2563.0|0|2563.0|0|63.0|0|0.0|100
0|2022-01-10|2577.0|0|2577.0|0|63.0|0|0.0|100
0|2022-01-11|2586.0|0|2586.0|0|63.0|0|0.0|100
0|2022-01-12|2597.0|0|2597.0|0|63.0|0|0.0|100
0|2022-01-13|2597.0|0|2609.0|0|63.0|0|0.0|100
0|2022-01-14|2632.0|0|2632.0|0|63.0|0|0.0|100
0|2022-01-15|2632.0|0|2632.0|0|63.0|0|0.0|100
0|2022-01-16|2632.0|0|2632.0|0|63.0|0|0.0|100
0|2022-01-17|2632.0|0|0.0|100|63.0|0|0.0|100
