|dates|Marion_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Marion_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Marion_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Marion_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Marion_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Marion_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Marion_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Marion_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5694.0|0|5694.0|0|52.0|0|0.0|100
0|2021-10-18|5708.0|0|5708.0|0|52.0|0|0.0|100
0|2021-10-19|5712.0|0|5712.0|0|52.0|0|0.0|100
0|2021-10-20|5728.0|0|5728.0|0|53.0|0|0.0|100
0|2021-10-21|5736.0|0|5736.0|0|53.0|0|0.0|100
0|2021-10-22|5741.0|0|5741.0|0|53.0|0|0.0|100
0|2021-10-23|5741.0|0|5741.0|0|53.0|0|0.0|100
0|2021-10-24|5741.0|0|5741.0|0|53.0|0|0.0|100
0|2021-10-25|5741.0|0|5741.0|0|53.0|0|0.0|100
0|2021-10-26|5762.0|0|5762.0|0|54.0|0|0.0|100
0|2021-10-27|5765.0|0|5765.0|0|54.0|0|0.0|100
0|2021-10-28|5770.0|0|5770.0|0|54.0|0|0.0|100
0|2021-10-29|5783.0|0|5783.0|0|54.0|0|0.0|100
0|2021-10-30|5783.0|0|5783.0|0|54.0|0|0.0|100
0|2021-10-31|5783.0|0|5783.0|0|54.0|0|0.0|100
0|2021-11-01|5783.0|0|5783.0|0|54.0|0|0.0|100
0|2021-11-02|5794.0|0|5794.0|0|54.0|0|0.0|100
0|2021-11-03|5797.0|0|5797.0|0|54.0|0|0.0|100
0|2021-11-04|5800.0|0|5800.0|0|54.0|0|0.0|100
0|2021-11-05|5806.0|0|5806.0|0|55.0|0|0.0|100
0|2021-11-06|5806.0|0|5806.0|0|55.0|0|0.0|100
0|2021-11-07|5806.0|0|5806.0|0|55.0|0|0.0|100
0|2021-11-08|5806.0|0|5806.0|0|55.0|0|0.0|100
0|2021-11-09|5818.0|0|5818.0|0|55.0|0|0.0|100
0|2021-11-10|5818.0|0|5822.0|0|55.0|0|0.0|100
0|2021-11-11|5822.0|0|5822.0|0|55.0|0|0.0|100
0|2021-11-12|5833.0|0|5833.0|0|55.0|0|0.0|100
0|2021-11-13|5833.0|0|5833.0|0|55.0|0|0.0|100
0|2021-11-14|5833.0|0|5833.0|0|55.0|0|0.0|100
0|2021-11-15|5843.0|0|5843.0|0|55.0|0|0.0|100
0|2021-11-16|5846.0|0|5846.0|0|56.0|0|0.0|100
0|2021-11-17|5855.0|0|5855.0|0|57.0|0|0.0|100
0|2021-11-18|5863.0|0|5863.0|0|57.0|0|0.0|100
0|2021-11-19|5867.0|0|5867.0|0|57.0|0|0.0|100
0|2021-11-20|5867.0|0|5867.0|0|57.0|0|0.0|100
0|2021-11-21|5867.0|0|5867.0|0|57.0|0|0.0|100
0|2021-11-22|5872.0|0|5872.0|0|57.0|0|0.0|100
0|2021-11-23|5875.0|0|5875.0|0|57.0|0|0.0|100
0|2021-11-24|5880.0|0|5880.0|0|58.0|0|0.0|100
0|2021-11-25|5880.0|0|5880.0|0|58.0|0|0.0|100
0|2021-11-26|5880.0|0|5880.0|0|58.0|0|0.0|100
0|2021-11-27|5880.0|0|5880.0|0|58.0|0|0.0|100
0|2021-11-28|5880.0|0|5880.0|0|58.0|0|0.0|100
0|2021-11-29|5895.0|0|5895.0|0|58.0|0|0.0|100
0|2021-11-30|5899.0|0|5899.0|0|58.0|0|0.0|100
0|2021-12-01|5900.0|0|5900.0|0|65.0|0|0.0|100
0|2021-12-02|5904.0|0|5904.0|0|66.0|0|0.0|100
0|2021-12-03|5904.0|0|5904.0|0|70.0|0|0.0|100
0|2021-12-04|5904.0|0|5904.0|0|70.0|0|0.0|100
0|2021-12-05|5904.0|0|5904.0|0|70.0|0|0.0|100
0|2021-12-06|5917.0|0|5917.0|0|70.0|0|0.0|100
0|2021-12-07|5920.0|0|5920.0|0|74.0|0|0.0|100
0|2021-12-08|5924.0|0|5924.0|0|75.0|0|0.0|100
0|2021-12-09|5924.0|0|5924.0|0|75.0|0|0.0|100
0|2021-12-10|5938.0|0|5938.0|0|75.0|0|0.0|100
0|2021-12-11|5938.0|0|5938.0|0|75.0|0|0.0|100
0|2021-12-12|5938.0|0|5938.0|0|75.0|0|0.0|100
0|2021-12-13|5956.0|0|5956.0|0|75.0|0|0.0|100
0|2021-12-14|5956.0|0|5959.0|0|75.0|0|0.0|100
0|2021-12-15|5969.0|0|5969.0|0|77.0|0|0.0|100
0|2021-12-16|5977.0|0|5977.0|0|77.0|0|0.0|100
0|2021-12-17|5983.0|0|5983.0|0|77.0|0|0.0|100
0|2021-12-18|5983.0|0|5983.0|0|77.0|0|0.0|100
0|2021-12-19|5983.0|0|5983.0|0|77.0|0|0.0|100
0|2021-12-20|5996.0|0|5996.0|0|78.0|0|0.0|100
0|2021-12-21|6001.0|0|6001.0|0|78.0|0|0.0|100
0|2021-12-22|6008.0|0|6008.0|0|79.0|0|0.0|100
0|2021-12-23|6021.0|0|6021.0|0|107.0|0|0.0|100
0|2021-12-24|6021.0|0|6021.0|0|107.0|0|0.0|100
0|2021-12-25|6021.0|0|6021.0|0|107.0|0|0.0|100
0|2021-12-26|6021.0|0|6021.0|0|107.0|0|0.0|100
0|2021-12-27|6059.0|0|6059.0|0|110.0|0|0.0|100
0|2021-12-28|6070.0|0|6070.0|0|110.0|0|0.0|100
0|2021-12-29|6086.0|0|6086.0|0|110.0|0|0.0|100
0|2021-12-30|6132.0|0|6132.0|0|110.0|0|0.0|100
0|2021-12-31|6132.0|0|6132.0|0|110.0|0|0.0|100
0|2022-01-01|6132.0|0|6132.0|0|110.0|0|0.0|100
0|2022-01-02|6132.0|0|6132.0|0|110.0|0|0.0|100
0|2022-01-03|6244.0|0|6244.0|0|110.0|0|0.0|100
