|dates|Culberson_Texas_UnitedStates.JHU_ConfirmedCases.data|Culberson_Texas_UnitedStates.JHU_ConfirmedCases.missing|Culberson_Texas_UnitedStates.NYT_ConfirmedCases.data|Culberson_Texas_UnitedStates.NYT_ConfirmedCases.missing|Culberson_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Culberson_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Culberson_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Culberson_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|387.0|0|387.0|0|11.0|0|0.0|100
0|2021-10-18|387.0|0|387.0|0|11.0|0|0.0|100
0|2021-10-19|387.0|0|387.0|0|11.0|0|0.0|100
0|2021-10-20|387.0|0|387.0|0|11.0|0|0.0|100
0|2021-10-21|387.0|0|387.0|0|11.0|0|0.0|100
0|2021-10-22|387.0|0|387.0|0|11.0|0|0.0|100
0|2021-10-23|387.0|0|387.0|0|11.0|0|0.0|100
0|2021-10-24|388.0|0|388.0|0|11.0|0|0.0|100
0|2021-10-25|388.0|0|388.0|0|11.0|0|0.0|100
0|2021-10-26|388.0|0|388.0|0|11.0|0|0.0|100
0|2021-10-27|388.0|0|388.0|0|11.0|0|0.0|100
0|2021-10-28|388.0|0|388.0|0|11.0|0|0.0|100
0|2021-10-29|389.0|0|389.0|0|11.0|0|0.0|100
0|2021-10-30|390.0|0|390.0|0|11.0|0|0.0|100
0|2021-10-31|390.0|0|390.0|0|11.0|0|0.0|100
0|2021-11-01|392.0|0|392.0|0|11.0|0|0.0|100
0|2021-11-02|392.0|0|392.0|0|11.0|0|0.0|100
0|2021-11-03|392.0|0|392.0|0|11.0|0|0.0|100
0|2021-11-04|392.0|0|392.0|0|11.0|0|0.0|100
0|2021-11-05|393.0|0|393.0|0|11.0|0|0.0|100
0|2021-11-06|393.0|0|393.0|0|11.0|0|0.0|100
0|2021-11-07|399.0|0|399.0|0|11.0|0|0.0|100
0|2021-11-08|399.0|0|399.0|0|11.0|0|0.0|100
0|2021-11-09|400.0|0|400.0|0|11.0|0|0.0|100
