|dates|Bonner_Idaho_UnitedStates.JHU_ConfirmedCases.data|Bonner_Idaho_UnitedStates.JHU_ConfirmedCases.missing|Bonner_Idaho_UnitedStates.NYT_ConfirmedCases.data|Bonner_Idaho_UnitedStates.NYT_ConfirmedCases.missing|Bonner_Idaho_UnitedStates.JHU_ConfirmedDeaths.data|Bonner_Idaho_UnitedStates.JHU_ConfirmedDeaths.missing|Bonner_Idaho_UnitedStates.JHU_ConfirmedRecoveries.data|Bonner_Idaho_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5120.0|0|5120.0|0|83.0|0|0.0|100
0|2021-10-18|5183.0|0|5183.0|0|89.0|0|0.0|100
0|2021-10-19|5223.0|0|5223.0|0|90.0|0|0.0|100
0|2021-10-20|5258.0|0|5258.0|0|90.0|0|0.0|100
0|2021-10-21|5324.0|0|5324.0|0|90.0|0|0.0|100
0|2021-10-22|5399.0|0|5399.0|0|94.0|0|0.0|100
0|2021-10-23|5452.0|0|5452.0|0|94.0|0|0.0|100
0|2021-10-24|5453.0|0|5453.0|0|94.0|0|0.0|100
0|2021-10-25|5489.0|0|5489.0|0|94.0|0|0.0|100
0|2021-10-26|5549.0|0|5549.0|0|94.0|0|0.0|100
0|2021-10-27|5605.0|0|5605.0|0|97.0|0|0.0|100
0|2021-10-28|5654.0|0|5654.0|0|97.0|0|0.0|100
0|2021-10-29|5677.0|0|5677.0|0|97.0|0|0.0|100
0|2021-10-30|5687.0|0|5687.0|0|97.0|0|0.0|100
0|2021-10-31|5687.0|0|5687.0|0|97.0|0|0.0|100
0|2021-11-01|5723.0|0|5723.0|0|100.0|0|0.0|100
0|2021-11-02|5762.0|0|5762.0|0|100.0|0|0.0|100
0|2021-11-03|5811.0|0|5811.0|0|103.0|0|0.0|100
0|2021-11-04|5831.0|0|5831.0|0|103.0|0|0.0|100
0|2021-11-05|5883.0|0|5883.0|0|103.0|0|0.0|100
0|2021-11-06|5897.0|0|5897.0|0|103.0|0|0.0|100
0|2021-11-07|5897.0|0|5897.0|0|103.0|0|0.0|100
0|2021-11-08|5918.0|0|5918.0|0|105.0|0|0.0|100
0|2021-11-09|5962.0|0|5962.0|0|105.0|0|0.0|100
0|2021-11-10|5992.0|0|5992.0|0|107.0|0|0.0|100
0|2021-11-11|5992.0|0|5992.0|0|107.0|0|0.0|100
0|2021-11-12|6033.0|0|5992.0|0|108.0|0|0.0|100
0|2021-11-13|6037.0|0|6033.0|0|108.0|0|0.0|100
0|2021-11-14|6037.0|0|6037.0|0|108.0|0|0.0|100
0|2021-11-15|6070.0|0|6070.0|0|110.0|0|0.0|100
0|2021-11-16|6145.0|0|6145.0|0|115.0|0|0.0|100
0|2021-11-17|6182.0|0|6182.0|0|115.0|0|0.0|100
0|2021-11-18|6207.0|0|6207.0|0|118.0|0|0.0|100
0|2021-11-19|6251.0|0|6207.0|0|119.0|0|0.0|100
