|dates|Motley_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Motley_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Motley_Texas_UnitedStates.Male_Total_Population.data|Motley_Texas_UnitedStates.Male_Total_Population.missing|Motley_Texas_UnitedStates.Female_Total_Population.data|Motley_Texas_UnitedStates.Female_Total_Population.missing|Motley_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Motley_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-10-18|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-10-19|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-10-20|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-10-21|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-10-22|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-10-23|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-10-24|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-10-25|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-10-26|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-10-27|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-10-28|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-10-29|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-10-30|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-10-31|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-01|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-02|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-03|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-04|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-05|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-06|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-07|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-08|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-09|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-10|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-11|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-12|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-13|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-14|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-15|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-16|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-17|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-18|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-19|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-20|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-21|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-22|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-23|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-24|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-25|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-26|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-27|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-28|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-29|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-11-30|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-01|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-02|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-03|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-04|374.0|0|634.0|0|600.0|0|245.0|0
0|2021-12-05|374.0|0|634.0|0|600.0|0|245.0|0
