|dates|Morgan_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Morgan_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Morgan_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Morgan_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Morgan_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Morgan_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Morgan_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Morgan_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3748.0|0|3748.0|0|46.0|0|0.0|100
0|2021-10-18|3757.0|0|3757.0|0|47.0|0|0.0|100
0|2021-10-19|3758.0|0|3758.0|0|47.0|0|0.0|100
0|2021-10-20|3766.0|0|3766.0|0|47.0|0|0.0|100
0|2021-10-21|3770.0|0|3770.0|0|47.0|0|0.0|100
0|2021-10-22|3776.0|0|3776.0|0|47.0|0|0.0|100
0|2021-10-23|3776.0|0|3776.0|0|47.0|0|0.0|100
0|2021-10-24|3776.0|0|3776.0|0|47.0|0|0.0|100
0|2021-10-25|3776.0|0|3776.0|0|47.0|0|0.0|100
0|2021-10-26|3794.0|0|3794.0|0|48.0|0|0.0|100
0|2021-10-27|3804.0|0|3804.0|0|49.0|0|0.0|100
0|2021-10-28|3810.0|0|3810.0|0|49.0|0|0.0|100
0|2021-10-29|3815.0|0|3815.0|0|49.0|0|0.0|100
0|2021-10-30|3815.0|0|3815.0|0|49.0|0|0.0|100
0|2021-10-31|3815.0|0|3815.0|0|49.0|0|0.0|100
0|2021-11-01|3815.0|0|3815.0|0|49.0|0|0.0|100
0|2021-11-02|3825.0|0|3825.0|0|49.0|0|0.0|100
0|2021-11-03|3831.0|0|3831.0|0|49.0|0|0.0|100
0|2021-11-04|3832.0|0|3832.0|0|49.0|0|0.0|100
0|2021-11-05|3834.0|0|3834.0|0|49.0|0|0.0|100
0|2021-11-06|3834.0|0|3834.0|0|49.0|0|0.0|100
0|2021-11-07|3834.0|0|3834.0|0|49.0|0|0.0|100
0|2021-11-08|3834.0|0|3834.0|0|49.0|0|0.0|100
0|2021-11-09|3841.0|0|3841.0|0|49.0|0|0.0|100
0|2021-11-10|3841.0|0|3861.0|0|49.0|0|0.0|100
0|2021-11-11|3861.0|0|3861.0|0|49.0|0|0.0|100
0|2021-11-12|3865.0|0|3865.0|0|49.0|0|0.0|100
0|2021-11-13|3865.0|0|3865.0|0|49.0|0|0.0|100
0|2021-11-14|3865.0|0|3865.0|0|49.0|0|0.0|100
0|2021-11-15|3867.0|0|3867.0|0|49.0|0|0.0|100
0|2021-11-16|3868.0|0|3868.0|0|49.0|0|0.0|100
0|2021-11-17|3874.0|0|3874.0|0|50.0|0|0.0|100
0|2021-11-18|3877.0|0|3877.0|0|50.0|0|0.0|100
0|2021-11-19|3880.0|0|3880.0|0|50.0|0|0.0|100
0|2021-11-20|3880.0|0|3880.0|0|50.0|0|0.0|100
0|2021-11-21|3880.0|0|3880.0|0|50.0|0|0.0|100
0|2021-11-22|3894.0|0|3894.0|0|50.0|0|0.0|100
0|2021-11-23|3909.0|0|3909.0|0|50.0|0|0.0|100
0|2021-11-24|3910.0|0|3910.0|0|50.0|0|0.0|100
0|2021-11-25|3910.0|0|3910.0|0|50.0|0|0.0|100
0|2021-11-26|3910.0|0|3910.0|0|50.0|0|0.0|100
0|2021-11-27|3910.0|0|3910.0|0|50.0|0|0.0|100
0|2021-11-28|3910.0|0|3910.0|0|50.0|0|0.0|100
0|2021-11-29|3926.0|0|3926.0|0|50.0|0|0.0|100
0|2021-11-30|3929.0|0|3929.0|0|50.0|0|0.0|100
0|2021-12-01|3936.0|0|3936.0|0|50.0|0|0.0|100
0|2021-12-02|3941.0|0|3941.0|0|50.0|0|0.0|100
0|2021-12-03|3945.0|0|3945.0|0|51.0|0|0.0|100
0|2021-12-04|3945.0|0|3945.0|0|51.0|0|0.0|100
0|2021-12-05|3945.0|0|3945.0|0|51.0|0|0.0|100
0|2021-12-06|3956.0|0|3956.0|0|51.0|0|0.0|100
0|2021-12-07|3960.0|0|3960.0|0|51.0|0|0.0|100
0|2021-12-08|3967.0|0|3967.0|0|51.0|0|0.0|100
0|2021-12-09|3967.0|0|3967.0|0|51.0|0|0.0|100
0|2021-12-10|3987.0|0|3987.0|0|51.0|0|0.0|100
0|2021-12-11|3987.0|0|3987.0|0|51.0|0|0.0|100
0|2021-12-12|3987.0|0|3987.0|0|51.0|0|0.0|100
0|2021-12-13|3992.0|0|3992.0|0|51.0|0|0.0|100
0|2021-12-14|3992.0|0|3992.0|0|51.0|0|0.0|100
0|2021-12-15|4006.0|0|4006.0|0|51.0|0|0.0|100
0|2021-12-16|4010.0|0|4010.0|0|51.0|0|0.0|100
0|2021-12-17|4011.0|0|4011.0|0|51.0|0|0.0|100
0|2021-12-18|4011.0|0|4011.0|0|51.0|0|0.0|100
0|2021-12-19|4011.0|0|4011.0|0|51.0|0|0.0|100
0|2021-12-20|4025.0|0|4025.0|0|52.0|0|0.0|100
0|2021-12-21|4031.0|0|4031.0|0|52.0|0|0.0|100
0|2021-12-22|4038.0|0|4038.0|0|52.0|0|0.0|100
0|2021-12-23|4049.0|0|4049.0|0|57.0|0|0.0|100
0|2021-12-24|4049.0|0|4049.0|0|57.0|0|0.0|100
0|2021-12-25|4049.0|0|4049.0|0|57.0|0|0.0|100
0|2021-12-26|4049.0|0|4049.0|0|57.0|0|0.0|100
0|2021-12-27|4068.0|0|4068.0|0|57.0|0|0.0|100
0|2021-12-28|4074.0|0|4074.0|0|57.0|0|0.0|100
0|2021-12-29|4081.0|0|4081.0|0|57.0|0|0.0|100
0|2021-12-30|4109.0|0|4109.0|0|57.0|0|0.0|100
0|2021-12-31|4109.0|0|4109.0|0|57.0|0|0.0|100
0|2022-01-01|4109.0|0|4109.0|0|57.0|0|0.0|100
0|2022-01-02|4109.0|0|4109.0|0|57.0|0|0.0|100
0|2022-01-03|4162.0|0|4162.0|0|57.0|0|0.0|100
0|2022-01-04|4177.0|0|4177.0|0|57.0|0|0.0|100
0|2022-01-05|4177.0|0|4177.0|0|57.0|0|0.0|100
0|2022-01-06|4177.0|0|4177.0|0|57.0|0|0.0|100
0|2022-01-07|4177.0|0|4177.0|0|57.0|0|0.0|100
0|2022-01-08|4177.0|0|4177.0|0|57.0|0|0.0|100
0|2022-01-09|4177.0|0|4177.0|0|57.0|0|0.0|100
0|2022-01-10|4177.0|0|4177.0|0|57.0|0|0.0|100
0|2022-01-11|4177.0|0|4177.0|0|57.0|0|0.0|100
0|2022-01-12|4308.0|0|4308.0|0|60.0|0|0.0|100
0|2022-01-13|4308.0|0|4308.0|0|60.0|0|0.0|100
0|2022-01-14|4308.0|0|4308.0|0|60.0|0|0.0|100
0|2022-01-15|4308.0|0|4308.0|0|60.0|0|0.0|100
0|2022-01-16|4308.0|0|4308.0|0|60.0|0|0.0|100
0|2022-01-17|4308.0|0|0.0|100|60.0|0|0.0|100
