|dates|OtterTail_Minnesota_UnitedStates.JHU_ConfirmedCases.data|OtterTail_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|OtterTail_Minnesota_UnitedStates.NYT_ConfirmedCases.data|OtterTail_Minnesota_UnitedStates.NYT_ConfirmedCases.missing|OtterTail_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|OtterTail_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|OtterTail_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|OtterTail_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7807.0|0|7807.0|0|104.0|0|0.0|100
0|2021-10-18|7868.0|0|7868.0|0|104.0|0|0.0|100
0|2021-10-19|7941.0|0|7941.0|0|104.0|0|0.0|100
0|2021-10-20|7977.0|0|7977.0|0|105.0|0|0.0|100
0|2021-10-21|8020.0|0|8020.0|0|105.0|0|0.0|100
0|2021-10-22|8061.0|0|8061.0|0|105.0|0|0.0|100
0|2021-10-23|8061.0|0|8061.0|0|105.0|0|0.0|100
0|2021-10-24|8061.0|0|8061.0|0|105.0|0|0.0|100
0|2021-10-25|8119.0|0|8119.0|0|106.0|0|0.0|100
0|2021-10-26|8234.0|0|8234.0|0|106.0|0|0.0|100
0|2021-10-27|8258.0|0|8258.0|0|107.0|0|0.0|100
0|2021-10-28|8310.0|0|8310.0|0|108.0|0|0.0|100
0|2021-10-29|8362.0|0|8362.0|0|108.0|0|0.0|100
0|2021-10-30|8362.0|0|8362.0|0|108.0|0|0.0|100
0|2021-10-31|8362.0|0|8362.0|0|108.0|0|0.0|100
0|2021-11-01|8454.0|0|8454.0|0|109.0|0|0.0|100
0|2021-11-02|8557.0|0|8557.0|0|109.0|0|0.0|100
0|2021-11-03|8607.0|0|8607.0|0|110.0|0|0.0|100
0|2021-11-04|8664.0|0|8664.0|0|110.0|0|0.0|100
0|2021-11-05|8743.0|0|8743.0|0|110.0|0|0.0|100
0|2021-11-06|8743.0|0|8743.0|0|110.0|0|0.0|100
0|2021-11-07|8743.0|0|8743.0|0|110.0|0|0.0|100
0|2021-11-08|8784.0|0|8784.0|0|112.0|0|0.0|100
0|2021-11-09|8869.0|0|8869.0|0|113.0|0|0.0|100
0|2021-11-10|8869.0|0|8936.0|0|113.0|0|0.0|100
0|2021-11-11|9007.0|0|9007.0|0|115.0|0|0.0|100
