|dates|Boone_Iowa_UnitedStates.JHU_ConfirmedCases.data|Boone_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Boone_Iowa_UnitedStates.NYT_ConfirmedCases.data|Boone_Iowa_UnitedStates.NYT_ConfirmedCases.missing|Boone_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Boone_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Boone_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Boone_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3448.0|0|3452.0|0|37.0|0|0.0|100
0|2021-10-18|3448.0|0|3452.0|0|37.0|0|0.0|100
0|2021-10-19|3448.0|0|3452.0|0|37.0|0|0.0|100
0|2021-10-20|3509.0|0|3513.0|0|37.0|0|0.0|100
0|2021-10-21|3509.0|0|3513.0|0|37.0|0|0.0|100
0|2021-10-22|3509.0|0|3513.0|0|37.0|0|0.0|100
0|2021-10-23|3509.0|0|3513.0|0|37.0|0|0.0|100
0|2021-10-24|3509.0|0|3513.0|0|37.0|0|0.0|100
0|2021-10-25|3509.0|0|3513.0|0|37.0|0|0.0|100
0|2021-10-26|3509.0|0|3513.0|0|37.0|0|0.0|100
0|2021-10-27|3572.0|0|3582.0|0|37.0|0|0.0|100
0|2021-10-28|3572.0|0|3582.0|0|37.0|0|0.0|100
0|2021-10-29|3572.0|0|3582.0|0|37.0|0|0.0|100
0|2021-10-30|3572.0|0|3582.0|0|37.0|0|0.0|100
0|2021-10-31|3572.0|0|3582.0|0|37.0|0|0.0|100
0|2021-11-01|3572.0|0|3582.0|0|37.0|0|0.0|100
0|2021-11-02|3572.0|0|3582.0|0|37.0|0|0.0|100
0|2021-11-03|3654.0|0|3660.0|0|38.0|0|0.0|100
0|2021-11-04|3654.0|0|3660.0|0|38.0|0|0.0|100
0|2021-11-05|3654.0|0|3660.0|0|38.0|0|0.0|100
0|2021-11-06|3654.0|0|3660.0|0|38.0|0|0.0|100
0|2021-11-07|3654.0|0|3660.0|0|38.0|0|0.0|100
0|2021-11-08|3654.0|0|3660.0|0|38.0|0|0.0|100
0|2021-11-09|3654.0|0|3660.0|0|38.0|0|0.0|100
0|2021-11-10|3654.0|0|3729.0|0|38.0|0|0.0|100
0|2021-11-11|3721.0|0|3729.0|0|38.0|0|0.0|100
0|2021-11-12|3721.0|0|3729.0|0|38.0|0|0.0|100
0|2021-11-13|3721.0|0|3729.0|0|38.0|0|0.0|100
0|2021-11-14|3721.0|0|3729.0|0|38.0|0|0.0|100
0|2021-11-15|3721.0|0|3729.0|0|38.0|0|0.0|100
0|2021-11-16|3721.0|0|3729.0|0|38.0|0|0.0|100
0|2021-11-17|3804.0|0|3819.0|0|38.0|0|0.0|100
0|2021-11-18|3804.0|0|3819.0|0|38.0|0|0.0|100
0|2021-11-19|3804.0|0|3819.0|0|38.0|0|0.0|100
0|2021-11-20|3804.0|0|3819.0|0|38.0|0|0.0|100
0|2021-11-21|3804.0|0|3819.0|0|38.0|0|0.0|100
0|2021-11-22|3804.0|0|3819.0|0|38.0|0|0.0|100
0|2021-11-23|3804.0|0|3819.0|0|38.0|0|0.0|100
0|2021-11-24|3897.0|0|3913.0|0|39.0|0|0.0|100
0|2021-11-25|3897.0|0|3913.0|0|39.0|0|0.0|100
0|2021-11-26|3897.0|0|3913.0|0|39.0|0|0.0|100
0|2021-11-27|3897.0|0|3913.0|0|39.0|0|0.0|100
0|2021-11-28|3897.0|0|3913.0|0|39.0|0|0.0|100
0|2021-11-29|3897.0|0|3913.0|0|39.0|0|0.0|100
0|2021-11-30|3897.0|0|3913.0|0|39.0|0|0.0|100
