|dates|Washington_Maryland_UnitedStates.JHU_ConfirmedCases.data|Washington_Maryland_UnitedStates.JHU_ConfirmedCases.missing|Washington_Maryland_UnitedStates.NYT_ConfirmedCases.data|Washington_Maryland_UnitedStates.NYT_ConfirmedCases.missing|Washington_Maryland_UnitedStates.JHU_ConfirmedDeaths.data|Washington_Maryland_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_Maryland_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_Maryland_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|18994.0|0|18999.0|0|380.0|0|0.0|100
0|2021-10-18|19036.0|0|19041.0|0|380.0|0|0.0|100
0|2021-10-19|19042.0|0|19047.0|0|382.0|0|0.0|100
0|2021-10-20|19057.0|0|19062.0|0|387.0|0|0.0|100
0|2021-10-21|19213.0|0|19218.0|0|388.0|0|0.0|100
0|2021-10-22|19266.0|0|19271.0|0|390.0|0|0.0|100
0|2021-10-23|19341.0|0|19346.0|0|390.0|0|0.0|100
0|2021-10-24|19389.0|0|19394.0|0|392.0|0|0.0|100
0|2021-10-25|19417.0|0|19422.0|0|392.0|0|0.0|100
0|2021-10-26|19443.0|0|19448.0|0|393.0|0|0.0|100
0|2021-10-27|19513.0|0|19518.0|0|393.0|0|0.0|100
0|2021-10-28|19567.0|0|19572.0|0|395.0|0|0.0|100
0|2021-10-29|19648.0|0|19653.0|0|396.0|0|0.0|100
0|2021-10-30|19714.0|0|19719.0|0|396.0|0|0.0|100
0|2021-10-31|19763.0|0|19768.0|0|397.0|0|0.0|100
0|2021-11-01|19782.0|0|19787.0|0|397.0|0|0.0|100
0|2021-11-02|19792.0|0|19797.0|0|401.0|0|0.0|100
0|2021-11-03|19871.0|0|19876.0|0|406.0|0|0.0|100
0|2021-11-04|19927.0|0|19932.0|0|406.0|0|0.0|100
0|2021-11-05|19987.0|0|19992.0|0|407.0|0|0.0|100
0|2021-11-06|20057.0|0|20062.0|0|409.0|0|0.0|100
0|2021-11-07|20114.0|0|20119.0|0|409.0|0|0.0|100
0|2021-11-08|20153.0|0|20158.0|0|409.0|0|0.0|100
0|2021-11-09|20174.0|0|20179.0|0|410.0|0|0.0|100
0|2021-11-10|20286.0|0|20291.0|0|413.0|0|0.0|100
0|2021-11-11|20365.0|0|20370.0|0|416.0|0|0.0|100
0|2021-11-12|20428.0|0|20434.0|0|418.0|0|0.0|100
0|2021-11-13|20498.0|0|20504.0|0|418.0|0|0.0|100
0|2021-11-14|20559.0|0|20565.0|0|418.0|0|0.0|100
0|2021-11-15|20589.0|0|20595.0|0|418.0|0|0.0|100
0|2021-11-16|20619.0|0|20625.0|0|418.0|0|0.0|100
0|2021-11-17|20703.0|0|20709.0|0|419.0|0|0.0|100
0|2021-11-18|20785.0|0|20791.0|0|420.0|0|0.0|100
0|2021-11-19|20840.0|0|20846.0|0|420.0|0|0.0|100
0|2021-11-20|20896.0|0|20902.0|0|420.0|0|0.0|100
0|2021-11-21|20963.0|0|20969.0|0|420.0|0|0.0|100
0|2021-11-22|20998.0|0|21004.0|0|421.0|0|0.0|100
0|2021-11-23|21042.0|0|21048.0|0|421.0|0|0.0|100
0|2021-11-24|21129.0|0|21135.0|0|422.0|0|0.0|100
0|2021-11-25|21129.0|0|21135.0|0|422.0|0|0.0|100
0|2021-11-26|21129.0|0|21135.0|0|422.0|0|0.0|100
0|2021-11-27|21286.0|0|21292.0|0|423.0|0|0.0|100
