|dates|Lake_Indiana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Lake_Indiana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Lake_Indiana_UnitedStates.Male_Total_Population.data|Lake_Indiana_UnitedStates.Male_Total_Population.missing|Lake_Indiana_UnitedStates.Female_Total_Population.data|Lake_Indiana_UnitedStates.Female_Total_Population.missing|Lake_Indiana_UnitedStates.MaleAndFemale_Under18_Population.data|Lake_Indiana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-10-18|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-10-19|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-10-20|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-10-21|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-10-22|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-10-23|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-10-24|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-10-25|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-10-26|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-10-27|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-10-28|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-10-29|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-10-30|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-10-31|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-01|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-02|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-03|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-04|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-05|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-06|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-07|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-08|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-09|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-10|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-11|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-12|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-13|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-14|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-15|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-16|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-17|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-18|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-19|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-20|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-21|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-22|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-23|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-24|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-25|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-26|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-27|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-28|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-29|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-11-30|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-12-01|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-12-02|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-12-03|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-12-04|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-12-05|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-12-06|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-12-07|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-12-08|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-12-09|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-12-10|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-12-11|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-12-12|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-12-13|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-12-14|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-12-15|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-12-16|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-12-17|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-12-18|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-12-19|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-12-20|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-12-21|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-12-22|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-12-23|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-12-24|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-12-25|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-12-26|80104.0|0|234475.0|0|249936.0|0|113194.0|0
0|2021-12-27|80104.0|0|234475.0|0|249936.0|0|113194.0|0
