|dates|Grant_Oklahoma_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Grant_Oklahoma_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Grant_Oklahoma_UnitedStates.Male_Total_Population.data|Grant_Oklahoma_UnitedStates.Male_Total_Population.missing|Grant_Oklahoma_UnitedStates.Female_Total_Population.data|Grant_Oklahoma_UnitedStates.Female_Total_Population.missing|Grant_Oklahoma_UnitedStates.MaleAndFemale_Under18_Population.data|Grant_Oklahoma_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-10-18|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-10-19|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-10-20|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-10-21|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-10-22|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-10-23|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-10-24|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-10-25|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-10-26|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-10-27|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-10-28|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-10-29|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-10-30|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-10-31|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-11-01|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-11-02|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-11-03|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-11-04|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-11-05|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-11-06|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-11-07|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-11-08|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-11-09|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-11-10|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-11-11|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-11-12|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-11-13|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-11-14|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-11-15|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-11-16|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-11-17|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-11-18|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-11-19|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-11-20|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-11-21|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-11-22|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-11-23|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-11-24|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-11-25|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-11-26|951.0|0|2145.0|0|2181.0|0|1029.0|0
0|2021-11-27|951.0|0|2145.0|0|2181.0|0|1029.0|0
