|dates|Montcalm_Michigan_UnitedStates.JHU_ConfirmedCases.data|Montcalm_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Montcalm_Michigan_UnitedStates.NYT_ConfirmedCases.data|Montcalm_Michigan_UnitedStates.NYT_ConfirmedCases.missing|Montcalm_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Montcalm_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Montcalm_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Montcalm_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|8157.0|0|10275.0|0|123.0|0|0.0|100
0|2021-10-18|8296.0|0|10414.0|0|123.0|0|0.0|100
0|2021-10-19|8296.0|0|10414.0|0|123.0|0|0.0|100
0|2021-10-20|8390.0|0|10508.0|0|124.0|0|0.0|100
0|2021-10-21|8390.0|0|10508.0|0|124.0|0|0.0|100
0|2021-10-22|8526.0|0|10644.0|0|126.0|0|0.0|100
0|2021-10-23|8526.0|0|10644.0|0|126.0|0|0.0|100
0|2021-10-24|8526.0|0|10644.0|0|126.0|0|0.0|100
0|2021-10-25|8637.0|0|10755.0|0|127.0|0|0.0|100
0|2021-10-26|8637.0|0|10755.0|0|127.0|0|0.0|100
0|2021-10-27|8738.0|0|10856.0|0|127.0|0|0.0|100
0|2021-10-28|8738.0|0|10856.0|0|127.0|0|0.0|100
0|2021-10-29|8803.0|0|10921.0|0|127.0|0|0.0|100
0|2021-10-30|8803.0|0|10921.0|0|127.0|0|0.0|100
0|2021-10-31|8803.0|0|10921.0|0|127.0|0|0.0|100
0|2021-11-01|8888.0|0|11006.0|0|128.0|0|0.0|100
0|2021-11-02|8888.0|0|11006.0|0|128.0|0|0.0|100
0|2021-11-03|8986.0|0|11104.0|0|131.0|0|0.0|100
0|2021-11-04|8986.0|0|11104.0|0|131.0|0|0.0|100
0|2021-11-05|9077.0|0|11195.0|0|131.0|0|0.0|100
0|2021-11-06|9077.0|0|11195.0|0|131.0|0|0.0|100
0|2021-11-07|9077.0|0|11195.0|0|131.0|0|0.0|100
0|2021-11-08|9176.0|0|11294.0|0|132.0|0|0.0|100
0|2021-11-09|9176.0|0|11294.0|0|132.0|0|0.0|100
0|2021-11-10|9234.0|0|11352.0|0|132.0|0|0.0|100
0|2021-11-11|9234.0|0|11352.0|0|132.0|0|0.0|100
0|2021-11-12|9402.0|0|11520.0|0|134.0|0|0.0|100
0|2021-11-13|9402.0|0|11520.0|0|134.0|0|0.0|100
0|2021-11-14|9402.0|0|11520.0|0|134.0|0|0.0|100
0|2021-11-15|9609.0|0|11727.0|0|134.0|0|0.0|100
0|2021-11-16|9609.0|0|11727.0|0|134.0|0|0.0|100
0|2021-11-17|9730.0|0|11848.0|0|137.0|0|0.0|100
0|2021-11-18|9730.0|0|11848.0|0|137.0|0|0.0|100
0|2021-11-19|9908.0|0|12026.0|0|138.0|0|0.0|100
0|2021-11-20|9908.0|0|12026.0|0|138.0|0|0.0|100
0|2021-11-21|9908.0|0|12026.0|0|138.0|0|0.0|100
0|2021-11-22|10085.0|0|12203.0|0|138.0|0|0.0|100
0|2021-11-23|10085.0|0|12203.0|0|138.0|0|0.0|100
0|2021-11-24|10207.0|0|12325.0|0|143.0|0|0.0|100
0|2021-11-25|10207.0|0|12325.0|0|143.0|0|0.0|100
0|2021-11-26|10207.0|0|12325.0|0|143.0|0|0.0|100
0|2021-11-27|10207.0|0|12325.0|0|143.0|0|0.0|100
0|2021-11-28|10207.0|0|12325.0|0|143.0|0|0.0|100
0|2021-11-29|10402.0|0|12520.0|0|145.0|0|0.0|100
0|2021-11-30|10402.0|0|12520.0|0|145.0|0|0.0|100
0|2021-12-01|10523.0|0|12641.0|0|147.0|0|0.0|100
0|2021-12-02|10523.0|0|12641.0|0|147.0|0|0.0|100
0|2021-12-03|10651.0|0|12769.0|0|148.0|0|0.0|100
0|2021-12-04|10651.0|0|12769.0|0|148.0|0|0.0|100
0|2021-12-05|10651.0|0|12769.0|0|148.0|0|0.0|100
0|2021-12-06|10773.0|0|12891.0|0|149.0|0|0.0|100
0|2021-12-07|10773.0|0|12891.0|0|149.0|0|0.0|100
0|2021-12-08|10869.0|0|12987.0|0|150.0|0|0.0|100
0|2021-12-09|10869.0|0|12987.0|0|150.0|0|0.0|100
0|2021-12-10|10981.0|0|13099.0|0|151.0|0|0.0|100
0|2021-12-11|10981.0|0|13099.0|0|151.0|0|0.0|100
0|2021-12-12|10981.0|0|13099.0|0|151.0|0|0.0|100
0|2021-12-13|11094.0|0|13212.0|0|153.0|0|0.0|100
0|2021-12-14|11094.0|0|13212.0|0|153.0|0|0.0|100
0|2021-12-15|11189.0|0|13307.0|0|154.0|0|0.0|100
0|2021-12-16|11189.0|0|13307.0|0|154.0|0|0.0|100
0|2021-12-17|11286.0|0|13404.0|0|157.0|0|0.0|100
0|2021-12-18|11286.0|0|13404.0|0|157.0|0|0.0|100
0|2021-12-19|11286.0|0|13404.0|0|157.0|0|0.0|100
0|2021-12-20|11389.0|0|13507.0|0|158.0|0|0.0|100
0|2021-12-21|11389.0|0|13507.0|0|158.0|0|0.0|100
0|2021-12-22|11441.0|0|13559.0|0|160.0|0|0.0|100
0|2021-12-23|11441.0|0|13559.0|0|160.0|0|0.0|100
0|2021-12-24|11441.0|0|13559.0|0|160.0|0|0.0|100
0|2021-12-25|11441.0|0|13559.0|0|160.0|0|0.0|100
0|2021-12-26|11441.0|0|13559.0|0|160.0|0|0.0|100
0|2021-12-27|11555.0|0|13673.0|0|162.0|0|0.0|100
0|2021-12-28|11555.0|0|13673.0|0|162.0|0|0.0|100
0|2021-12-29|11619.0|0|13737.0|0|165.0|0|0.0|100
0|2021-12-30|11619.0|0|13737.0|0|165.0|0|0.0|100
0|2021-12-31|11619.0|0|13737.0|0|165.0|0|0.0|100
0|2022-01-01|11619.0|0|13737.0|0|165.0|0|0.0|100
0|2022-01-02|11619.0|0|13737.0|0|165.0|0|0.0|100
0|2022-01-03|11809.0|0|13927.0|0|168.0|0|0.0|100
0|2022-01-04|11809.0|0|13927.0|0|168.0|0|0.0|100
0|2022-01-05|11904.0|0|14022.0|0|169.0|0|0.0|100
0|2022-01-06|11904.0|0|14022.0|0|169.0|0|0.0|100
0|2022-01-07|12042.0|0|14160.0|0|171.0|0|0.0|100
0|2022-01-08|12042.0|0|14160.0|0|171.0|0|0.0|100
0|2022-01-09|12042.0|0|14160.0|0|171.0|0|0.0|100
0|2022-01-10|12174.0|0|14292.0|0|172.0|0|0.0|100
0|2022-01-11|12174.0|0|14292.0|0|172.0|0|0.0|100
0|2022-01-12|12310.0|0|14428.0|0|176.0|0|0.0|100
0|2022-01-13|12310.0|0|14428.0|0|176.0|0|0.0|100
0|2022-01-14|12475.0|0|14593.0|0|177.0|0|0.0|100
0|2022-01-15|12475.0|0|14593.0|0|177.0|0|0.0|100
0|2022-01-16|12475.0|0|14593.0|0|177.0|0|0.0|100
0|2022-01-17|12475.0|0|0.0|100|177.0|0|0.0|100
