|dates|Sacramento_California_UnitedStates.BLS_EmployedPopulation.data|Sacramento_California_UnitedStates.BLS_EmployedPopulation.missing|Sacramento_California_UnitedStates.BLS_UnemployedPopulation.data|Sacramento_California_UnitedStates.BLS_UnemployedPopulation.missing|Sacramento_California_UnitedStates.BLS_UnemploymentRate.data|Sacramento_California_UnitedStates.BLS_UnemploymentRate.missing|Sacramento_California_UnitedStates.BLS_LaborForcePopulation.data|Sacramento_California_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-12-18|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2021-12-19|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2021-12-20|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2021-12-21|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2021-12-22|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2021-12-23|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2021-12-24|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2021-12-25|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2021-12-26|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2021-12-27|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2021-12-28|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2021-12-29|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2021-12-30|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2021-12-31|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2022-01-01|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2022-01-02|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2022-01-03|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2022-01-04|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2022-01-05|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2022-01-06|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2022-01-07|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2022-01-08|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2022-01-09|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2022-01-10|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2022-01-11|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2022-01-12|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2022-01-13|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2022-01-14|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2022-01-15|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2022-01-16|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
0|2022-01-17|655122.0|0|47906.0|0|6.8142378397446475|0|703028.0|0
