|dates|Union_NewMexico_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Union_NewMexico_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Union_NewMexico_UnitedStates.Male_Total_Population.data|Union_NewMexico_UnitedStates.Male_Total_Population.missing|Union_NewMexico_UnitedStates.Female_Total_Population.data|Union_NewMexico_UnitedStates.Female_Total_Population.missing|Union_NewMexico_UnitedStates.MaleAndFemale_Under18_Population.data|Union_NewMexico_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-10-18|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-10-19|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-10-20|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-10-21|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-10-22|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-10-23|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-10-24|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-10-25|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-10-26|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-10-27|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-10-28|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-10-29|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-10-30|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-10-31|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-11-01|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-11-02|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-11-03|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-11-04|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-11-05|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-11-06|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-11-07|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-11-08|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-11-09|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-11-10|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-11-11|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-11-12|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-11-13|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-11-14|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-11-15|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-11-16|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-11-17|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-11-18|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-11-19|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-11-20|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-11-21|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-11-22|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-11-23|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-11-24|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-11-25|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-11-26|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-11-27|862.0|0|2304.0|0|1814.0|0|776.0|0
0|2021-11-28|862.0|0|2304.0|0|1814.0|0|776.0|0
