|dates|Brooks_Texas_UnitedStates.JHU_ConfirmedCases.data|Brooks_Texas_UnitedStates.JHU_ConfirmedCases.missing|Brooks_Texas_UnitedStates.NYT_ConfirmedCases.data|Brooks_Texas_UnitedStates.NYT_ConfirmedCases.missing|Brooks_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Brooks_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Brooks_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Brooks_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1117.0|0|1117.0|0|47.0|0|0.0|100
0|2021-10-18|1117.0|0|1117.0|0|47.0|0|0.0|100
0|2021-10-19|1119.0|0|1119.0|0|47.0|0|0.0|100
0|2021-10-20|1119.0|0|1119.0|0|47.0|0|0.0|100
0|2021-10-21|1119.0|0|1119.0|0|47.0|0|0.0|100
0|2021-10-22|1119.0|0|1119.0|0|47.0|0|0.0|100
0|2021-10-23|1119.0|0|1119.0|0|47.0|0|0.0|100
0|2021-10-24|1119.0|0|1119.0|0|47.0|0|0.0|100
0|2021-10-25|1119.0|0|1119.0|0|47.0|0|0.0|100
0|2021-10-26|1119.0|0|1119.0|0|47.0|0|0.0|100
0|2021-10-27|1120.0|0|1120.0|0|47.0|0|0.0|100
0|2021-10-28|1121.0|0|1121.0|0|47.0|0|0.0|100
0|2021-10-29|1121.0|0|1121.0|0|47.0|0|0.0|100
0|2021-10-30|1124.0|0|1124.0|0|47.0|0|0.0|100
0|2021-10-31|1124.0|0|1124.0|0|47.0|0|0.0|100
0|2021-11-01|1124.0|0|1124.0|0|47.0|0|0.0|100
0|2021-11-02|1124.0|0|1124.0|0|47.0|0|0.0|100
0|2021-11-03|1125.0|0|1125.0|0|47.0|0|0.0|100
0|2021-11-04|1125.0|0|1125.0|0|47.0|0|0.0|100
0|2021-11-05|1125.0|0|1125.0|0|47.0|0|0.0|100
0|2021-11-06|1125.0|0|1125.0|0|47.0|0|0.0|100
0|2021-11-07|1125.0|0|1125.0|0|47.0|0|0.0|100
0|2021-11-08|1125.0|0|1125.0|0|47.0|0|0.0|100
0|2021-11-09|1125.0|0|1125.0|0|47.0|0|0.0|100
0|2021-11-10|1125.0|0|1125.0|0|47.0|0|0.0|100
0|2021-11-11|1125.0|0|1125.0|0|47.0|0|0.0|100
0|2021-11-12|1125.0|0|1125.0|0|47.0|0|0.0|100
0|2021-11-13|1125.0|0|1125.0|0|47.0|0|0.0|100
0|2021-11-14|1125.0|0|1125.0|0|47.0|0|0.0|100
0|2021-11-15|1125.0|0|1125.0|0|47.0|0|0.0|100
0|2021-11-16|1125.0|0|1125.0|0|47.0|0|0.0|100
0|2021-11-17|1125.0|0|1125.0|0|47.0|0|0.0|100
0|2021-11-18|1125.0|0|1125.0|0|47.0|0|0.0|100
0|2021-11-19|1125.0|0|1125.0|0|47.0|0|0.0|100
0|2021-11-20|1127.0|0|1127.0|0|47.0|0|0.0|100
0|2021-11-21|1127.0|0|1127.0|0|47.0|0|0.0|100
0|2021-11-22|1127.0|0|1127.0|0|47.0|0|0.0|100
0|2021-11-23|1127.0|0|1127.0|0|47.0|0|0.0|100
