|dates|Bradley_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Bradley_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Bradley_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Bradley_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Bradley_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Bradley_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Bradley_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Bradley_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|21875.0|0|21875.0|0|187.0|0|0.0|100
0|2021-10-18|21914.0|0|21914.0|0|187.0|0|0.0|100
0|2021-10-19|21943.0|0|21943.0|0|189.0|0|0.0|100
0|2021-10-20|21975.0|0|21975.0|0|190.0|0|0.0|100
0|2021-10-21|22008.0|0|22008.0|0|191.0|0|0.0|100
0|2021-10-22|22034.0|0|22034.0|0|193.0|0|0.0|100
0|2021-10-23|22034.0|0|22034.0|0|193.0|0|0.0|100
0|2021-10-24|22034.0|0|22034.0|0|193.0|0|0.0|100
0|2021-10-25|22034.0|0|22034.0|0|193.0|0|0.0|100
0|2021-10-26|22086.0|0|22086.0|0|195.0|0|0.0|100
0|2021-10-27|22113.0|0|22113.0|0|195.0|0|0.0|100
0|2021-10-28|22131.0|0|22131.0|0|196.0|0|0.0|100
0|2021-10-29|22157.0|0|22157.0|0|197.0|0|0.0|100
0|2021-10-30|22157.0|0|22157.0|0|197.0|0|0.0|100
0|2021-10-31|22157.0|0|22157.0|0|197.0|0|0.0|100
0|2021-11-01|22157.0|0|22157.0|0|197.0|0|0.0|100
0|2021-11-02|22221.0|0|22221.0|0|199.0|0|0.0|100
0|2021-11-03|22235.0|0|22235.0|0|201.0|0|0.0|100
0|2021-11-04|22261.0|0|22261.0|0|201.0|0|0.0|100
0|2021-11-05|22276.0|0|22276.0|0|202.0|0|0.0|100
0|2021-11-06|22276.0|0|22276.0|0|202.0|0|0.0|100
0|2021-11-07|22276.0|0|22276.0|0|202.0|0|0.0|100
0|2021-11-08|22276.0|0|22276.0|0|202.0|0|0.0|100
0|2021-11-09|22319.0|0|22319.0|0|203.0|0|0.0|100
0|2021-11-10|22334.0|0|22334.0|0|203.0|0|0.0|100
0|2021-11-11|22334.0|0|22334.0|0|203.0|0|0.0|100
0|2021-11-12|22370.0|0|22370.0|0|203.0|0|0.0|100
0|2021-11-13|22370.0|0|22370.0|0|203.0|0|0.0|100
0|2021-11-14|22370.0|0|22370.0|0|203.0|0|0.0|100
0|2021-11-15|22413.0|0|22413.0|0|203.0|0|0.0|100
0|2021-11-16|22428.0|0|22428.0|0|206.0|0|0.0|100
0|2021-11-17|22439.0|0|22439.0|0|212.0|0|0.0|100
0|2021-11-18|22463.0|0|22463.0|0|212.0|0|0.0|100
0|2021-11-19|22475.0|0|22475.0|0|212.0|0|0.0|100
0|2021-11-20|22475.0|0|22475.0|0|212.0|0|0.0|100
0|2021-11-21|22475.0|0|22475.0|0|212.0|0|0.0|100
0|2021-11-22|22520.0|0|22520.0|0|212.0|0|0.0|100
0|2021-11-23|22536.0|0|22536.0|0|215.0|0|0.0|100
0|2021-11-24|22549.0|0|22549.0|0|217.0|0|0.0|100
0|2021-11-25|22549.0|0|22549.0|0|217.0|0|0.0|100
0|2021-11-26|22549.0|0|22549.0|0|217.0|0|0.0|100
0|2021-11-27|22549.0|0|22549.0|0|217.0|0|0.0|100
0|2021-11-28|22549.0|0|22549.0|0|217.0|0|0.0|100
0|2021-11-29|22607.0|0|22607.0|0|218.0|0|0.0|100
0|2021-11-30|22659.0|0|22659.0|0|220.0|0|0.0|100
0|2021-12-01|22679.0|0|22679.0|0|224.0|0|0.0|100
0|2021-12-02|22708.0|0|22708.0|0|229.0|0|0.0|100
0|2021-12-03|22730.0|0|22730.0|0|233.0|0|0.0|100
0|2021-12-04|22730.0|0|22730.0|0|233.0|0|0.0|100
0|2021-12-05|22730.0|0|22730.0|0|233.0|0|0.0|100
0|2021-12-06|22784.0|0|22784.0|0|235.0|0|0.0|100
0|2021-12-07|22824.0|0|22824.0|0|238.0|0|0.0|100
0|2021-12-08|22856.0|0|22856.0|0|240.0|0|0.0|100
0|2021-12-09|22856.0|0|22856.0|0|240.0|0|0.0|100
0|2021-12-10|22927.0|0|22927.0|0|242.0|0|0.0|100
0|2021-12-11|22927.0|0|22927.0|0|242.0|0|0.0|100
0|2021-12-12|22927.0|0|22927.0|0|242.0|0|0.0|100
0|2021-12-13|22966.0|0|22966.0|0|242.0|0|0.0|100
0|2021-12-14|22966.0|0|23000.0|0|242.0|0|0.0|100
0|2021-12-15|23031.0|0|23031.0|0|248.0|0|0.0|100
0|2021-12-16|23073.0|0|23073.0|0|248.0|0|0.0|100
0|2021-12-17|23108.0|0|23108.0|0|249.0|0|0.0|100
0|2021-12-18|23108.0|0|23108.0|0|249.0|0|0.0|100
0|2021-12-19|23108.0|0|23108.0|0|249.0|0|0.0|100
0|2021-12-20|23188.0|0|23188.0|0|249.0|0|0.0|100
0|2021-12-21|23218.0|0|23218.0|0|252.0|0|0.0|100
0|2021-12-22|23253.0|0|23253.0|0|255.0|0|0.0|100
0|2021-12-23|23303.0|0|23303.0|0|309.0|0|0.0|100
0|2021-12-24|23303.0|0|23303.0|0|309.0|0|0.0|100
0|2021-12-25|23303.0|0|23303.0|0|309.0|0|0.0|100
0|2021-12-26|23303.0|0|23303.0|0|309.0|0|0.0|100
0|2021-12-27|23403.0|0|23403.0|0|316.0|0|0.0|100
0|2021-12-28|23492.0|0|23492.0|0|318.0|0|0.0|100
0|2021-12-29|23552.0|0|23552.0|0|319.0|0|0.0|100
0|2021-12-30|23701.0|0|23701.0|0|320.0|0|0.0|100
0|2021-12-31|23701.0|0|23701.0|0|320.0|0|0.0|100
0|2022-01-01|23701.0|0|23701.0|0|320.0|0|0.0|100
0|2022-01-02|23701.0|0|23701.0|0|320.0|0|0.0|100
0|2022-01-03|24082.0|0|24082.0|0|320.0|0|0.0|100
0|2022-01-04|24247.0|0|24247.0|0|321.0|0|0.0|100
0|2022-01-05|24247.0|0|24247.0|0|321.0|0|0.0|100
0|2022-01-06|24247.0|0|24247.0|0|321.0|0|0.0|100
0|2022-01-07|24247.0|0|24247.0|0|321.0|0|0.0|100
0|2022-01-08|24247.0|0|24247.0|0|321.0|0|0.0|100
0|2022-01-09|24247.0|0|24247.0|0|321.0|0|0.0|100
0|2022-01-10|24247.0|0|24247.0|0|321.0|0|0.0|100
0|2022-01-11|24247.0|0|24247.0|0|321.0|0|0.0|100
0|2022-01-12|25292.0|0|25292.0|0|323.0|0|0.0|100
0|2022-01-13|25292.0|0|25292.0|0|323.0|0|0.0|100
0|2022-01-14|25292.0|0|25292.0|0|323.0|0|0.0|100
0|2022-01-15|25292.0|0|25292.0|0|323.0|0|0.0|100
0|2022-01-16|25292.0|0|25292.0|0|323.0|0|0.0|100
0|2022-01-17|25292.0|0|0.0|100|323.0|0|0.0|100
