|dates|Calhoun_Michigan_UnitedStates.JHU_ConfirmedCases.data|Calhoun_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Calhoun_Michigan_UnitedStates.NYT_ConfirmedCases.data|Calhoun_Michigan_UnitedStates.NYT_ConfirmedCases.missing|Calhoun_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Calhoun_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Calhoun_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Calhoun_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|18176.0|0|18176.0|0|345.0|0|0.0|100
0|2021-10-18|18300.0|0|18300.0|0|345.0|0|0.0|100
0|2021-10-19|18300.0|0|18300.0|0|345.0|0|0.0|100
0|2021-10-20|18436.0|0|18436.0|0|347.0|0|0.0|100
0|2021-10-21|18436.0|0|18436.0|0|347.0|0|0.0|100
0|2021-10-22|18582.0|0|18582.0|0|351.0|0|0.0|100
0|2021-10-23|18582.0|0|18582.0|0|351.0|0|0.0|100
0|2021-10-24|18582.0|0|18582.0|0|351.0|0|0.0|100
0|2021-10-25|18672.0|0|18672.0|0|353.0|0|0.0|100
0|2021-10-26|18672.0|0|18672.0|0|353.0|0|0.0|100
0|2021-10-27|18818.0|0|18818.0|0|353.0|0|0.0|100
0|2021-10-28|18818.0|0|18818.0|0|353.0|0|0.0|100
0|2021-10-29|18951.0|0|18951.0|0|354.0|0|0.0|100
0|2021-10-30|18951.0|0|18951.0|0|354.0|0|0.0|100
0|2021-10-31|18951.0|0|18951.0|0|354.0|0|0.0|100
0|2021-11-01|19103.0|0|19103.0|0|356.0|0|0.0|100
0|2021-11-02|19103.0|0|19103.0|0|356.0|0|0.0|100
0|2021-11-03|19266.0|0|19266.0|0|357.0|0|0.0|100
0|2021-11-04|19266.0|0|19266.0|0|357.0|0|0.0|100
0|2021-11-05|19429.0|0|19429.0|0|359.0|0|0.0|100
0|2021-11-06|19429.0|0|19429.0|0|359.0|0|0.0|100
0|2021-11-07|19429.0|0|19429.0|0|359.0|0|0.0|100
0|2021-11-08|19554.0|0|19554.0|0|360.0|0|0.0|100
0|2021-11-09|19554.0|0|19554.0|0|360.0|0|0.0|100
0|2021-11-10|19554.0|0|19671.0|0|360.0|0|0.0|100
0|2021-11-11|19671.0|0|19671.0|0|363.0|0|0.0|100
0|2021-11-12|19907.0|0|19907.0|0|364.0|0|0.0|100
0|2021-11-13|19907.0|0|19907.0|0|364.0|0|0.0|100
0|2021-11-14|19907.0|0|19907.0|0|364.0|0|0.0|100
0|2021-11-15|20192.0|0|20192.0|0|369.0|0|0.0|100
0|2021-11-16|20192.0|0|20192.0|0|369.0|0|0.0|100
0|2021-11-17|20487.0|0|20487.0|0|370.0|0|0.0|100
0|2021-11-18|20487.0|0|20487.0|0|370.0|0|0.0|100
0|2021-11-19|20812.0|0|20812.0|0|372.0|0|0.0|100
0|2021-11-20|20812.0|0|20812.0|0|372.0|0|0.0|100
0|2021-11-21|20812.0|0|20812.0|0|372.0|0|0.0|100
0|2021-11-22|21076.0|0|21076.0|0|377.0|0|0.0|100
0|2021-11-23|21076.0|0|21076.0|0|377.0|0|0.0|100
0|2021-11-24|21430.0|0|21430.0|0|384.0|0|0.0|100
0|2021-11-25|21430.0|0|21430.0|0|384.0|0|0.0|100
0|2021-11-26|21430.0|0|21430.0|0|384.0|0|0.0|100
0|2021-11-27|21430.0|0|21430.0|0|384.0|0|0.0|100
0|2021-11-28|21430.0|0|21430.0|0|384.0|0|0.0|100
0|2021-11-29|21794.0|0|21794.0|0|393.0|0|0.0|100
0|2021-11-30|21794.0|0|21794.0|0|393.0|0|0.0|100
0|2021-12-01|22197.0|0|22197.0|0|401.0|0|0.0|100
