|dates|Wilbarger_Texas_UnitedStates.JHU_ConfirmedCases.data|Wilbarger_Texas_UnitedStates.JHU_ConfirmedCases.missing|Wilbarger_Texas_UnitedStates.NYT_ConfirmedCases.data|Wilbarger_Texas_UnitedStates.NYT_ConfirmedCases.missing|Wilbarger_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Wilbarger_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Wilbarger_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Wilbarger_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2284.0|0|2284.0|0|61.0|0|0.0|100
0|2021-10-18|2284.0|0|2284.0|0|61.0|0|0.0|100
0|2021-10-19|2299.0|0|2299.0|0|62.0|0|0.0|100
0|2021-10-20|2300.0|0|2300.0|0|62.0|0|0.0|100
0|2021-10-21|2309.0|0|2309.0|0|62.0|0|0.0|100
0|2021-10-22|2313.0|0|2313.0|0|62.0|0|0.0|100
0|2021-10-23|2315.0|0|2315.0|0|62.0|0|0.0|100
0|2021-10-24|2315.0|0|2315.0|0|62.0|0|0.0|100
0|2021-10-25|2315.0|0|2315.0|0|62.0|0|0.0|100
0|2021-10-26|2327.0|0|2327.0|0|62.0|0|0.0|100
0|2021-10-27|2329.0|0|2329.0|0|62.0|0|0.0|100
0|2021-10-28|2334.0|0|2334.0|0|62.0|0|0.0|100
0|2021-10-29|2341.0|0|2341.0|0|62.0|0|0.0|100
0|2021-10-30|2347.0|0|2347.0|0|62.0|0|0.0|100
0|2021-10-31|2347.0|0|2347.0|0|62.0|0|0.0|100
0|2021-11-01|2347.0|0|2347.0|0|62.0|0|0.0|100
0|2021-11-02|2360.0|0|2360.0|0|62.0|0|0.0|100
0|2021-11-03|2364.0|0|2364.0|0|62.0|0|0.0|100
0|2021-11-04|2369.0|0|2369.0|0|62.0|0|0.0|100
0|2021-11-05|2379.0|0|2379.0|0|62.0|0|0.0|100
