|dates|Franklin_Kansas_UnitedStates.JHU_ConfirmedCases.data|Franklin_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Franklin_Kansas_UnitedStates.NYT_ConfirmedCases.data|Franklin_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Franklin_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Franklin_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Franklin_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Franklin_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3724.0|0|3724.0|0|55.0|0|0.0|100
0|2021-10-18|3732.0|0|3732.0|0|55.0|0|0.0|100
0|2021-10-19|3732.0|0|3732.0|0|55.0|0|0.0|100
0|2021-10-20|3745.0|0|3745.0|0|58.0|0|0.0|100
0|2021-10-21|3745.0|0|3745.0|0|58.0|0|0.0|100
0|2021-10-22|3754.0|0|3754.0|0|58.0|0|0.0|100
0|2021-10-23|3754.0|0|3754.0|0|58.0|0|0.0|100
0|2021-10-24|3754.0|0|3754.0|0|58.0|0|0.0|100
0|2021-10-25|3755.0|0|3755.0|0|58.0|0|0.0|100
0|2021-10-26|3755.0|0|3755.0|0|58.0|0|0.0|100
0|2021-10-27|3773.0|0|3773.0|0|58.0|0|0.0|100
0|2021-10-28|3773.0|0|3773.0|0|58.0|0|0.0|100
0|2021-10-29|3798.0|0|3798.0|0|59.0|0|0.0|100
0|2021-10-30|3798.0|0|3798.0|0|59.0|0|0.0|100
0|2021-10-31|3798.0|0|3798.0|0|59.0|0|0.0|100
0|2021-11-01|3806.0|0|3806.0|0|59.0|0|0.0|100
0|2021-11-02|3806.0|0|3806.0|0|59.0|0|0.0|100
0|2021-11-03|3839.0|0|3839.0|0|59.0|0|0.0|100
0|2021-11-04|3839.0|0|3839.0|0|59.0|0|0.0|100
0|2021-11-05|3864.0|0|3864.0|0|60.0|0|0.0|100
0|2021-11-06|3864.0|0|3864.0|0|60.0|0|0.0|100
0|2021-11-07|3864.0|0|3864.0|0|60.0|0|0.0|100
0|2021-11-08|3885.0|0|3885.0|0|60.0|0|0.0|100
0|2021-11-09|3885.0|0|3885.0|0|60.0|0|0.0|100
0|2021-11-10|3885.0|0|3909.0|0|60.0|0|0.0|100
0|2021-11-11|3909.0|0|3909.0|0|60.0|0|0.0|100
0|2021-11-12|3923.0|0|3923.0|0|60.0|0|0.0|100
0|2021-11-13|3923.0|0|3923.0|0|60.0|0|0.0|100
0|2021-11-14|3923.0|0|3923.0|0|60.0|0|0.0|100
0|2021-11-15|3937.0|0|3937.0|0|60.0|0|0.0|100
0|2021-11-16|3937.0|0|3937.0|0|60.0|0|0.0|100
0|2021-11-17|3967.0|0|3967.0|0|60.0|0|0.0|100
0|2021-11-18|3967.0|0|3967.0|0|60.0|0|0.0|100
0|2021-11-19|3989.0|0|3989.0|0|60.0|0|0.0|100
0|2021-11-20|3989.0|0|3989.0|0|60.0|0|0.0|100
0|2021-11-21|3989.0|0|3989.0|0|60.0|0|0.0|100
0|2021-11-22|4009.0|0|4009.0|0|60.0|0|0.0|100
0|2021-11-23|4009.0|0|4009.0|0|60.0|0|0.0|100
0|2021-11-24|4009.0|0|4032.0|0|60.0|0|0.0|100
0|2021-11-25|4032.0|0|4032.0|0|61.0|0|0.0|100
0|2021-11-26|4032.0|0|4032.0|0|61.0|0|0.0|100
0|2021-11-27|4032.0|0|4032.0|0|61.0|0|0.0|100
0|2021-11-28|4032.0|0|4032.0|0|61.0|0|0.0|100
0|2021-11-29|4062.0|0|4062.0|0|61.0|0|0.0|100
0|2021-11-30|4062.0|0|4062.0|0|61.0|0|0.0|100
0|2021-12-01|4112.0|0|4112.0|0|62.0|0|0.0|100
0|2021-12-02|4112.0|0|4112.0|0|62.0|0|0.0|100
0|2021-12-03|4112.0|0|4151.0|0|62.0|0|0.0|100
0|2021-12-04|4151.0|0|4151.0|0|62.0|0|0.0|100
0|2021-12-05|4151.0|0|4151.0|0|62.0|0|0.0|100
0|2021-12-06|4193.0|0|4193.0|0|62.0|0|0.0|100
0|2021-12-07|4193.0|0|4193.0|0|62.0|0|0.0|100
0|2021-12-08|4229.0|0|4229.0|0|62.0|0|0.0|100
0|2021-12-09|4229.0|0|4229.0|0|62.0|0|0.0|100
0|2021-12-10|4291.0|0|4291.0|0|62.0|0|0.0|100
0|2021-12-11|4291.0|0|4291.0|0|62.0|0|0.0|100
0|2021-12-12|4291.0|0|4291.0|0|62.0|0|0.0|100
0|2021-12-13|4325.0|0|4325.0|0|62.0|0|0.0|100
0|2021-12-14|4325.0|0|4325.0|0|62.0|0|0.0|100
0|2021-12-15|4376.0|0|4376.0|0|62.0|0|0.0|100
0|2021-12-16|4376.0|0|4376.0|0|62.0|0|0.0|100
0|2021-12-17|4421.0|0|4421.0|0|62.0|0|0.0|100
0|2021-12-18|4421.0|0|4421.0|0|62.0|0|0.0|100
0|2021-12-19|4421.0|0|4421.0|0|62.0|0|0.0|100
0|2021-12-20|4462.0|0|4462.0|0|62.0|0|0.0|100
0|2021-12-21|4462.0|0|4462.0|0|62.0|0|0.0|100
0|2021-12-22|4539.0|0|4539.0|0|62.0|0|0.0|100
