|dates|Franklin_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Franklin_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Franklin_Louisiana_UnitedStates.NYT_ConfirmedCases.data|Franklin_Louisiana_UnitedStates.NYT_ConfirmedCases.missing|Franklin_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Franklin_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Franklin_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Franklin_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4646.0|0|4646.0|0|137.0|0|0.0|100
0|2021-10-18|4658.0|0|4658.0|0|137.0|0|0.0|100
0|2021-10-19|4658.0|0|4658.0|0|137.0|0|0.0|100
0|2021-10-20|4662.0|0|4662.0|0|137.0|0|0.0|100
0|2021-10-21|4669.0|0|4669.0|0|137.0|0|0.0|100
0|2021-10-22|4672.0|0|4672.0|0|137.0|0|0.0|100
0|2021-10-23|4672.0|0|4672.0|0|137.0|0|0.0|100
0|2021-10-24|4672.0|0|4672.0|0|137.0|0|0.0|100
0|2021-10-25|4673.0|0|4673.0|0|137.0|0|0.0|100
0|2021-10-26|4676.0|0|4676.0|0|137.0|0|0.0|100
0|2021-10-27|4681.0|0|4681.0|0|137.0|0|0.0|100
0|2021-10-28|4692.0|0|4692.0|0|137.0|0|0.0|100
0|2021-10-29|4692.0|0|4692.0|0|138.0|0|0.0|100
0|2021-10-30|4692.0|0|4692.0|0|138.0|0|0.0|100
0|2021-10-31|4692.0|0|4692.0|0|138.0|0|0.0|100
0|2021-11-01|4695.0|0|4695.0|0|138.0|0|0.0|100
0|2021-11-02|4695.0|0|4695.0|0|138.0|0|0.0|100
0|2021-11-03|4698.0|0|4698.0|0|138.0|0|0.0|100
0|2021-11-04|4700.0|0|4700.0|0|138.0|0|0.0|100
0|2021-11-05|4702.0|0|4702.0|0|138.0|0|0.0|100
0|2021-11-06|4702.0|0|4702.0|0|138.0|0|0.0|100
0|2021-11-07|4702.0|0|4702.0|0|138.0|0|0.0|100
0|2021-11-08|4706.0|0|4706.0|0|138.0|0|0.0|100
0|2021-11-09|4709.0|0|4709.0|0|139.0|0|0.0|100
0|2021-11-10|4709.0|0|4713.0|0|139.0|0|0.0|100
0|2021-11-11|4713.0|0|4713.0|0|139.0|0|0.0|100
0|2021-11-12|4717.0|0|4717.0|0|139.0|0|0.0|100
0|2021-11-13|4717.0|0|4717.0|0|139.0|0|0.0|100
0|2021-11-14|4717.0|0|4717.0|0|139.0|0|0.0|100
0|2021-11-15|4720.0|0|4720.0|0|139.0|0|0.0|100
0|2021-11-16|4732.0|0|4732.0|0|139.0|0|0.0|100
0|2021-11-17|4741.0|0|4741.0|0|139.0|0|0.0|100
0|2021-11-18|4745.0|0|4745.0|0|140.0|0|0.0|100
0|2021-11-19|4750.0|0|4750.0|0|140.0|0|0.0|100
0|2021-11-20|4750.0|0|4750.0|0|140.0|0|0.0|100
0|2021-11-21|4750.0|0|4750.0|0|140.0|0|0.0|100
0|2021-11-22|4758.0|0|4758.0|0|140.0|0|0.0|100
0|2021-11-23|4764.0|0|4764.0|0|140.0|0|0.0|100
0|2021-11-24|4768.0|0|4768.0|0|140.0|0|0.0|100
0|2021-11-25|4768.0|0|4768.0|0|140.0|0|0.0|100
0|2021-11-26|4768.0|0|4768.0|0|140.0|0|0.0|100
0|2021-11-27|4768.0|0|4768.0|0|140.0|0|0.0|100
0|2021-11-28|4768.0|0|4768.0|0|140.0|0|0.0|100
0|2021-11-29|4776.0|0|4776.0|0|140.0|0|0.0|100
0|2021-11-30|4780.0|0|4780.0|0|140.0|0|0.0|100
0|2021-12-01|4792.0|0|4792.0|0|140.0|0|0.0|100
0|2021-12-02|4792.0|0|4796.0|0|140.0|0|0.0|100
0|2021-12-03|4799.0|0|4799.0|0|140.0|0|0.0|100
0|2021-12-04|4799.0|0|4799.0|0|140.0|0|0.0|100
0|2021-12-05|4799.0|0|4799.0|0|140.0|0|0.0|100
0|2021-12-06|4803.0|0|4803.0|0|140.0|0|0.0|100
0|2021-12-07|4809.0|0|4809.0|0|141.0|0|0.0|100
0|2021-12-08|4828.0|0|4828.0|0|141.0|0|0.0|100
0|2021-12-09|4829.0|0|4829.0|0|141.0|0|0.0|100
0|2021-12-10|4834.0|0|4834.0|0|141.0|0|0.0|100
0|2021-12-11|4834.0|0|4834.0|0|141.0|0|0.0|100
0|2021-12-12|4834.0|0|4834.0|0|141.0|0|0.0|100
0|2021-12-13|4835.0|0|4835.0|0|141.0|0|0.0|100
0|2021-12-14|4835.0|0|4839.0|0|141.0|0|0.0|100
0|2021-12-15|4840.0|0|4840.0|0|142.0|0|0.0|100
0|2021-12-16|4841.0|0|4841.0|0|142.0|0|0.0|100
0|2021-12-17|4843.0|0|4843.0|0|142.0|0|0.0|100
0|2021-12-18|4843.0|0|4843.0|0|142.0|0|0.0|100
0|2021-12-19|4843.0|0|4843.0|0|142.0|0|0.0|100
0|2021-12-20|4844.0|0|4844.0|0|142.0|0|0.0|100
0|2021-12-21|4844.0|0|4844.0|0|142.0|0|0.0|100
0|2021-12-22|4847.0|0|4847.0|0|142.0|0|0.0|100
0|2021-12-23|4850.0|0|4850.0|0|142.0|0|0.0|100
0|2021-12-24|4850.0|0|4850.0|0|142.0|0|0.0|100
0|2021-12-25|4850.0|0|4850.0|0|142.0|0|0.0|100
0|2021-12-26|4850.0|0|4850.0|0|142.0|0|0.0|100
0|2021-12-27|4861.0|0|4861.0|0|144.0|0|0.0|100
0|2021-12-28|4862.0|0|4862.0|0|144.0|0|0.0|100
