|dates|Cimarron_Oklahoma_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Cimarron_Oklahoma_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Cimarron_Oklahoma_UnitedStates.Male_Total_Population.data|Cimarron_Oklahoma_UnitedStates.Male_Total_Population.missing|Cimarron_Oklahoma_UnitedStates.Female_Total_Population.data|Cimarron_Oklahoma_UnitedStates.Female_Total_Population.missing|Cimarron_Oklahoma_UnitedStates.MaleAndFemale_Under18_Population.data|Cimarron_Oklahoma_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-10-18|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-10-19|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-10-20|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-10-21|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-10-22|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-10-23|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-10-24|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-10-25|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-10-26|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-10-27|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-10-28|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-10-29|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-10-30|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-10-31|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-01|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-02|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-03|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-04|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-05|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-06|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-07|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-08|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-09|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-10|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-11|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-12|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-13|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-14|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-15|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-16|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-17|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-18|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-19|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-20|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-21|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-22|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-23|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-24|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-25|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-26|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-27|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-28|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-29|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-11-30|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-01|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-02|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-03|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-04|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-05|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-06|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-07|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-08|548.0|0|1102.0|0|1051.0|0|535.0|0
0|2021-12-09|548.0|0|1102.0|0|1051.0|0|535.0|0
