|dates|Orange_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Orange_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Orange_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Orange_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Orange_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Orange_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Orange_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Orange_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|11600.0|0|11600.0|0|109.0|0|0.0|100
0|2021-10-18|11675.0|0|11675.0|0|109.0|0|0.0|100
0|2021-10-19|11679.0|0|11679.0|0|110.0|0|0.0|100
0|2021-10-20|11701.0|0|11701.0|0|110.0|0|0.0|100
0|2021-10-21|11716.0|0|11716.0|0|110.0|0|0.0|100
0|2021-10-22|11730.0|0|11730.0|0|110.0|0|0.0|100
0|2021-10-23|11730.0|0|11730.0|0|110.0|0|0.0|100
0|2021-10-24|11730.0|0|11730.0|0|110.0|0|0.0|100
0|2021-10-25|11776.0|0|11776.0|0|110.0|0|0.0|100
0|2021-10-26|11789.0|0|11789.0|0|110.0|0|0.0|100
0|2021-10-27|11807.0|0|11807.0|0|110.0|0|0.0|100
0|2021-10-28|11829.0|0|11829.0|0|110.0|0|0.0|100
0|2021-10-29|11838.0|0|11838.0|0|110.0|0|0.0|100
0|2021-10-30|11838.0|0|11838.0|0|110.0|0|0.0|100
0|2021-10-31|11838.0|0|11838.0|0|110.0|0|0.0|100
0|2021-11-01|11881.0|0|11881.0|0|110.0|0|0.0|100
0|2021-11-02|11893.0|0|11893.0|0|110.0|0|0.0|100
0|2021-11-03|11898.0|0|11898.0|0|110.0|0|0.0|100
0|2021-11-04|11908.0|0|11908.0|0|110.0|0|0.0|100
0|2021-11-05|11917.0|0|11917.0|0|111.0|0|0.0|100
0|2021-11-06|11917.0|0|11917.0|0|111.0|0|0.0|100
0|2021-11-07|11917.0|0|11917.0|0|111.0|0|0.0|100
0|2021-11-08|11944.0|0|11944.0|0|110.0|0|0.0|100
