|dates|Tipton_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Tipton_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Tipton_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Tipton_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Tipton_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Tipton_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Tipton_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Tipton_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|11234.0|0|11234.0|0|126.0|0|0.0|100
0|2021-10-18|11245.0|0|11245.0|0|126.0|0|0.0|100
0|2021-10-19|11256.0|0|11256.0|0|126.0|0|0.0|100
0|2021-10-20|11269.0|0|11269.0|0|127.0|0|0.0|100
0|2021-10-21|11283.0|0|11283.0|0|128.0|0|0.0|100
0|2021-10-22|11287.0|0|11287.0|0|128.0|0|0.0|100
0|2021-10-23|11287.0|0|11287.0|0|128.0|0|0.0|100
0|2021-10-24|11287.0|0|11287.0|0|128.0|0|0.0|100
0|2021-10-25|11287.0|0|11287.0|0|128.0|0|0.0|100
0|2021-10-26|11324.0|0|11324.0|0|128.0|0|0.0|100
0|2021-10-27|11331.0|0|11331.0|0|128.0|0|0.0|100
0|2021-10-28|11341.0|0|11341.0|0|128.0|0|0.0|100
0|2021-10-29|11350.0|0|11350.0|0|130.0|0|0.0|100
0|2021-10-30|11350.0|0|11350.0|0|130.0|0|0.0|100
0|2021-10-31|11350.0|0|11350.0|0|130.0|0|0.0|100
0|2021-11-01|11350.0|0|11350.0|0|130.0|0|0.0|100
0|2021-11-02|11379.0|0|11379.0|0|130.0|0|0.0|100
0|2021-11-03|11386.0|0|11386.0|0|130.0|0|0.0|100
0|2021-11-04|11392.0|0|11392.0|0|136.0|0|0.0|100
0|2021-11-05|11403.0|0|11403.0|0|136.0|0|0.0|100
0|2021-11-06|11403.0|0|11403.0|0|136.0|0|0.0|100
0|2021-11-07|11403.0|0|11403.0|0|136.0|0|0.0|100
0|2021-11-08|11403.0|0|11403.0|0|136.0|0|0.0|100
0|2021-11-09|11437.0|0|11437.0|0|138.0|0|0.0|100
0|2021-11-10|11437.0|0|11446.0|0|138.0|0|0.0|100
0|2021-11-11|11446.0|0|11446.0|0|138.0|0|0.0|100
0|2021-11-12|11469.0|0|11469.0|0|138.0|0|0.0|100
0|2021-11-13|11469.0|0|11469.0|0|138.0|0|0.0|100
0|2021-11-14|11469.0|0|11469.0|0|138.0|0|0.0|100
0|2021-11-15|11500.0|0|11500.0|0|138.0|0|0.0|100
0|2021-11-16|11528.0|0|11528.0|0|140.0|0|0.0|100
0|2021-11-17|11545.0|0|11545.0|0|140.0|0|0.0|100
0|2021-11-18|11575.0|0|11575.0|0|140.0|0|0.0|100
0|2021-11-19|11593.0|0|11593.0|0|140.0|0|0.0|100
0|2021-11-20|11593.0|0|11593.0|0|140.0|0|0.0|100
0|2021-11-21|11593.0|0|11593.0|0|140.0|0|0.0|100
0|2021-11-22|11625.0|0|11625.0|0|140.0|0|0.0|100
0|2021-11-23|11634.0|0|11634.0|0|141.0|0|0.0|100
0|2021-11-24|11637.0|0|11637.0|0|141.0|0|0.0|100
0|2021-11-25|11637.0|0|11637.0|0|141.0|0|0.0|100
0|2021-11-26|11637.0|0|11637.0|0|141.0|0|0.0|100
0|2021-11-27|11637.0|0|11637.0|0|141.0|0|0.0|100
0|2021-11-28|11637.0|0|11637.0|0|141.0|0|0.0|100
0|2021-11-29|11679.0|0|11679.0|0|141.0|0|0.0|100
0|2021-11-30|11700.0|0|11700.0|0|142.0|0|0.0|100
0|2021-12-01|11723.0|0|11723.0|0|143.0|0|0.0|100
0|2021-12-02|11742.0|0|11742.0|0|143.0|0|0.0|100
0|2021-12-03|11754.0|0|11754.0|0|145.0|0|0.0|100
0|2021-12-04|11754.0|0|11754.0|0|145.0|0|0.0|100
0|2021-12-05|11754.0|0|11754.0|0|145.0|0|0.0|100
0|2021-12-06|11791.0|0|11791.0|0|146.0|0|0.0|100
0|2021-12-07|11811.0|0|11811.0|0|150.0|0|0.0|100
0|2021-12-08|11827.0|0|11827.0|0|150.0|0|0.0|100
0|2021-12-09|11827.0|0|11827.0|0|150.0|0|0.0|100
0|2021-12-10|11867.0|0|11867.0|0|150.0|0|0.0|100
0|2021-12-11|11867.0|0|11867.0|0|150.0|0|0.0|100
0|2021-12-12|11867.0|0|11867.0|0|150.0|0|0.0|100
0|2021-12-13|11900.0|0|11900.0|0|150.0|0|0.0|100
0|2021-12-14|11900.0|0|11908.0|0|150.0|0|0.0|100
0|2021-12-15|11934.0|0|11934.0|0|154.0|0|0.0|100
0|2021-12-16|11946.0|0|11946.0|0|154.0|0|0.0|100
0|2021-12-17|11969.0|0|11969.0|0|154.0|0|0.0|100
0|2021-12-18|11969.0|0|11969.0|0|154.0|0|0.0|100
0|2021-12-19|11969.0|0|11969.0|0|154.0|0|0.0|100
0|2021-12-20|12018.0|0|12018.0|0|154.0|0|0.0|100
0|2021-12-21|12034.0|0|12034.0|0|154.0|0|0.0|100
0|2021-12-22|12072.0|0|12072.0|0|154.0|0|0.0|100
0|2021-12-23|12138.0|0|12138.0|0|177.0|0|0.0|100
0|2021-12-24|12138.0|0|12138.0|0|177.0|0|0.0|100
0|2021-12-25|12138.0|0|12138.0|0|177.0|0|0.0|100
0|2021-12-26|12138.0|0|12138.0|0|177.0|0|0.0|100
0|2021-12-27|12314.0|0|12314.0|0|179.0|0|0.0|100
0|2021-12-28|12436.0|0|12436.0|0|179.0|0|0.0|100
0|2021-12-29|12592.0|0|12592.0|0|179.0|0|0.0|100
0|2021-12-30|12806.0|0|12806.0|0|179.0|0|0.0|100
0|2021-12-31|12806.0|0|12806.0|0|179.0|0|0.0|100
0|2022-01-01|12806.0|0|12806.0|0|179.0|0|0.0|100
0|2022-01-02|12806.0|0|12806.0|0|179.0|0|0.0|100
0|2022-01-03|13296.0|0|13296.0|0|179.0|0|0.0|100
0|2022-01-04|13413.0|0|13413.0|0|179.0|0|0.0|100
0|2022-01-05|13413.0|0|13413.0|0|179.0|0|0.0|100
0|2022-01-06|13413.0|0|13413.0|0|179.0|0|0.0|100
0|2022-01-07|13413.0|0|13413.0|0|179.0|0|0.0|100
0|2022-01-08|13413.0|0|13413.0|0|179.0|0|0.0|100
0|2022-01-09|13413.0|0|13413.0|0|179.0|0|0.0|100
0|2022-01-10|13413.0|0|13413.0|0|179.0|0|0.0|100
0|2022-01-11|13413.0|0|13413.0|0|179.0|0|0.0|100
0|2022-01-12|14231.0|0|14231.0|0|179.0|0|0.0|100
0|2022-01-13|14231.0|0|14231.0|0|179.0|0|0.0|100
0|2022-01-14|14231.0|0|14231.0|0|179.0|0|0.0|100
0|2022-01-15|14231.0|0|14231.0|0|179.0|0|0.0|100
0|2022-01-16|14231.0|0|14231.0|0|179.0|0|0.0|100
0|2022-01-17|14231.0|0|0.0|100|179.0|0|0.0|100
