|dates|Decatur_Georgia_UnitedStates.JHU_ConfirmedCases.data|Decatur_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Decatur_Georgia_UnitedStates.NYT_ConfirmedCases.data|Decatur_Georgia_UnitedStates.NYT_ConfirmedCases.missing|Decatur_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Decatur_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Decatur_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Decatur_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4727.0|0|4764.0|0|95.0|0|0.0|100
0|2021-10-18|4727.0|0|4764.0|0|95.0|0|0.0|100
0|2021-10-19|4727.0|0|4764.0|0|95.0|0|0.0|100
0|2021-10-20|4729.0|0|4766.0|0|96.0|0|0.0|100
0|2021-10-21|4738.0|0|4775.0|0|97.0|0|0.0|100
0|2021-10-22|4739.0|0|4776.0|0|97.0|0|0.0|100
0|2021-10-23|4739.0|0|4776.0|0|97.0|0|0.0|100
0|2021-10-24|4739.0|0|4776.0|0|97.0|0|0.0|100
0|2021-10-25|4741.0|0|4781.0|0|97.0|0|0.0|100
0|2021-10-26|4743.0|0|4783.0|0|97.0|0|0.0|100
0|2021-10-27|4745.0|0|4785.0|0|97.0|0|0.0|100
0|2021-10-28|4748.0|0|4788.0|0|97.0|0|0.0|100
0|2021-10-29|4748.0|0|4788.0|0|98.0|0|0.0|100
0|2021-10-30|4748.0|0|4788.0|0|98.0|0|0.0|100
0|2021-10-31|4748.0|0|4788.0|0|98.0|0|0.0|100
0|2021-11-01|4749.0|0|4788.0|0|98.0|0|0.0|100
0|2021-11-02|4754.0|0|4793.0|0|100.0|0|0.0|100
0|2021-11-03|4758.0|0|4797.0|0|100.0|0|0.0|100
0|2021-11-04|4762.0|0|4801.0|0|100.0|0|0.0|100
0|2021-11-05|4763.0|0|4802.0|0|100.0|0|0.0|100
0|2021-11-06|4763.0|0|4802.0|0|100.0|0|0.0|100
0|2021-11-07|4763.0|0|4802.0|0|100.0|0|0.0|100
0|2021-11-08|4763.0|0|4804.0|0|100.0|0|0.0|100
0|2021-11-09|4771.0|0|4812.0|0|101.0|0|0.0|100
0|2021-11-10|4771.0|0|4810.0|0|101.0|0|0.0|100
0|2021-11-11|4769.0|0|4810.0|0|101.0|0|0.0|100
0|2021-11-12|4773.0|0|4814.0|0|102.0|0|0.0|100
0|2021-11-13|4773.0|0|4814.0|0|102.0|0|0.0|100
0|2021-11-14|4773.0|0|4814.0|0|102.0|0|0.0|100
0|2021-11-15|4773.0|0|4817.0|0|102.0|0|0.0|100
0|2021-11-16|4777.0|0|4821.0|0|102.0|0|0.0|100
0|2021-11-17|4778.0|0|4822.0|0|103.0|0|0.0|100
0|2021-11-18|4784.0|0|4828.0|0|104.0|0|0.0|100
0|2021-11-19|4786.0|0|4830.0|0|104.0|0|0.0|100
0|2021-11-20|4786.0|0|4830.0|0|104.0|0|0.0|100
0|2021-11-21|4786.0|0|4830.0|0|104.0|0|0.0|100
0|2021-11-22|4790.0|0|4834.0|0|104.0|0|0.0|100
0|2021-11-23|4795.0|0|4839.0|0|104.0|0|0.0|100
0|2021-11-24|4795.0|0|4839.0|0|105.0|0|0.0|100
0|2021-11-25|4795.0|0|4839.0|0|105.0|0|0.0|100
0|2021-11-26|4795.0|0|4839.0|0|105.0|0|0.0|100
0|2021-11-27|4795.0|0|4839.0|0|105.0|0|0.0|100
0|2021-11-28|4795.0|0|4839.0|0|105.0|0|0.0|100
0|2021-11-29|4792.0|0|4836.0|0|106.0|0|0.0|100
0|2021-11-30|4794.0|0|4830.0|0|108.0|0|0.0|100
0|2021-12-01|4795.0|0|4831.0|0|108.0|0|0.0|100
0|2021-12-02|4795.0|0|4837.0|0|108.0|0|0.0|100
0|2021-12-03|4801.0|0|4837.0|0|110.0|0|0.0|100
0|2021-12-04|4801.0|0|4837.0|0|110.0|0|0.0|100
0|2021-12-05|4801.0|0|4837.0|0|110.0|0|0.0|100
0|2021-12-06|4803.0|0|4841.0|0|110.0|0|0.0|100
0|2021-12-07|4805.0|0|4843.0|0|110.0|0|0.0|100
0|2021-12-08|4809.0|0|4847.0|0|110.0|0|0.0|100
0|2021-12-09|4812.0|0|4850.0|0|110.0|0|0.0|100
0|2021-12-10|4812.0|0|4850.0|0|110.0|0|0.0|100
0|2021-12-11|4812.0|0|4850.0|0|110.0|0|0.0|100
0|2021-12-12|4812.0|0|4850.0|0|110.0|0|0.0|100
0|2021-12-13|4820.0|0|4858.0|0|110.0|0|0.0|100
0|2021-12-14|4820.0|0|4862.0|0|110.0|0|0.0|100
0|2021-12-15|4829.0|0|4867.0|0|109.0|0|0.0|100
0|2021-12-16|4838.0|0|4876.0|0|109.0|0|0.0|100
0|2021-12-17|4843.0|0|4881.0|0|109.0|0|0.0|100
0|2021-12-18|4843.0|0|4881.0|0|109.0|0|0.0|100
0|2021-12-19|4843.0|0|4881.0|0|109.0|0|0.0|100
0|2021-12-20|4844.0|0|4882.0|0|109.0|0|0.0|100
0|2021-12-21|4853.0|0|4891.0|0|109.0|0|0.0|100
0|2021-12-22|4856.0|0|4894.0|0|109.0|0|0.0|100
0|2021-12-23|4857.0|0|4895.0|0|109.0|0|0.0|100
0|2021-12-24|4871.0|0|4909.0|0|109.0|0|0.0|100
0|2021-12-25|4871.0|0|4909.0|0|109.0|0|0.0|100
0|2021-12-26|4871.0|0|4909.0|0|109.0|0|0.0|100
0|2021-12-27|4878.0|0|4917.0|0|109.0|0|0.0|100
0|2021-12-28|4900.0|0|4939.0|0|110.0|0|0.0|100
0|2021-12-29|4910.0|0|4949.0|0|110.0|0|0.0|100
0|2021-12-30|4936.0|0|4975.0|0|110.0|0|0.0|100
0|2021-12-31|4957.0|0|4996.0|0|110.0|0|0.0|100
0|2022-01-01|4957.0|0|4996.0|0|110.0|0|0.0|100
0|2022-01-02|4957.0|0|4996.0|0|110.0|0|0.0|100
0|2022-01-03|4957.0|0|4996.0|0|110.0|0|0.0|100
0|2022-01-04|5064.0|0|5103.0|0|110.0|0|0.0|100
0|2022-01-05|5101.0|0|5140.0|0|110.0|0|0.0|100
0|2022-01-06|5101.0|0|5140.0|0|110.0|0|0.0|100
0|2022-01-07|5101.0|0|5140.0|0|110.0|0|0.0|100
0|2022-01-08|5101.0|0|5140.0|0|110.0|0|0.0|100
0|2022-01-09|5101.0|0|5140.0|0|110.0|0|0.0|100
0|2022-01-10|5254.0|0|5293.0|0|111.0|0|0.0|100
0|2022-01-11|5303.0|0|5342.0|0|111.0|0|0.0|100
0|2022-01-12|5322.0|0|5361.0|0|111.0|0|0.0|100
0|2022-01-13|5322.0|0|5424.0|0|111.0|0|0.0|100
