|dates|Pulaski_Arkansas_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.data|Pulaski_Arkansas_UnitedStates.NYT_AllCausesDeathsWeekly_Expected_Deaths_AllCauses.missing|Pulaski_Arkansas_UnitedStates.NYT_ConfirmedDeaths.data|Pulaski_Arkansas_UnitedStates.NYT_ConfirmedDeaths.missing|Pulaski_Arkansas_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.data|Pulaski_Arkansas_UnitedStates.NYT_AllCausesDeathsWeekly_Excess_Deaths.missing|Pulaski_Arkansas_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.data|Pulaski_Arkansas_UnitedStates.NYT_AllCausesDeathsWeekly_Deaths_AllCauses.missing
0|2021-10-17|0.0|100|896.0|0|0.0|100|0.0|100
0|2021-10-18|0.0|100|896.0|0|0.0|100|0.0|100
0|2021-10-19|0.0|100|900.0|0|0.0|100|0.0|100
0|2021-10-20|0.0|100|901.0|0|0.0|100|0.0|100
0|2021-10-21|0.0|100|900.0|0|0.0|100|0.0|100
0|2021-10-22|0.0|100|902.0|0|0.0|100|0.0|100
0|2021-10-23|0.0|100|902.0|0|0.0|100|0.0|100
0|2021-10-24|0.0|100|902.0|0|0.0|100|0.0|100
0|2021-10-25|0.0|100|902.0|0|0.0|100|0.0|100
0|2021-10-26|0.0|100|905.0|0|0.0|100|0.0|100
0|2021-10-27|0.0|100|908.0|0|0.0|100|0.0|100
0|2021-10-28|0.0|100|909.0|0|0.0|100|0.0|100
0|2021-10-29|0.0|100|908.0|0|0.0|100|0.0|100
0|2021-10-30|0.0|100|909.0|0|0.0|100|0.0|100
0|2021-10-31|0.0|100|909.0|0|0.0|100|0.0|100
0|2021-11-01|0.0|100|909.0|0|0.0|100|0.0|100
0|2021-11-02|0.0|100|914.0|0|0.0|100|0.0|100
0|2021-11-03|0.0|100|916.0|0|0.0|100|0.0|100
0|2021-11-04|0.0|100|916.0|0|0.0|100|0.0|100
0|2021-11-05|0.0|100|917.0|0|0.0|100|0.0|100
0|2021-11-06|0.0|100|917.0|0|0.0|100|0.0|100
0|2021-11-07|0.0|100|918.0|0|0.0|100|0.0|100
0|2021-11-08|0.0|100|919.0|0|0.0|100|0.0|100
0|2021-11-09|0.0|100|919.0|0|0.0|100|0.0|100
