|dates|White_Illinois_UnitedStates.JHU_ConfirmedCases.data|White_Illinois_UnitedStates.JHU_ConfirmedCases.missing|White_Illinois_UnitedStates.NYT_ConfirmedCases.data|White_Illinois_UnitedStates.NYT_ConfirmedCases.missing|White_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|White_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|White_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|White_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2785.0|0|2785.0|0|33.0|0|0.0|100
0|2021-10-18|2793.0|0|2793.0|0|33.0|0|0.0|100
0|2021-10-19|2796.0|0|2796.0|0|33.0|0|0.0|100
0|2021-10-20|2798.0|0|2798.0|0|33.0|0|0.0|100
0|2021-10-21|2800.0|0|2800.0|0|33.0|0|0.0|100
0|2021-10-22|2808.0|0|2808.0|0|33.0|0|0.0|100
0|2021-10-23|2808.0|0|2808.0|0|33.0|0|0.0|100
0|2021-10-24|2808.0|0|2808.0|0|33.0|0|0.0|100
0|2021-10-25|2812.0|0|2812.0|0|33.0|0|0.0|100
0|2021-10-26|2814.0|0|2814.0|0|33.0|0|0.0|100
0|2021-10-27|2817.0|0|2817.0|0|33.0|0|0.0|100
0|2021-10-28|2824.0|0|2824.0|0|33.0|0|0.0|100
0|2021-10-29|2827.0|0|2827.0|0|33.0|0|0.0|100
0|2021-10-30|2827.0|0|2827.0|0|33.0|0|0.0|100
0|2021-10-31|2827.0|0|2827.0|0|33.0|0|0.0|100
0|2021-11-01|2830.0|0|2830.0|0|33.0|0|0.0|100
0|2021-11-02|2832.0|0|2832.0|0|33.0|0|0.0|100
0|2021-11-03|2832.0|0|2832.0|0|33.0|0|0.0|100
0|2021-11-04|2832.0|0|2832.0|0|33.0|0|0.0|100
0|2021-11-05|2833.0|0|2833.0|0|33.0|0|0.0|100
0|2021-11-06|2833.0|0|2833.0|0|33.0|0|0.0|100
0|2021-11-07|2833.0|0|2833.0|0|33.0|0|0.0|100
0|2021-11-08|2838.0|0|2838.0|0|33.0|0|0.0|100
