|dates|SanJuan_Utah_UnitedStates.JHU_ConfirmedCases.data|SanJuan_Utah_UnitedStates.JHU_ConfirmedCases.missing|SanJuan_Utah_UnitedStates.NYT_ConfirmedCases.data|SanJuan_Utah_UnitedStates.NYT_ConfirmedCases.missing|SanJuan_Utah_UnitedStates.JHU_ConfirmedDeaths.data|SanJuan_Utah_UnitedStates.JHU_ConfirmedDeaths.missing|SanJuan_Utah_UnitedStates.JHU_ConfirmedRecoveries.data|SanJuan_Utah_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2324.0|0|2324.0|0|41.0|0|0.0|100
0|2021-10-18|2334.0|0|2334.0|0|41.0|0|0.0|100
0|2021-10-19|2337.0|0|2337.0|0|41.0|0|0.0|100
0|2021-10-20|2346.0|0|2346.0|0|41.0|0|0.0|100
0|2021-10-21|2352.0|0|2352.0|0|41.0|0|0.0|100
0|2021-10-22|2366.0|0|2366.0|0|41.0|0|0.0|100
0|2021-10-23|2366.0|0|2366.0|0|41.0|0|0.0|100
0|2021-10-24|2366.0|0|2366.0|0|41.0|0|0.0|100
0|2021-10-25|2394.0|0|2394.0|0|41.0|0|0.0|100
0|2021-10-26|2402.0|0|2402.0|0|41.0|0|0.0|100
0|2021-10-27|2413.0|0|2413.0|0|41.0|0|0.0|100
0|2021-10-28|2418.0|0|2418.0|0|41.0|0|0.0|100
0|2021-10-29|2430.0|0|2430.0|0|41.0|0|0.0|100
0|2021-10-30|2430.0|0|2430.0|0|41.0|0|0.0|100
0|2021-10-31|2430.0|0|2430.0|0|41.0|0|0.0|100
0|2021-11-01|2451.0|0|2451.0|0|41.0|0|0.0|100
0|2021-11-02|2458.0|0|2458.0|0|41.0|0|0.0|100
0|2021-11-03|2472.0|0|2472.0|0|41.0|0|0.0|100
0|2021-11-04|2486.0|0|2486.0|0|41.0|0|0.0|100
0|2021-11-05|2502.0|0|2502.0|0|41.0|0|0.0|100
0|2021-11-06|2502.0|0|2502.0|0|41.0|0|0.0|100
0|2021-11-07|2502.0|0|2502.0|0|41.0|0|0.0|100
