|dates|SweetGrass_Montana_UnitedStates.JHU_ConfirmedCases.data|SweetGrass_Montana_UnitedStates.JHU_ConfirmedCases.missing|SweetGrass_Montana_UnitedStates.NYT_ConfirmedCases.data|SweetGrass_Montana_UnitedStates.NYT_ConfirmedCases.missing|SweetGrass_Montana_UnitedStates.JHU_ConfirmedDeaths.data|SweetGrass_Montana_UnitedStates.JHU_ConfirmedDeaths.missing|SweetGrass_Montana_UnitedStates.JHU_ConfirmedRecoveries.data|SweetGrass_Montana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|526.0|0|526.0|0|7.0|0|0.0|100
0|2021-10-18|526.0|0|526.0|0|7.0|0|0.0|100
0|2021-10-19|536.0|0|536.0|0|7.0|0|0.0|100
0|2021-10-20|536.0|0|536.0|0|7.0|0|0.0|100
0|2021-10-21|540.0|0|540.0|0|7.0|0|0.0|100
0|2021-10-22|540.0|0|540.0|0|7.0|0|0.0|100
0|2021-10-23|540.0|0|540.0|0|7.0|0|0.0|100
0|2021-10-24|540.0|0|540.0|0|7.0|0|0.0|100
0|2021-10-25|540.0|0|540.0|0|7.0|0|0.0|100
0|2021-10-26|543.0|0|543.0|0|7.0|0|0.0|100
0|2021-10-27|551.0|0|551.0|0|8.0|0|0.0|100
0|2021-10-28|557.0|0|557.0|0|8.0|0|0.0|100
0|2021-10-29|559.0|0|559.0|0|8.0|0|0.0|100
0|2021-10-30|559.0|0|559.0|0|8.0|0|0.0|100
0|2021-10-31|559.0|0|559.0|0|8.0|0|0.0|100
0|2021-11-01|560.0|0|560.0|0|8.0|0|0.0|100
0|2021-11-02|565.0|0|565.0|0|8.0|0|0.0|100
0|2021-11-03|566.0|0|566.0|0|8.0|0|0.0|100
0|2021-11-04|566.0|0|566.0|0|8.0|0|0.0|100
0|2021-11-05|568.0|0|568.0|0|8.0|0|0.0|100
0|2021-11-06|568.0|0|568.0|0|8.0|0|0.0|100
0|2021-11-07|568.0|0|568.0|0|8.0|0|0.0|100
0|2021-11-08|570.0|0|570.0|0|8.0|0|0.0|100
0|2021-11-09|575.0|0|575.0|0|8.0|0|0.0|100
0|2021-11-10|575.0|0|576.0|0|8.0|0|0.0|100
0|2021-11-11|576.0|0|576.0|0|8.0|0|0.0|100
0|2021-11-12|579.0|0|579.0|0|8.0|0|0.0|100
0|2021-11-13|579.0|0|579.0|0|8.0|0|0.0|100
0|2021-11-14|579.0|0|579.0|0|8.0|0|0.0|100
0|2021-11-15|579.0|0|579.0|0|8.0|0|0.0|100
0|2021-11-16|581.0|0|581.0|0|8.0|0|0.0|100
0|2021-11-17|583.0|0|583.0|0|8.0|0|0.0|100
0|2021-11-18|583.0|0|583.0|0|8.0|0|0.0|100
0|2021-11-19|583.0|0|583.0|0|8.0|0|0.0|100
0|2021-11-20|583.0|0|583.0|0|8.0|0|0.0|100
0|2021-11-21|583.0|0|583.0|0|8.0|0|0.0|100
0|2021-11-22|583.0|0|583.0|0|8.0|0|0.0|100
0|2021-11-23|583.0|0|583.0|0|8.0|0|0.0|100
0|2021-11-24|583.0|0|583.0|0|8.0|0|0.0|100
0|2021-11-25|583.0|0|583.0|0|8.0|0|0.0|100
0|2021-11-26|585.0|0|585.0|0|8.0|0|0.0|100
0|2021-11-27|585.0|0|585.0|0|8.0|0|0.0|100
0|2021-11-28|585.0|0|585.0|0|8.0|0|0.0|100
0|2021-11-29|585.0|0|585.0|0|8.0|0|0.0|100
0|2021-11-30|594.0|0|594.0|0|8.0|0|0.0|100
0|2021-12-01|595.0|0|595.0|0|8.0|0|0.0|100
0|2021-12-02|595.0|0|596.0|0|8.0|0|0.0|100
0|2021-12-03|596.0|0|596.0|0|8.0|0|0.0|100
0|2021-12-04|596.0|0|596.0|0|8.0|0|0.0|100
0|2021-12-05|596.0|0|596.0|0|8.0|0|0.0|100
0|2021-12-06|596.0|0|596.0|0|8.0|0|0.0|100
0|2021-12-07|596.0|0|596.0|0|8.0|0|0.0|100
0|2021-12-08|598.0|0|598.0|0|8.0|0|0.0|100
0|2021-12-09|598.0|0|598.0|0|8.0|0|0.0|100
0|2021-12-10|599.0|0|599.0|0|8.0|0|0.0|100
0|2021-12-11|599.0|0|599.0|0|8.0|0|0.0|100
0|2021-12-12|599.0|0|599.0|0|8.0|0|0.0|100
0|2021-12-13|598.0|0|598.0|0|8.0|0|0.0|100
0|2021-12-14|598.0|0|599.0|0|8.0|0|0.0|100
0|2021-12-15|599.0|0|599.0|0|8.0|0|0.0|100
0|2021-12-16|599.0|0|599.0|0|8.0|0|0.0|100
0|2021-12-17|599.0|0|599.0|0|8.0|0|0.0|100
0|2021-12-18|599.0|0|599.0|0|8.0|0|0.0|100
0|2021-12-19|599.0|0|599.0|0|8.0|0|0.0|100
0|2021-12-20|599.0|0|599.0|0|8.0|0|0.0|100
0|2021-12-21|599.0|0|599.0|0|8.0|0|0.0|100
0|2021-12-22|600.0|0|600.0|0|8.0|0|0.0|100
0|2021-12-23|601.0|0|601.0|0|8.0|0|0.0|100
0|2021-12-24|601.0|0|601.0|0|8.0|0|0.0|100
0|2021-12-25|601.0|0|601.0|0|8.0|0|0.0|100
0|2021-12-26|601.0|0|601.0|0|8.0|0|0.0|100
0|2021-12-27|603.0|0|603.0|0|8.0|0|0.0|100
0|2021-12-28|604.0|0|604.0|0|8.0|0|0.0|100
0|2021-12-29|609.0|0|609.0|0|8.0|0|0.0|100
0|2021-12-30|610.0|0|610.0|0|8.0|0|0.0|100
0|2021-12-31|610.0|0|610.0|0|8.0|0|0.0|100
0|2022-01-01|610.0|0|610.0|0|8.0|0|0.0|100
0|2022-01-02|610.0|0|610.0|0|8.0|0|0.0|100
0|2022-01-03|613.0|0|613.0|0|8.0|0|0.0|100
0|2022-01-04|613.0|0|613.0|0|8.0|0|0.0|100
0|2022-01-05|617.0|0|617.0|0|8.0|0|0.0|100
0|2022-01-06|618.0|0|618.0|0|8.0|0|0.0|100
0|2022-01-07|623.0|0|623.0|0|8.0|0|0.0|100
0|2022-01-08|623.0|0|623.0|0|8.0|0|0.0|100
0|2022-01-09|623.0|0|623.0|0|8.0|0|0.0|100
0|2022-01-10|625.0|0|625.0|0|8.0|0|0.0|100
0|2022-01-11|630.0|0|630.0|0|8.0|0|0.0|100
0|2022-01-12|637.0|0|637.0|0|8.0|0|0.0|100
0|2022-01-13|637.0|0|643.0|0|8.0|0|0.0|100
