|dates|ScottsBluff_Nebraska_UnitedStates.JHU_ConfirmedCases.data|ScottsBluff_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|ScottsBluff_Nebraska_UnitedStates.NYT_ConfirmedCases.data|ScottsBluff_Nebraska_UnitedStates.NYT_ConfirmedCases.missing|ScottsBluff_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|ScottsBluff_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|ScottsBluff_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|ScottsBluff_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5502.0|0|5999.0|0|48.0|0|0.0|100
0|2021-10-18|5535.0|0|6023.0|0|48.0|0|0.0|100
0|2021-10-19|5566.0|0|6087.0|0|48.0|0|0.0|100
0|2021-10-20|5614.0|0|6087.0|0|48.0|0|0.0|100
0|2021-10-21|5657.0|0|6087.0|0|48.0|0|0.0|100
0|2021-10-22|5657.0|0|6195.0|0|48.0|0|0.0|100
0|2021-10-23|5657.0|0|6195.0|0|48.0|0|0.0|100
0|2021-10-24|5657.0|0|6195.0|0|48.0|0|0.0|100
0|2021-10-25|5657.0|0|6195.0|0|48.0|0|0.0|100
0|2021-10-26|5657.0|0|6195.0|0|48.0|0|0.0|100
0|2021-10-27|5793.0|0|6195.0|0|48.0|0|0.0|100
0|2021-10-28|5793.0|0|6195.0|0|48.0|0|0.0|100
0|2021-10-29|5793.0|0|6195.0|0|48.0|0|0.0|100
0|2021-10-30|5793.0|0|6195.0|0|48.0|0|0.0|100
0|2021-10-31|5793.0|0|6195.0|0|48.0|0|0.0|100
0|2021-11-01|5793.0|0|6195.0|0|48.0|0|0.0|100
0|2021-11-02|5793.0|0|6195.0|0|48.0|0|0.0|100
0|2021-11-03|5950.0|0|6195.0|0|48.0|0|0.0|100
0|2021-11-04|5950.0|0|6195.0|0|48.0|0|0.0|100
0|2021-11-05|5950.0|0|6195.0|0|48.0|0|0.0|100
0|2021-11-06|5950.0|0|6195.0|0|48.0|0|0.0|100
0|2021-11-07|5950.0|0|6195.0|0|48.0|0|0.0|100
0|2021-11-08|6051.0|0|6195.0|0|48.0|0|0.0|100
0|2021-11-09|6084.0|0|6195.0|0|48.0|0|0.0|100
