|dates|Orleans_Louisiana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Orleans_Louisiana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Orleans_Louisiana_UnitedStates.Male_Total_Population.data|Orleans_Louisiana_UnitedStates.Male_Total_Population.missing|Orleans_Louisiana_UnitedStates.Female_Total_Population.data|Orleans_Louisiana_UnitedStates.Female_Total_Population.missing|Orleans_Louisiana_UnitedStates.MaleAndFemale_Under18_Population.data|Orleans_Louisiana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-10-18|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-10-19|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-10-20|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-10-21|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-10-22|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-10-23|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-10-24|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-10-25|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-10-26|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-10-27|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-10-28|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-10-29|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-10-30|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-10-31|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-01|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-02|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-03|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-04|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-05|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-06|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-07|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-08|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-09|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-10|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-11|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-12|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-13|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-14|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-15|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-16|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-17|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-18|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-19|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-20|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-21|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-22|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-23|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-24|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-25|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-26|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-27|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-28|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-29|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-11-30|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-12-01|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-12-02|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-12-03|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-12-04|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-12-05|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-12-06|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-12-07|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-12-08|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-12-09|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-12-10|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-12-11|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-12-12|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-12-13|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-12-14|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-12-15|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-12-16|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-12-17|57760.0|0|185068.0|0|205938.0|0|78086.0|0
0|2021-12-18|57760.0|0|185068.0|0|205938.0|0|78086.0|0
