|dates|Kenedy_Texas_UnitedStates.JHU_ConfirmedCases.data|Kenedy_Texas_UnitedStates.JHU_ConfirmedCases.missing|Kenedy_Texas_UnitedStates.NYT_ConfirmedCases.data|Kenedy_Texas_UnitedStates.NYT_ConfirmedCases.missing|Kenedy_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Kenedy_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Kenedy_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Kenedy_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|60.0|0|60.0|0|2.0|0|0.0|100
0|2021-10-18|60.0|0|60.0|0|2.0|0|0.0|100
0|2021-10-19|60.0|0|60.0|0|2.0|0|0.0|100
0|2021-10-20|60.0|0|60.0|0|2.0|0|0.0|100
0|2021-10-21|60.0|0|60.0|0|2.0|0|0.0|100
0|2021-10-22|60.0|0|60.0|0|2.0|0|0.0|100
0|2021-10-23|60.0|0|60.0|0|2.0|0|0.0|100
0|2021-10-24|60.0|0|60.0|0|2.0|0|0.0|100
0|2021-10-25|60.0|0|60.0|0|2.0|0|0.0|100
0|2021-10-26|60.0|0|60.0|0|2.0|0|0.0|100
0|2021-10-27|60.0|0|60.0|0|2.0|0|0.0|100
0|2021-10-28|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-10-29|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-10-30|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-10-31|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-01|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-02|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-03|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-04|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-05|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-06|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-07|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-08|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-09|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-10|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-11|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-12|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-13|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-14|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-15|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-16|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-17|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-18|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-19|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-20|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-21|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-22|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-23|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-24|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-25|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-26|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-27|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-28|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-29|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-11-30|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-01|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-02|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-03|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-04|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-05|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-06|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-07|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-08|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-09|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-10|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-11|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-12|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-13|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-14|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-15|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-16|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-17|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-18|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-19|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-20|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-21|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-22|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-23|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-24|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-25|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-26|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-27|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-28|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-29|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-30|61.0|0|61.0|0|2.0|0|0.0|100
0|2021-12-31|61.0|0|61.0|0|2.0|0|0.0|100
0|2022-01-01|61.0|0|61.0|0|2.0|0|0.0|100
0|2022-01-02|61.0|0|61.0|0|2.0|0|0.0|100
0|2022-01-03|62.0|0|62.0|0|2.0|0|0.0|100
0|2022-01-04|62.0|0|62.0|0|2.0|0|0.0|100
0|2022-01-05|62.0|0|62.0|0|2.0|0|0.0|100
0|2022-01-06|62.0|0|62.0|0|2.0|0|0.0|100
0|2022-01-07|63.0|0|63.0|0|2.0|0|0.0|100
0|2022-01-08|64.0|0|64.0|0|2.0|0|0.0|100
0|2022-01-09|64.0|0|64.0|0|2.0|0|0.0|100
0|2022-01-10|64.0|0|64.0|0|2.0|0|0.0|100
0|2022-01-11|64.0|0|64.0|0|2.0|0|0.0|100
0|2022-01-12|64.0|0|64.0|0|2.0|0|0.0|100
0|2022-01-13|64.0|0|64.0|0|2.0|0|0.0|100
0|2022-01-14|64.0|0|65.0|0|2.0|0|0.0|100
0|2022-01-15|66.0|0|66.0|0|2.0|0|0.0|100
0|2022-01-16|66.0|0|66.0|0|2.0|0|0.0|100
0|2022-01-17|66.0|0|0.0|100|2.0|0|0.0|100
