|dates|McMullen_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|McMullen_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|McMullen_Texas_UnitedStates.Male_Total_Population.data|McMullen_Texas_UnitedStates.Male_Total_Population.missing|McMullen_Texas_UnitedStates.Female_Total_Population.data|McMullen_Texas_UnitedStates.Female_Total_Population.missing|McMullen_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|McMullen_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-10-18|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-10-19|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-10-20|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-10-21|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-10-22|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-10-23|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-10-24|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-10-25|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-10-26|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-10-27|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-10-28|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-10-29|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-10-30|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-10-31|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-01|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-02|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-03|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-04|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-05|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-06|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-07|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-08|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-09|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-10|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-11|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-12|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-13|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-14|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-15|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-16|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-17|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-18|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-19|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-20|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-21|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-22|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-23|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-24|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-25|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-26|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-27|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-28|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-29|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-11-30|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-01|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-02|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-03|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-04|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-05|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-06|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-07|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-08|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-09|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-10|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-11|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-12|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-13|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-14|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-15|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-16|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-17|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-18|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-19|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-20|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-21|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-22|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-23|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-24|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-25|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-26|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-27|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-28|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-29|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-30|180.0|0|411.0|0|338.0|0|140.0|0
0|2021-12-31|180.0|0|411.0|0|338.0|0|140.0|0
0|2022-01-01|180.0|0|411.0|0|338.0|0|140.0|0
0|2022-01-02|180.0|0|411.0|0|338.0|0|140.0|0
0|2022-01-03|180.0|0|411.0|0|338.0|0|140.0|0
0|2022-01-04|180.0|0|411.0|0|338.0|0|140.0|0
0|2022-01-05|180.0|0|411.0|0|338.0|0|140.0|0
0|2022-01-06|180.0|0|411.0|0|338.0|0|140.0|0
0|2022-01-07|180.0|0|411.0|0|338.0|0|140.0|0
0|2022-01-08|180.0|0|411.0|0|338.0|0|140.0|0
0|2022-01-09|180.0|0|411.0|0|338.0|0|140.0|0
0|2022-01-10|180.0|0|411.0|0|338.0|0|140.0|0
0|2022-01-11|180.0|0|411.0|0|338.0|0|140.0|0
0|2022-01-12|180.0|0|411.0|0|338.0|0|140.0|0
0|2022-01-13|180.0|0|411.0|0|338.0|0|140.0|0
0|2022-01-14|180.0|0|411.0|0|338.0|0|140.0|0
0|2022-01-15|180.0|0|411.0|0|338.0|0|140.0|0
0|2022-01-16|180.0|0|411.0|0|338.0|0|140.0|0
0|2022-01-17|180.0|0|411.0|0|338.0|0|140.0|0
