|dates|Franklin_Washington_UnitedStates.BLS_EmployedPopulation.data|Franklin_Washington_UnitedStates.BLS_EmployedPopulation.missing|Franklin_Washington_UnitedStates.BLS_UnemployedPopulation.data|Franklin_Washington_UnitedStates.BLS_UnemployedPopulation.missing|Franklin_Washington_UnitedStates.BLS_UnemploymentRate.data|Franklin_Washington_UnitedStates.BLS_UnemploymentRate.missing|Franklin_Washington_UnitedStates.BLS_LaborForcePopulation.data|Franklin_Washington_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|41988.0|0|2604.0|0|5.839612486544672|0|44592.0|0
0|2021-10-18|41988.0|0|2604.0|0|5.839612486544672|0|44592.0|0
0|2021-10-19|41988.0|0|2604.0|0|5.839612486544672|0|44592.0|0
0|2021-10-20|41988.0|0|2604.0|0|5.839612486544672|0|44592.0|0
0|2021-10-21|41988.0|0|2604.0|0|5.839612486544672|0|44592.0|0
0|2021-10-22|41988.0|0|2604.0|0|5.839612486544672|0|44592.0|0
0|2021-10-23|41988.0|0|2604.0|0|5.839612486544672|0|44592.0|0
0|2021-10-24|41988.0|0|2604.0|0|5.839612486544672|0|44592.0|0
0|2021-10-25|41988.0|0|2604.0|0|5.839612486544672|0|44592.0|0
0|2021-10-26|41988.0|0|2604.0|0|5.839612486544672|0|44592.0|0
0|2021-10-27|41988.0|0|2604.0|0|5.839612486544672|0|44592.0|0
0|2021-10-28|41988.0|0|2604.0|0|5.839612486544672|0|44592.0|0
0|2021-10-29|41988.0|0|2604.0|0|5.839612486544672|0|44592.0|0
0|2021-10-30|41988.0|0|2604.0|0|5.839612486544672|0|44592.0|0
0|2021-10-31|41988.0|0|2604.0|0|5.839612486544672|0|44592.0|0
0|2021-11-01|41988.0|0|2604.0|0|5.839612486544672|0|44592.0|0
0|2021-11-02|41988.0|0|2604.0|0|5.839612486544672|0|44592.0|0
0|2021-11-03|41988.0|0|2604.0|0|5.839612486544672|0|44592.0|0
0|2021-11-04|41988.0|0|2604.0|0|5.839612486544672|0|44592.0|0
0|2021-11-05|41988.0|0|2604.0|0|5.839612486544672|0|44592.0|0
0|2021-11-06|41988.0|0|2604.0|0|5.839612486544672|0|44592.0|0
0|2021-11-07|41988.0|0|2604.0|0|5.839612486544672|0|44592.0|0
0|2021-11-08|41988.0|0|2604.0|0|5.839612486544672|0|44592.0|0
0|2021-11-09|41988.0|0|2604.0|0|5.839612486544672|0|44592.0|0
0|2021-11-10|41988.0|0|2604.0|0|5.839612486544672|0|44592.0|0
