|dates|Maricopa_Arizona_UnitedStates.JHU_ConfirmedCases.data|Maricopa_Arizona_UnitedStates.JHU_ConfirmedCases.missing|Maricopa_Arizona_UnitedStates.NYT_ConfirmedCases.data|Maricopa_Arizona_UnitedStates.NYT_ConfirmedCases.missing|Maricopa_Arizona_UnitedStates.JHU_ConfirmedDeaths.data|Maricopa_Arizona_UnitedStates.JHU_ConfirmedDeaths.missing|Maricopa_Arizona_UnitedStates.JHU_ConfirmedRecoveries.data|Maricopa_Arizona_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|718831.0|0|718831.0|0|11827.0|0|0.0|100
0|2021-10-18|718831.0|0|718831.0|0|11827.0|0|0.0|100
0|2021-10-19|722204.0|0|722204.0|0|11922.0|0|0.0|100
0|2021-10-20|723410.0|0|723410.0|0|11968.0|0|0.0|100
0|2021-10-21|724731.0|0|724731.0|0|12000.0|0|0.0|100
0|2021-10-22|726642.0|0|726642.0|0|12027.0|0|0.0|100
0|2021-10-23|728245.0|0|728245.0|0|12041.0|0|0.0|100
0|2021-10-24|729247.0|0|729247.0|0|12047.0|0|0.0|100
0|2021-10-25|729320.0|0|729320.0|0|12047.0|0|0.0|100
0|2021-10-26|729597.0|0|729597.0|0|12092.0|0|0.0|100
0|2021-10-27|733316.0|0|733316.0|0|12160.0|0|0.0|100
0|2021-10-28|734868.0|0|734868.0|0|12147.0|0|0.0|100
0|2021-10-29|737103.0|0|737103.0|0|12197.0|0|0.0|100
0|2021-10-30|738763.0|0|738763.0|0|12232.0|0|0.0|100
0|2021-10-31|740666.0|0|740666.0|0|12230.0|0|0.0|100
0|2021-11-01|741940.0|0|741940.0|0|12230.0|0|0.0|100
0|2021-11-02|741940.0|0|743175.0|0|12230.0|0|0.0|100
0|2021-11-03|744385.0|0|744385.0|0|12277.0|0|0.0|100
0|2021-11-04|746380.0|0|746380.0|0|12286.0|0|0.0|100
0|2021-11-05|748703.0|0|748703.0|0|12318.0|0|0.0|100
0|2021-11-06|750885.0|0|750885.0|0|12351.0|0|0.0|100
0|2021-11-07|752986.0|0|752986.0|0|12352.0|0|0.0|100
0|2021-11-08|754747.0|0|754747.0|0|12352.0|0|0.0|100
0|2021-11-09|756169.0|0|756169.0|0|12367.0|0|0.0|100
0|2021-11-10|757552.0|0|758552.0|0|12397.0|0|0.0|100
0|2021-11-11|760613.0|0|760613.0|0|12419.0|0|0.0|100
0|2021-11-12|763698.0|0|763698.0|0|12439.0|0|0.0|100
0|2021-11-13|765678.0|0|765678.0|0|12459.0|0|0.0|100
0|2021-11-14|767759.0|0|767759.0|0|12459.0|0|0.0|100
0|2021-11-15|769375.0|0|769375.0|0|12459.0|0|0.0|100
0|2021-11-16|771037.0|0|771037.0|0|12490.0|0|0.0|100
0|2021-11-17|772929.0|0|772929.0|0|12498.0|0|0.0|100
0|2021-11-18|775124.0|0|775124.0|0|12536.0|0|0.0|100
0|2021-11-19|778107.0|0|778107.0|0|12580.0|0|0.0|100
0|2021-11-20|781147.0|0|781147.0|0|12603.0|0|0.0|100
0|2021-11-21|783578.0|0|783578.0|0|12603.0|0|0.0|100
0|2021-11-22|785777.0|0|785777.0|0|12603.0|0|0.0|100
0|2021-11-23|787377.0|0|787377.0|0|12662.0|0|0.0|100
0|2021-11-24|789760.0|0|789760.0|0|12671.0|0|0.0|100
