|dates|Christian_Missouri_UnitedStates.JHU_ConfirmedCases.data|Christian_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Christian_Missouri_UnitedStates.NYT_ConfirmedCases.data|Christian_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Christian_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Christian_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Christian_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Christian_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|12817.0|0|12817.0|0|157.0|0|0.0|100
0|2021-10-18|12824.0|0|12824.0|0|157.0|0|0.0|100
0|2021-10-19|12836.0|0|12836.0|0|157.0|0|0.0|100
0|2021-10-20|12848.0|0|12848.0|0|157.0|0|0.0|100
0|2021-10-21|12854.0|0|12854.0|0|157.0|0|0.0|100
0|2021-10-22|12876.0|0|12876.0|0|157.0|0|0.0|100
0|2021-10-23|12883.0|0|12883.0|0|157.0|0|0.0|100
0|2021-10-24|12892.0|0|12892.0|0|157.0|0|0.0|100
0|2021-10-25|12894.0|0|12894.0|0|157.0|0|0.0|100
0|2021-10-26|12899.0|0|12899.0|0|158.0|0|0.0|100
0|2021-10-27|12909.0|0|12909.0|0|158.0|0|0.0|100
0|2021-10-28|12924.0|0|12924.0|0|159.0|0|0.0|100
0|2021-10-29|12933.0|0|12933.0|0|159.0|0|0.0|100
0|2021-10-30|12940.0|0|12940.0|0|159.0|0|0.0|100
0|2021-10-31|12951.0|0|12951.0|0|159.0|0|0.0|100
0|2021-11-01|12962.0|0|12962.0|0|159.0|0|0.0|100
0|2021-11-02|12975.0|0|12975.0|0|161.0|0|0.0|100
0|2021-11-03|12991.0|0|12991.0|0|161.0|0|0.0|100
0|2021-11-04|13021.0|0|13021.0|0|161.0|0|0.0|100
0|2021-11-05|13036.0|0|13036.0|0|161.0|0|0.0|100
0|2021-11-06|13062.0|0|13062.0|0|161.0|0|0.0|100
0|2021-11-07|13072.0|0|13072.0|0|161.0|0|0.0|100
0|2021-11-08|13077.0|0|13077.0|0|161.0|0|0.0|100
0|2021-11-09|13090.0|0|13090.0|0|163.0|0|0.0|100
0|2021-11-10|13090.0|0|13105.0|0|163.0|0|0.0|100
0|2021-11-11|13105.0|0|13105.0|0|163.0|0|0.0|100
0|2021-11-12|13142.0|0|13142.0|0|163.0|0|0.0|100
0|2021-11-13|13174.0|0|13174.0|0|163.0|0|0.0|100
0|2021-11-14|13183.0|0|13183.0|0|163.0|0|0.0|100
0|2021-11-15|13203.0|0|13203.0|0|163.0|0|0.0|100
0|2021-11-16|13218.0|0|13218.0|0|164.0|0|0.0|100
0|2021-11-17|13236.0|0|13236.0|0|164.0|0|0.0|100
0|2021-11-18|13550.0|0|13550.0|0|167.0|0|0.0|100
0|2021-11-19|13574.0|0|13574.0|0|167.0|0|0.0|100
0|2021-11-20|13600.0|0|13600.0|0|167.0|0|0.0|100
0|2021-11-21|13620.0|0|13620.0|0|167.0|0|0.0|100
0|2021-11-22|13638.0|0|13638.0|0|164.0|0|0.0|100
0|2021-11-23|13668.0|0|13668.0|0|165.0|0|0.0|100
0|2021-11-24|13686.0|0|13686.0|0|165.0|0|0.0|100
0|2021-11-25|13686.0|0|13686.0|0|165.0|0|0.0|100
0|2021-11-26|13686.0|0|13686.0|0|165.0|0|0.0|100
0|2021-11-27|13686.0|0|13686.0|0|165.0|0|0.0|100
0|2021-11-28|13686.0|0|13686.0|0|165.0|0|0.0|100
0|2021-11-29|13811.0|0|13811.0|0|165.0|0|0.0|100
0|2021-11-30|13828.0|0|13828.0|0|167.0|0|0.0|100
0|2021-12-01|13859.0|0|13859.0|0|167.0|0|0.0|100
0|2021-12-02|13859.0|0|13899.0|0|167.0|0|0.0|100
0|2021-12-03|13899.0|0|13899.0|0|202.0|0|0.0|100
0|2021-12-04|13966.0|0|13966.0|0|202.0|0|0.0|100
0|2021-12-05|13986.0|0|13986.0|0|202.0|0|0.0|100
0|2021-12-06|14037.0|0|14037.0|0|202.0|0|0.0|100
0|2021-12-07|14061.0|0|14061.0|0|203.0|0|0.0|100
0|2021-12-08|14095.0|0|14095.0|0|203.0|0|0.0|100
0|2021-12-09|14134.0|0|14134.0|0|202.0|0|0.0|100
0|2021-12-10|14189.0|0|14189.0|0|202.0|0|0.0|100
0|2021-12-11|14224.0|0|14224.0|0|202.0|0|0.0|100
0|2021-12-12|14263.0|0|14263.0|0|202.0|0|0.0|100
0|2021-12-13|14285.0|0|14285.0|0|202.0|0|0.0|100
0|2021-12-14|14285.0|0|14318.0|0|202.0|0|0.0|100
0|2021-12-15|14366.0|0|14366.0|0|203.0|0|0.0|100
0|2021-12-16|14436.0|0|14436.0|0|203.0|0|0.0|100
