|dates|Pueblo_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Pueblo_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Pueblo_Colorado_UnitedStates.Male_Total_Population.data|Pueblo_Colorado_UnitedStates.Male_Total_Population.missing|Pueblo_Colorado_UnitedStates.Female_Total_Population.data|Pueblo_Colorado_UnitedStates.Female_Total_Population.missing|Pueblo_Colorado_UnitedStates.MaleAndFemale_Under18_Population.data|Pueblo_Colorado_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-10-18|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-10-19|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-10-20|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-10-21|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-10-22|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-10-23|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-10-24|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-10-25|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-10-26|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-10-27|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-10-28|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-10-29|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-10-30|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-10-31|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-01|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-02|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-03|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-04|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-05|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-06|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-07|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-08|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-09|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-10|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-11|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-12|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-13|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-14|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-15|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-16|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-17|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-18|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-19|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-20|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-21|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-22|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-23|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-24|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-25|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-26|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-27|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-28|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-29|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-11-30|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-12-01|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-12-02|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-12-03|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-12-04|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-12-05|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-12-06|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-12-07|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-12-08|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-12-09|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-12-10|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-12-11|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-12-12|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-12-13|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-12-14|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-12-15|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-12-16|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-12-17|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-12-18|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-12-19|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-12-20|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-12-21|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-12-22|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-12-23|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-12-24|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-12-25|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-12-26|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-12-27|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-12-28|30988.0|0|82556.0|0|84973.0|0|37623.0|0
0|2021-12-29|30988.0|0|82556.0|0|84973.0|0|37623.0|0
