|dates|Billings_NorthDakota_UnitedStates.BLS_EmployedPopulation.data|Billings_NorthDakota_UnitedStates.BLS_EmployedPopulation.missing|Billings_NorthDakota_UnitedStates.BLS_UnemployedPopulation.data|Billings_NorthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Billings_NorthDakota_UnitedStates.BLS_UnemploymentRate.data|Billings_NorthDakota_UnitedStates.BLS_UnemploymentRate.missing|Billings_NorthDakota_UnitedStates.BLS_LaborForcePopulation.data|Billings_NorthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-10-18|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-10-19|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-10-20|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-10-21|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-10-22|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-10-23|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-10-24|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-10-25|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-10-26|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-10-27|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-10-28|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-10-29|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-10-30|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-10-31|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-11-01|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-11-02|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-11-03|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-11-04|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-11-05|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-11-06|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-11-07|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-11-08|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-11-09|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-11-10|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-11-11|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-11-12|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-11-13|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-11-14|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-11-15|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-11-16|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-11-17|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
0|2021-11-18|367.0|0|13.0|0|3.4210526315789473|0|380.0|0
