|dates|Greene_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Greene_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Greene_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|Greene_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|Greene_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Greene_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Greene_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Greene_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4637.0|0|4637.0|0|52.0|0|0.0|100
0|2021-10-18|4648.0|0|4648.0|0|52.0|0|0.0|100
0|2021-10-19|4676.0|0|4676.0|0|52.0|0|0.0|100
0|2021-10-20|4687.0|0|4687.0|0|53.0|0|0.0|100
0|2021-10-21|4730.0|0|4730.0|0|53.0|0|0.0|100
0|2021-10-22|4753.0|0|4753.0|0|53.0|0|0.0|100
0|2021-10-23|4766.0|0|4766.0|0|53.0|0|0.0|100
0|2021-10-24|4779.0|0|4779.0|0|53.0|0|0.0|100
0|2021-10-25|4792.0|0|4792.0|0|53.0|0|0.0|100
0|2021-10-26|4820.0|0|4820.0|0|54.0|0|0.0|100
0|2021-10-27|4850.0|0|4850.0|0|54.0|0|0.0|100
0|2021-10-28|4877.0|0|4877.0|0|55.0|0|0.0|100
0|2021-10-29|4916.0|0|4916.0|0|55.0|0|0.0|100
0|2021-10-30|4940.0|0|4940.0|0|55.0|0|0.0|100
0|2021-10-31|4952.0|0|4952.0|0|56.0|0|0.0|100
0|2021-11-01|4952.0|0|4952.0|0|56.0|0|0.0|100
0|2021-11-02|4991.0|0|4991.0|0|56.0|0|0.0|100
0|2021-11-03|5011.0|0|5011.0|0|57.0|0|0.0|100
0|2021-11-04|5057.0|0|5057.0|0|57.0|0|0.0|100
0|2021-11-05|5075.0|0|5075.0|0|57.0|0|0.0|100
0|2021-11-06|5089.0|0|5089.0|0|57.0|0|0.0|100
0|2021-11-07|5095.0|0|5095.0|0|57.0|0|0.0|100
0|2021-11-08|5106.0|0|5106.0|0|57.0|0|0.0|100
0|2021-11-09|5133.0|0|5133.0|0|58.0|0|0.0|100
0|2021-11-10|5133.0|0|5152.0|0|58.0|0|0.0|100
0|2021-11-11|5179.0|0|5179.0|0|58.0|0|0.0|100
0|2021-11-12|5214.0|0|5214.0|0|58.0|0|0.0|100
0|2021-11-13|5302.0|0|5302.0|0|59.0|0|0.0|100
0|2021-11-14|5308.0|0|5308.0|0|59.0|0|0.0|100
0|2021-11-15|5313.0|0|5313.0|0|59.0|0|0.0|100
0|2021-11-16|5351.0|0|5351.0|0|59.0|0|0.0|100
0|2021-11-17|5376.0|0|5376.0|0|61.0|0|0.0|100
0|2021-11-18|5403.0|0|5403.0|0|65.0|0|0.0|100
0|2021-11-19|5434.0|0|5434.0|0|65.0|0|0.0|100
0|2021-11-20|5456.0|0|5456.0|0|65.0|0|0.0|100
0|2021-11-21|5461.0|0|5461.0|0|65.0|0|0.0|100
0|2021-11-22|5479.0|0|5479.0|0|65.0|0|0.0|100
0|2021-11-23|5515.0|0|5515.0|0|65.0|0|0.0|100
0|2021-11-24|5550.0|0|5550.0|0|65.0|0|0.0|100
0|2021-11-25|5577.0|0|5577.0|0|65.0|0|0.0|100
0|2021-11-26|5591.0|0|5591.0|0|65.0|0|0.0|100
0|2021-11-27|5611.0|0|5611.0|0|65.0|0|0.0|100
0|2021-11-28|5613.0|0|5613.0|0|65.0|0|0.0|100
0|2021-11-29|5656.0|0|5656.0|0|65.0|0|0.0|100
0|2021-11-30|5670.0|0|5670.0|0|65.0|0|0.0|100
0|2021-12-01|5700.0|0|5700.0|0|65.0|0|0.0|100
0|2021-12-02|5725.0|0|5725.0|0|66.0|0|0.0|100
0|2021-12-03|5725.0|0|5781.0|0|66.0|0|0.0|100
0|2021-12-04|5804.0|0|5804.0|0|69.0|0|0.0|100
0|2021-12-05|5816.0|0|5816.0|0|69.0|0|0.0|100
0|2021-12-06|5817.0|0|5817.0|0|69.0|0|0.0|100
0|2021-12-07|5863.0|0|5863.0|0|70.0|0|0.0|100
0|2021-12-08|5907.0|0|5907.0|0|71.0|0|0.0|100
0|2021-12-09|5953.0|0|5953.0|0|71.0|0|0.0|100
0|2021-12-10|5968.0|0|5968.0|0|72.0|0|0.0|100
0|2021-12-11|5992.0|0|5992.0|0|73.0|0|0.0|100
0|2021-12-12|6006.0|0|6006.0|0|73.0|0|0.0|100
0|2021-12-13|6010.0|0|6010.0|0|73.0|0|0.0|100
0|2021-12-14|6010.0|0|6028.0|0|73.0|0|0.0|100
0|2021-12-15|6075.0|0|6075.0|0|74.0|0|0.0|100
0|2021-12-16|6082.0|0|6082.0|0|77.0|0|0.0|100
0|2021-12-17|6115.0|0|6115.0|0|77.0|0|0.0|100
0|2021-12-18|6132.0|0|6132.0|0|77.0|0|0.0|100
0|2021-12-19|6137.0|0|6137.0|0|77.0|0|0.0|100
0|2021-12-20|6141.0|0|6141.0|0|77.0|0|0.0|100
0|2021-12-21|6169.0|0|6169.0|0|77.0|0|0.0|100
0|2021-12-22|6182.0|0|6182.0|0|78.0|0|0.0|100
0|2021-12-23|6189.0|0|6189.0|0|78.0|0|0.0|100
0|2021-12-24|6212.0|0|6212.0|0|78.0|0|0.0|100
0|2021-12-25|6231.0|0|6231.0|0|78.0|0|0.0|100
0|2021-12-26|6238.0|0|6238.0|0|78.0|0|0.0|100
0|2021-12-27|6241.0|0|6241.0|0|78.0|0|0.0|100
0|2021-12-28|6260.0|0|6260.0|0|79.0|0|0.0|100
0|2021-12-29|6278.0|0|6278.0|0|79.0|0|0.0|100
0|2021-12-30|6327.0|0|6327.0|0|79.0|0|0.0|100
0|2021-12-31|6341.0|0|6341.0|0|80.0|0|0.0|100
0|2022-01-01|6386.0|0|6386.0|0|80.0|0|0.0|100
0|2022-01-02|6395.0|0|6395.0|0|80.0|0|0.0|100
0|2022-01-03|6406.0|0|6406.0|0|80.0|0|0.0|100
0|2022-01-04|6424.0|0|6424.0|0|82.0|0|0.0|100
0|2022-01-05|6513.0|0|6513.0|0|82.0|0|0.0|100
0|2022-01-06|6556.0|0|6556.0|0|82.0|0|0.0|100
0|2022-01-07|6611.0|0|6611.0|0|82.0|0|0.0|100
0|2022-01-08|6683.0|0|6683.0|0|82.0|0|0.0|100
0|2022-01-09|6721.0|0|6721.0|0|82.0|0|0.0|100
