|dates|Butler_Missouri_UnitedStates.JHU_ConfirmedCases.data|Butler_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Butler_Missouri_UnitedStates.NYT_ConfirmedCases.data|Butler_Missouri_UnitedStates.NYT_ConfirmedCases.missing|Butler_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Butler_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Butler_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Butler_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6614.0|0|6614.0|0|71.0|0|0.0|100
0|2021-10-18|6616.0|0|6616.0|0|71.0|0|0.0|100
0|2021-10-19|6631.0|0|6631.0|0|71.0|0|0.0|100
0|2021-10-20|6635.0|0|6635.0|0|71.0|0|0.0|100
0|2021-10-21|6661.0|0|6661.0|0|71.0|0|0.0|100
0|2021-10-22|6679.0|0|6679.0|0|71.0|0|0.0|100
0|2021-10-23|6688.0|0|6688.0|0|71.0|0|0.0|100
0|2021-10-24|6694.0|0|6694.0|0|71.0|0|0.0|100
0|2021-10-25|6696.0|0|6696.0|0|71.0|0|0.0|100
0|2021-10-26|6702.0|0|6702.0|0|71.0|0|0.0|100
0|2021-10-27|6713.0|0|6713.0|0|71.0|0|0.0|100
0|2021-10-28|6735.0|0|6735.0|0|71.0|0|0.0|100
0|2021-10-29|6742.0|0|6742.0|0|71.0|0|0.0|100
0|2021-10-30|6748.0|0|6748.0|0|71.0|0|0.0|100
0|2021-10-31|6751.0|0|6751.0|0|71.0|0|0.0|100
0|2021-11-01|6754.0|0|6754.0|0|71.0|0|0.0|100
0|2021-11-02|6757.0|0|6757.0|0|71.0|0|0.0|100
0|2021-11-03|6770.0|0|6770.0|0|71.0|0|0.0|100
0|2021-11-04|6779.0|0|6779.0|0|71.0|0|0.0|100
0|2021-11-05|6792.0|0|6792.0|0|71.0|0|0.0|100
0|2021-11-06|6809.0|0|6809.0|0|71.0|0|0.0|100
0|2021-11-07|6815.0|0|6815.0|0|71.0|0|0.0|100
0|2021-11-08|6818.0|0|6818.0|0|71.0|0|0.0|100
0|2021-11-09|6820.0|0|6820.0|0|72.0|0|0.0|100
0|2021-11-10|6820.0|0|6829.0|0|72.0|0|0.0|100
0|2021-11-11|6829.0|0|6829.0|0|72.0|0|0.0|100
0|2021-11-12|6835.0|0|6835.0|0|72.0|0|0.0|100
0|2021-11-13|6841.0|0|6841.0|0|72.0|0|0.0|100
0|2021-11-14|6842.0|0|6842.0|0|72.0|0|0.0|100
0|2021-11-15|6849.0|0|6849.0|0|72.0|0|0.0|100
0|2021-11-16|6866.0|0|6866.0|0|72.0|0|0.0|100
0|2021-11-17|6872.0|0|6872.0|0|72.0|0|0.0|100
0|2021-11-18|6967.0|0|6967.0|0|73.0|0|0.0|100
0|2021-11-19|6974.0|0|6974.0|0|73.0|0|0.0|100
0|2021-11-20|6989.0|0|6989.0|0|73.0|0|0.0|100
0|2021-11-21|6990.0|0|6990.0|0|73.0|0|0.0|100
0|2021-11-22|6991.0|0|6991.0|0|72.0|0|0.0|100
0|2021-11-23|7002.0|0|7002.0|0|72.0|0|0.0|100
0|2021-11-24|7016.0|0|7016.0|0|72.0|0|0.0|100
0|2021-11-25|7016.0|0|7016.0|0|72.0|0|0.0|100
0|2021-11-26|7016.0|0|7016.0|0|72.0|0|0.0|100
0|2021-11-27|7016.0|0|7016.0|0|72.0|0|0.0|100
0|2021-11-28|7016.0|0|7016.0|0|72.0|0|0.0|100
0|2021-11-29|7033.0|0|7033.0|0|72.0|0|0.0|100
0|2021-11-30|7041.0|0|7041.0|0|73.0|0|0.0|100
0|2021-12-01|7055.0|0|7055.0|0|73.0|0|0.0|100
0|2021-12-02|7055.0|0|7072.0|0|73.0|0|0.0|100
0|2021-12-03|7072.0|0|7072.0|0|127.0|0|0.0|100
0|2021-12-04|7106.0|0|7106.0|0|127.0|0|0.0|100
0|2021-12-05|7114.0|0|7114.0|0|127.0|0|0.0|100
0|2021-12-06|7131.0|0|7131.0|0|127.0|0|0.0|100
0|2021-12-07|7140.0|0|7140.0|0|127.0|0|0.0|100
0|2021-12-08|7158.0|0|7158.0|0|127.0|0|0.0|100
0|2021-12-09|7175.0|0|7175.0|0|127.0|0|0.0|100
0|2021-12-10|7190.0|0|7190.0|0|127.0|0|0.0|100
0|2021-12-11|7202.0|0|7202.0|0|127.0|0|0.0|100
0|2021-12-12|7210.0|0|7210.0|0|127.0|0|0.0|100
0|2021-12-13|7213.0|0|7213.0|0|127.0|0|0.0|100
0|2021-12-14|7213.0|0|7219.0|0|127.0|0|0.0|100
0|2021-12-15|7229.0|0|7229.0|0|130.0|0|0.0|100
0|2021-12-16|7249.0|0|7249.0|0|131.0|0|0.0|100
0|2021-12-17|7269.0|0|7269.0|0|131.0|0|0.0|100
