|dates|Otsego_Michigan_UnitedStates.JHU_ConfirmedCases.data|Otsego_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Otsego_Michigan_UnitedStates.NYT_ConfirmedCases.data|Otsego_Michigan_UnitedStates.NYT_ConfirmedCases.missing|Otsego_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Otsego_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Otsego_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Otsego_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3102.0|0|3120.0|0|51.0|0|0.0|100
0|2021-10-18|3128.0|0|3146.0|0|51.0|0|0.0|100
0|2021-10-19|3128.0|0|3157.0|0|51.0|0|0.0|100
0|2021-10-20|3158.0|0|3177.0|0|53.0|0|0.0|100
0|2021-10-21|3158.0|0|3190.0|0|53.0|0|0.0|100
0|2021-10-22|3185.0|0|3208.0|0|53.0|0|0.0|100
0|2021-10-23|3185.0|0|3208.0|0|53.0|0|0.0|100
0|2021-10-24|3185.0|0|3208.0|0|53.0|0|0.0|100
0|2021-10-25|3221.0|0|3242.0|0|54.0|0|0.0|100
0|2021-10-26|3221.0|0|3250.0|0|54.0|0|0.0|100
0|2021-10-27|3249.0|0|3272.0|0|56.0|0|0.0|100
0|2021-10-28|3249.0|0|3287.0|0|56.0|0|0.0|100
0|2021-10-29|3279.0|0|3300.0|0|57.0|0|0.0|100
0|2021-10-30|3279.0|0|3300.0|0|57.0|0|0.0|100
0|2021-10-31|3279.0|0|3300.0|0|57.0|0|0.0|100
0|2021-11-01|3317.0|0|3338.0|0|57.0|0|0.0|100
0|2021-11-02|3317.0|0|3366.0|0|57.0|0|0.0|100
0|2021-11-03|3379.0|0|3400.0|0|58.0|0|0.0|100
0|2021-11-04|3379.0|0|3431.0|0|58.0|0|0.0|100
0|2021-11-05|3427.0|0|3447.0|0|60.0|0|0.0|100
0|2021-11-06|3427.0|0|3447.0|0|60.0|0|0.0|100
0|2021-11-07|3427.0|0|3447.0|0|60.0|0|0.0|100
0|2021-11-08|3466.0|0|3490.0|0|61.0|0|0.0|100
0|2021-11-09|3466.0|0|3511.0|0|61.0|0|0.0|100
0|2021-11-10|3510.0|0|3530.0|0|61.0|0|0.0|100
0|2021-11-11|3510.0|0|3510.0|0|61.0|0|0.0|100
0|2021-11-12|3574.0|0|3597.0|0|61.0|0|0.0|100
0|2021-11-13|3574.0|0|3597.0|0|61.0|0|0.0|100
0|2021-11-14|3574.0|0|3597.0|0|61.0|0|0.0|100
0|2021-11-15|3652.0|0|3669.0|0|63.0|0|0.0|100
0|2021-11-16|3652.0|0|3683.0|0|63.0|0|0.0|100
0|2021-11-17|3692.0|0|3715.0|0|63.0|0|0.0|100
0|2021-11-18|3692.0|0|3768.0|0|63.0|0|0.0|100
0|2021-11-19|3763.0|0|3784.0|0|65.0|0|0.0|100
0|2021-11-20|3763.0|0|3784.0|0|65.0|0|0.0|100
0|2021-11-21|3763.0|0|3784.0|0|65.0|0|0.0|100
0|2021-11-22|3811.0|0|3831.0|0|65.0|0|0.0|100
0|2021-11-23|3811.0|0|3848.0|0|65.0|0|0.0|100
0|2021-11-24|3840.0|0|3858.0|0|66.0|0|0.0|100
0|2021-11-25|3840.0|0|3858.0|0|66.0|0|0.0|100
0|2021-11-26|3840.0|0|3858.0|0|66.0|0|0.0|100
0|2021-11-27|3840.0|0|3858.0|0|66.0|0|0.0|100
0|2021-11-28|3840.0|0|3858.0|0|66.0|0|0.0|100
0|2021-11-29|3908.0|0|3934.0|0|67.0|0|0.0|100
0|2021-11-30|3908.0|0|3947.0|0|67.0|0|0.0|100
0|2021-12-01|3938.0|0|3947.0|0|68.0|0|0.0|100
0|2021-12-02|3938.0|0|3993.0|0|68.0|0|0.0|100
0|2021-12-03|3994.0|0|4017.0|0|69.0|0|0.0|100
