|dates|Putnam_Florida_UnitedStates.BLS_EmployedPopulation.data|Putnam_Florida_UnitedStates.BLS_EmployedPopulation.missing|Putnam_Florida_UnitedStates.BLS_UnemployedPopulation.data|Putnam_Florida_UnitedStates.BLS_UnemployedPopulation.missing|Putnam_Florida_UnitedStates.BLS_UnemploymentRate.data|Putnam_Florida_UnitedStates.BLS_UnemploymentRate.missing|Putnam_Florida_UnitedStates.BLS_LaborForcePopulation.data|Putnam_Florida_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|25984.0|0|1792.0|0|6.451612903225806|0|27776.0|0
0|2021-10-18|25984.0|0|1792.0|0|6.451612903225806|0|27776.0|0
0|2021-10-19|25984.0|0|1792.0|0|6.451612903225806|0|27776.0|0
0|2021-10-20|25984.0|0|1792.0|0|6.451612903225806|0|27776.0|0
0|2021-10-21|25984.0|0|1792.0|0|6.451612903225806|0|27776.0|0
0|2021-10-22|25984.0|0|1792.0|0|6.451612903225806|0|27776.0|0
0|2021-10-23|25984.0|0|1792.0|0|6.451612903225806|0|27776.0|0
0|2021-10-24|25984.0|0|1792.0|0|6.451612903225806|0|27776.0|0
0|2021-10-25|25984.0|0|1792.0|0|6.451612903225806|0|27776.0|0
0|2021-10-26|25984.0|0|1792.0|0|6.451612903225806|0|27776.0|0
0|2021-10-27|25984.0|0|1792.0|0|6.451612903225806|0|27776.0|0
0|2021-10-28|25984.0|0|1792.0|0|6.451612903225806|0|27776.0|0
0|2021-10-29|25984.0|0|1792.0|0|6.451612903225806|0|27776.0|0
0|2021-10-30|25984.0|0|1792.0|0|6.451612903225806|0|27776.0|0
0|2021-10-31|25984.0|0|1792.0|0|6.451612903225806|0|27776.0|0
0|2021-11-01|25984.0|0|1792.0|0|6.451612903225806|0|27776.0|0
0|2021-11-02|25984.0|0|1792.0|0|6.451612903225806|0|27776.0|0
0|2021-11-03|25984.0|0|1792.0|0|6.451612903225806|0|27776.0|0
0|2021-11-04|25984.0|0|1792.0|0|6.451612903225806|0|27776.0|0
0|2021-11-05|25984.0|0|1792.0|0|6.451612903225806|0|27776.0|0
0|2021-11-06|25984.0|0|1792.0|0|6.451612903225806|0|27776.0|0
0|2021-11-07|25984.0|0|1792.0|0|6.451612903225806|0|27776.0|0
0|2021-11-08|25984.0|0|1792.0|0|6.451612903225806|0|27776.0|0
0|2021-11-09|25984.0|0|1792.0|0|6.451612903225806|0|27776.0|0
0|2021-11-10|25984.0|0|1792.0|0|6.451612903225806|0|27776.0|0
