|dates|Chester_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Chester_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Chester_Pennsylvania_UnitedStates.Male_Total_Population.data|Chester_Pennsylvania_UnitedStates.Male_Total_Population.missing|Chester_Pennsylvania_UnitedStates.Female_Total_Population.data|Chester_Pennsylvania_UnitedStates.Female_Total_Population.missing|Chester_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.data|Chester_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-10-18|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-10-19|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-10-20|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-10-21|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-10-22|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-10-23|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-10-24|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-10-25|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-10-26|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-10-27|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-10-28|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-10-29|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-10-30|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-10-31|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-11-01|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-11-02|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-11-03|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-11-04|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-11-05|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-11-06|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-11-07|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-11-08|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-11-09|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-11-10|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-11-11|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-11-12|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-11-13|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-11-14|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-11-15|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-11-16|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-11-17|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-11-18|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-11-19|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-11-20|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-11-21|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-11-22|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-11-23|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-11-24|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-11-25|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-11-26|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2021-11-27|85335.0|0|257214.0|0|264832.0|0|118139.0|0
