|dates|Cumberland_Tennessee_UnitedStates.BLS_EmployedPopulation.data|Cumberland_Tennessee_UnitedStates.BLS_EmployedPopulation.missing|Cumberland_Tennessee_UnitedStates.BLS_UnemployedPopulation.data|Cumberland_Tennessee_UnitedStates.BLS_UnemployedPopulation.missing|Cumberland_Tennessee_UnitedStates.BLS_UnemploymentRate.data|Cumberland_Tennessee_UnitedStates.BLS_UnemploymentRate.missing|Cumberland_Tennessee_UnitedStates.BLS_LaborForcePopulation.data|Cumberland_Tennessee_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|21605.0|0|1160.0|0|5.095541401273885|0|22765.0|0
0|2021-10-18|21605.0|0|1160.0|0|5.095541401273885|0|22765.0|0
0|2021-10-19|21605.0|0|1160.0|0|5.095541401273885|0|22765.0|0
0|2021-10-20|21605.0|0|1160.0|0|5.095541401273885|0|22765.0|0
0|2021-10-21|21605.0|0|1160.0|0|5.095541401273885|0|22765.0|0
0|2021-10-22|21605.0|0|1160.0|0|5.095541401273885|0|22765.0|0
0|2021-10-23|21605.0|0|1160.0|0|5.095541401273885|0|22765.0|0
0|2021-10-24|21605.0|0|1160.0|0|5.095541401273885|0|22765.0|0
0|2021-10-25|21605.0|0|1160.0|0|5.095541401273885|0|22765.0|0
0|2021-10-26|21605.0|0|1160.0|0|5.095541401273885|0|22765.0|0
0|2021-10-27|21605.0|0|1160.0|0|5.095541401273885|0|22765.0|0
0|2021-10-28|21605.0|0|1160.0|0|5.095541401273885|0|22765.0|0
0|2021-10-29|21605.0|0|1160.0|0|5.095541401273885|0|22765.0|0
0|2021-10-30|21605.0|0|1160.0|0|5.095541401273885|0|22765.0|0
0|2021-10-31|21605.0|0|1160.0|0|5.095541401273885|0|22765.0|0
0|2021-11-01|21605.0|0|1160.0|0|5.095541401273885|0|22765.0|0
0|2021-11-02|21605.0|0|1160.0|0|5.095541401273885|0|22765.0|0
0|2021-11-03|21605.0|0|1160.0|0|5.095541401273885|0|22765.0|0
0|2021-11-04|21605.0|0|1160.0|0|5.095541401273885|0|22765.0|0
0|2021-11-05|21605.0|0|1160.0|0|5.095541401273885|0|22765.0|0
0|2021-11-06|21605.0|0|1160.0|0|5.095541401273885|0|22765.0|0
0|2021-11-07|21605.0|0|1160.0|0|5.095541401273885|0|22765.0|0
0|2021-11-08|21605.0|0|1160.0|0|5.095541401273885|0|22765.0|0
0|2021-11-09|21605.0|0|1160.0|0|5.095541401273885|0|22765.0|0
0|2021-11-10|21605.0|0|1160.0|0|5.095541401273885|0|22765.0|0
0|2021-11-11|21605.0|0|1160.0|0|5.095541401273885|0|22765.0|0
0|2021-11-12|21605.0|0|1160.0|0|5.095541401273885|0|22765.0|0
0|2021-11-13|21605.0|0|1160.0|0|5.095541401273885|0|22765.0|0
0|2021-11-14|21605.0|0|1160.0|0|5.095541401273885|0|22765.0|0
