|dates|Oakland_Michigan_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Oakland_Michigan_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Oakland_Michigan_UnitedStates.Male_Total_Population.data|Oakland_Michigan_UnitedStates.Male_Total_Population.missing|Oakland_Michigan_UnitedStates.Female_Total_Population.data|Oakland_Michigan_UnitedStates.Female_Total_Population.missing|Oakland_Michigan_UnitedStates.MaleAndFemale_Under18_Population.data|Oakland_Michigan_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|211527.0|0|617094.0|0|642107.0|0|264031.0|0
0|2021-10-18|211527.0|0|617094.0|0|642107.0|0|264031.0|0
0|2021-10-19|211527.0|0|617094.0|0|642107.0|0|264031.0|0
0|2021-10-20|211527.0|0|617094.0|0|642107.0|0|264031.0|0
0|2021-10-21|211527.0|0|617094.0|0|642107.0|0|264031.0|0
0|2021-10-22|211527.0|0|617094.0|0|642107.0|0|264031.0|0
0|2021-10-23|211527.0|0|617094.0|0|642107.0|0|264031.0|0
0|2021-10-24|211527.0|0|617094.0|0|642107.0|0|264031.0|0
0|2021-10-25|211527.0|0|617094.0|0|642107.0|0|264031.0|0
0|2021-10-26|211527.0|0|617094.0|0|642107.0|0|264031.0|0
0|2021-10-27|211527.0|0|617094.0|0|642107.0|0|264031.0|0
0|2021-10-28|211527.0|0|617094.0|0|642107.0|0|264031.0|0
0|2021-10-29|211527.0|0|617094.0|0|642107.0|0|264031.0|0
0|2021-10-30|211527.0|0|617094.0|0|642107.0|0|264031.0|0
0|2021-10-31|211527.0|0|617094.0|0|642107.0|0|264031.0|0
0|2021-11-01|211527.0|0|617094.0|0|642107.0|0|264031.0|0
0|2021-11-02|211527.0|0|617094.0|0|642107.0|0|264031.0|0
0|2021-11-03|211527.0|0|617094.0|0|642107.0|0|264031.0|0
0|2021-11-04|211527.0|0|617094.0|0|642107.0|0|264031.0|0
0|2021-11-05|211527.0|0|617094.0|0|642107.0|0|264031.0|0
0|2021-11-06|211527.0|0|617094.0|0|642107.0|0|264031.0|0
0|2021-11-07|211527.0|0|617094.0|0|642107.0|0|264031.0|0
0|2021-11-08|211527.0|0|617094.0|0|642107.0|0|264031.0|0
0|2021-11-09|211527.0|0|617094.0|0|642107.0|0|264031.0|0
0|2021-11-10|211527.0|0|617094.0|0|642107.0|0|264031.0|0
