|dates|Boise_Idaho_UnitedStates.JHU_ConfirmedCases.data|Boise_Idaho_UnitedStates.JHU_ConfirmedCases.missing|Boise_Idaho_UnitedStates.NYT_ConfirmedCases.data|Boise_Idaho_UnitedStates.NYT_ConfirmedCases.missing|Boise_Idaho_UnitedStates.JHU_ConfirmedDeaths.data|Boise_Idaho_UnitedStates.JHU_ConfirmedDeaths.missing|Boise_Idaho_UnitedStates.JHU_ConfirmedRecoveries.data|Boise_Idaho_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|713.0|0|713.0|0|9.0|0|0.0|100
0|2021-10-18|731.0|0|731.0|0|9.0|0|0.0|100
0|2021-10-19|740.0|0|740.0|0|9.0|0|0.0|100
0|2021-10-20|748.0|0|748.0|0|9.0|0|0.0|100
0|2021-10-21|752.0|0|752.0|0|9.0|0|0.0|100
0|2021-10-22|762.0|0|762.0|0|9.0|0|0.0|100
0|2021-10-23|762.0|0|762.0|0|9.0|0|0.0|100
0|2021-10-24|764.0|0|764.0|0|9.0|0|0.0|100
0|2021-10-25|768.0|0|768.0|0|9.0|0|0.0|100
0|2021-10-26|772.0|0|772.0|0|9.0|0|0.0|100
0|2021-10-27|774.0|0|774.0|0|9.0|0|0.0|100
0|2021-10-28|777.0|0|777.0|0|9.0|0|0.0|100
0|2021-10-29|785.0|0|785.0|0|9.0|0|0.0|100
0|2021-10-30|785.0|0|785.0|0|9.0|0|0.0|100
0|2021-10-31|785.0|0|785.0|0|9.0|0|0.0|100
0|2021-11-01|789.0|0|789.0|0|9.0|0|0.0|100
0|2021-11-02|789.0|0|789.0|0|9.0|0|0.0|100
0|2021-11-03|790.0|0|790.0|0|9.0|0|0.0|100
0|2021-11-04|791.0|0|791.0|0|10.0|0|0.0|100
0|2021-11-05|791.0|0|791.0|0|10.0|0|0.0|100
0|2021-11-06|791.0|0|791.0|0|10.0|0|0.0|100
0|2021-11-07|791.0|0|791.0|0|10.0|0|0.0|100
0|2021-11-08|791.0|0|791.0|0|10.0|0|0.0|100
0|2021-11-09|793.0|0|793.0|0|10.0|0|0.0|100
0|2021-11-10|795.0|0|795.0|0|10.0|0|0.0|100
