|dates|Gove_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Gove_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Gove_Kansas_UnitedStates.Male_Total_Population.data|Gove_Kansas_UnitedStates.Male_Total_Population.missing|Gove_Kansas_UnitedStates.Female_Total_Population.data|Gove_Kansas_UnitedStates.Female_Total_Population.missing|Gove_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Gove_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-10-18|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-10-19|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-10-20|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-10-21|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-10-22|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-10-23|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-10-24|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-10-25|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-10-26|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-10-27|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-10-28|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-10-29|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-10-30|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-10-31|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-01|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-02|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-03|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-04|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-05|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-06|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-07|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-08|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-09|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-10|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-11|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-12|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-13|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-14|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-15|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-16|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-17|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-18|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-19|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-20|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-21|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-22|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-23|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-24|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-25|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-26|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-27|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-28|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-29|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-11-30|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-12-01|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-12-02|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-12-03|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-12-04|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-12-05|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-12-06|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-12-07|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-12-08|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-12-09|635.0|0|1315.0|0|1297.0|0|626.0|0
0|2021-12-10|635.0|0|1315.0|0|1297.0|0|626.0|0
