|dates|Arthur_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Arthur_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Arthur_Nebraska_UnitedStates.Male_Total_Population.data|Arthur_Nebraska_UnitedStates.Male_Total_Population.missing|Arthur_Nebraska_UnitedStates.Female_Total_Population.data|Arthur_Nebraska_UnitedStates.Female_Total_Population.missing|Arthur_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Arthur_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-10-18|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-10-19|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-10-20|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-10-21|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-10-22|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-10-23|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-10-24|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-10-25|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-10-26|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-10-27|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-10-28|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-10-29|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-10-30|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-10-31|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-11-01|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-11-02|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-11-03|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-11-04|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-11-05|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-11-06|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-11-07|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-11-08|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-11-09|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-11-10|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-11-11|102.0|0|230.0|0|235.0|0|120.0|0
0|2021-11-12|102.0|0|230.0|0|235.0|0|120.0|0
