|dates|Socorro_NewMexico_UnitedStates.JHU_ConfirmedCases.data|Socorro_NewMexico_UnitedStates.JHU_ConfirmedCases.missing|Socorro_NewMexico_UnitedStates.NYT_ConfirmedCases.data|Socorro_NewMexico_UnitedStates.NYT_ConfirmedCases.missing|Socorro_NewMexico_UnitedStates.JHU_ConfirmedDeaths.data|Socorro_NewMexico_UnitedStates.JHU_ConfirmedDeaths.missing|Socorro_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.data|Socorro_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1661.0|0|1661.0|0|62.0|0|0.0|100
0|2021-10-18|1671.0|0|1671.0|0|62.0|0|0.0|100
0|2021-10-19|1680.0|0|1680.0|0|62.0|0|0.0|100
0|2021-10-20|1685.0|0|1685.0|0|62.0|0|0.0|100
0|2021-10-21|1685.0|0|1685.0|0|62.0|0|0.0|100
0|2021-10-22|1694.0|0|1694.0|0|62.0|0|0.0|100
0|2021-10-23|1694.0|0|1694.0|0|62.0|0|0.0|100
0|2021-10-24|1694.0|0|1694.0|0|62.0|0|0.0|100
0|2021-10-25|1711.0|0|1711.0|0|62.0|0|0.0|100
0|2021-10-26|1716.0|0|1716.0|0|62.0|0|0.0|100
0|2021-10-27|1723.0|0|1723.0|0|62.0|0|0.0|100
0|2021-10-28|1739.0|0|1739.0|0|62.0|0|0.0|100
0|2021-10-29|1745.0|0|1745.0|0|62.0|0|0.0|100
0|2021-10-30|1745.0|0|1745.0|0|62.0|0|0.0|100
0|2021-10-31|1745.0|0|1745.0|0|62.0|0|0.0|100
0|2021-11-01|1758.0|0|1758.0|0|62.0|0|0.0|100
0|2021-11-02|1765.0|0|1765.0|0|62.0|0|0.0|100
0|2021-11-03|1770.0|0|1770.0|0|62.0|0|0.0|100
0|2021-11-04|1774.0|0|1774.0|0|64.0|0|0.0|100
0|2021-11-05|1794.0|0|1794.0|0|64.0|0|0.0|100
0|2021-11-06|1794.0|0|1794.0|0|64.0|0|0.0|100
0|2021-11-07|1794.0|0|1794.0|0|64.0|0|0.0|100
0|2021-11-08|1816.0|0|1816.0|0|64.0|0|0.0|100
0|2021-11-09|1821.0|0|1821.0|0|64.0|0|0.0|100
0|2021-11-10|1821.0|0|1832.0|0|64.0|0|0.0|100
0|2021-11-11|1832.0|0|1832.0|0|64.0|0|0.0|100
0|2021-11-12|1861.0|0|1861.0|0|64.0|0|0.0|100
0|2021-11-13|1861.0|0|1861.0|0|64.0|0|0.0|100
0|2021-11-14|1861.0|0|1861.0|0|64.0|0|0.0|100
0|2021-11-15|1889.0|0|1889.0|0|64.0|0|0.0|100
0|2021-11-16|1897.0|0|1897.0|0|64.0|0|0.0|100
0|2021-11-17|1918.0|0|1918.0|0|64.0|0|0.0|100
0|2021-11-18|1953.0|0|1953.0|0|64.0|0|0.0|100
0|2021-11-19|1975.0|0|1975.0|0|64.0|0|0.0|100
0|2021-11-20|1975.0|0|1975.0|0|64.0|0|0.0|100
0|2021-11-21|1975.0|0|1975.0|0|64.0|0|0.0|100
0|2021-11-22|2007.0|0|2007.0|0|64.0|0|0.0|100
0|2021-11-23|2019.0|0|2019.0|0|64.0|0|0.0|100
0|2021-11-24|2026.0|0|2026.0|0|64.0|0|0.0|100
0|2021-11-25|2026.0|0|2026.0|0|64.0|0|0.0|100
0|2021-11-26|2026.0|0|2026.0|0|64.0|0|0.0|100
0|2021-11-27|2026.0|0|2026.0|0|64.0|0|0.0|100
0|2021-11-28|2026.0|0|2026.0|0|64.0|0|0.0|100
0|2021-11-29|2103.0|0|2103.0|0|64.0|0|0.0|100
0|2021-11-30|2118.0|0|2118.0|0|64.0|0|0.0|100
0|2021-12-01|2159.0|0|2159.0|0|64.0|0|0.0|100
0|2021-12-02|2190.0|0|2190.0|0|65.0|0|0.0|100
0|2021-12-03|2190.0|0|2210.0|0|65.0|0|0.0|100
0|2021-12-04|2229.0|0|2229.0|0|65.0|0|0.0|100
0|2021-12-05|2229.0|0|2229.0|0|65.0|0|0.0|100
0|2021-12-06|2276.0|0|2276.0|0|65.0|0|0.0|100
0|2021-12-07|2286.0|0|2286.0|0|65.0|0|0.0|100
0|2021-12-08|2303.0|0|2303.0|0|66.0|0|0.0|100
0|2021-12-09|2314.0|0|2314.0|0|66.0|0|0.0|100
0|2021-12-10|2336.0|0|2325.0|0|66.0|0|0.0|100
0|2021-12-11|2336.0|0|2336.0|0|66.0|0|0.0|100
0|2021-12-12|2336.0|0|2336.0|0|66.0|0|0.0|100
